Idea_ID,Topic,Content_Type,Category,Content_Pillar,Target_Audience,Hook,Core_Message,Suggested_CTA,Language,Campaign,Status,Original_Source,Date,Duplicate_or_Related_Idea,Notes
IDEA-001,Chhatrapati Sambhaji Maharaj Jayanti tribute,Static post,Observed/Used,Festival / Heritage,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-002,India Book of Records achievement announcement,Static post,Observed/Used,Achievement & Recognition,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-003,Mother’s Day greeting,Static post,Observed/Used,Festival / Community,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-004,10th board result celebration,Static post,Observed/Used,Achievement (trust-level),Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-005,Skill development guidance article,Static/article,Observed/Used,Career Guidance,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-006,Staff recruitment notice 2026–27,Static post,Observed/Used,Institution Update,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-007,Admission promotion with ITI building video,Video/post,Observed/Used,Admission Cycle,Local community,Existing public content signal,Existing institutional activity,Visit / contact,Marathi,Existing social,USED,Visible public-side audit,DATE-UNKNOWN,,Published link/date not captured; retain when collected.
IDEA-008,Electrician panel wiring demonstration,Reel,Reels,Trade Spotlight,Students,What happens inside an Electrician workshop?,"Real panel wiring, multimeter use and safety.",Watch / visit,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-009,Fitter bench work demonstration,Reel,Reels,Trade Spotlight,Students,Fitter असणे म्हणजे काय?,"Filing, measuring and bench fitting.",Explore Fitter,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-010,Electronics Mechanic soldering/testing,Reel,Reels,Trade Spotlight,Students,Small components. Precise skill.,Circuit assembly and testing.,Explore trade,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-011,Welder PPE and clean joint,Reel,Reels,Trade Spotlight,Students,"Skill, safety and structure.",Real welding with correct PPE.,Visit workshop,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
