Campaign_ID,Campaign_Name,Objective,Offer,Target_Audience,Location,Funnel,Pain_Points,Value_Proposition,Hooks,Creative_Angles,Scripts,Captions_Copy,Design_Direction,Format_Dimensions,Landing_Page,CTA,Budget,Campaign_Dates,Approval_Status,Published_Status,Results,Problems,Learnings,Next_Action
CAM-01,Surgery Avoidance & Second Opinion,Generate qualified second-opinion consultations for patients told they need knee or spine surgery.,Structured surgery second-opinion consultation; price/free status unverified.,"Surgery-anxious seniors, caregivers, chronic pain sufferers","Wakad, PCMC, Hinjewadi, Pune",MOFU/BOFU,Fear of surgery; conflicting advice; need for MRI review and options.,Every reasonable non-surgical option discussed honestly; surgery referred when appropriate.,Told you need surgery? Get a second opinion first. | Bring your MRI — let's discuss.,Doctor-led MRI review; questions-before-surgery carousel; patient decision journey.,No complete production script found; framework and hook fragments available.,Research ad angles; GMB posts 01 and 03; SEO cluster briefs.,Premium white/royal-blue/green; doctor-patient consultation; no anti-surgery fear framing.,1080×1350 social; 1200×900 GMB; landing page.,Proposed /surgery-second-opinion/,Get a second opinion / Bring your MRI,,,DRAFT,UNKNOWN,,"Offer price, claims, page, consent and approvals missing.",Surgery avoidance is the documented strategic moat.,"Confirm offer terms, clinical scope, landing page and approval workflow."
CAM-02,Regenerative Medicine & PRP Education,Build category authority and enquiries for appropriate regenerative therapy candidates.,"PRP/regenerative evaluation; exact procedures, prices and candidacy require doctor confirmation.","Knee OA patients, sports-injury patients, informed chronic pain patients",Pune/PCMC,TOFU/MOFU/BOFU,"Skepticism, confusion, price concerns, uncertainty about evidence.","Evidence-led, image-guided regenerative options for carefully selected candidates.","What is PRP therapy, really? | How PRP actually works.",Procedure explainer; PRP vs cortisone; candidacy; cost transparency.,No complete production script found.,"GMB post 07; Q&A 03, 04, 06; blog briefs.",Clean equipment/consultation imagery; no miracle/healing-glow visuals.,1080×1350; 1200×900 GMB; web pillar + service pages.,Proposed /regenerative-pain-medicine/ and /services/prp-therapy/,Explore options / Book specialist evaluation,,,DRAFT,UNKNOWN,,"Procedure list, evidence statements, duration, insurance and prices unverified.",Regenerative medicine is the modality supporting the core position.,Doctor-review all treatment and candidacy claims.
CAM-03,Knee Pain — Non-Surgical Options,Attract knee-pain patients considering replacement or injections.,Knee pain evaluation and non-surgical treatment discussion; offer terms unverified.,"Adults 45–70, caregivers, active adults",Wakad/PCMC/Pune,TOFU–BOFU,"Stair pain, mobility loss, replacement anxiety, cost uncertainty.",Diagnosis-led knee care with regenerative/interventional options where appropriate.,Most knee pain has more options than you have been told. | Knee cartilage worn out? Know this option before knee replacement.,Stairs; morning walks; cartilage; PRP comparisons; second opinion.,No complete script found.,GMB post 01; research knee content; knee-cartilage design feedback references.,White/cream direction requested in recent feedback; reduce footer; handwriting accent only where specifically requested.,1080×1350 social; 1200×900 GMB.,Proposed /knee-pain-treatment-wakad/,Book a knee evaluation / Get a second opinion,,,DRAFT / REVISION_REQUESTED,UNKNOWN,,Recent design variants not accessible as production files; clinical option unspecified.,Recent design feedback favors white/cream and lighter bottom content.,"Collect editable creative, identify treatment being promoted, obtain doctor approval."
CAM-04,Back/Spine Pain for Desk-Job Professionals,Reach Hinjewadi/Wakad professionals with persistent back/neck pain.,Specialist evaluation; evening appointment availability unverified.,IT/software professionals aged 28–45,"Hinjewadi, Wakad, Baner",TOFU/MOFU/BOFU,"Sitting, typing, commute, sleep disruption, work performance.",Precise diagnosis and non-surgical pathways that respect time and work needs.,Why your Hinjewadi desk job is hurting your back. | Finger numbness. Weak grip. Difficulty typing.,Desk posture; MRI explanation; nerve compression; work-life impact.,Caption example covers cervical nerve compression; Marathi story framework available.,Complete Instagram caption example; SEO desk-job blog briefs.,"Photorealistic Indian professional/doctor, clean clinical setting, no pain-glow cliché.",1080×1350; Reels 9:16; local landing page.,Proposed /blog/desk-job-back-pain-hinjewadi/ and condition pages.,Book specialist evaluation / Send reports on WhatsApp,,,DRAFT,UNKNOWN,,Hours/appointment promise and canonical WhatsApp number need confirmation.,This is a primary ICP and local niche.,Confirm appointment availability and produce first 3 scripts.
CAM-05,Monsoon Joint Pain,Seasonal awareness and appointment demand during monsoon.,Same-week consultation was proposed but not verified.,Joint-pain and arthritis patients,Wakad/PCMC,TOFU/BOFU,Seasonal stiffness and flare perceptions.,Helpful seasonal guidance and individualized evaluation.,Monsoon joint pain is real. And treatable.,Helpful tips; when to seek evaluation; local clinic update.,No complete script found.,Research Meta angle 3 and social idea 13.,"Helpful local update, moderate branding, no urgency or exaggerated seasonal claims.",1200×900 GMB; 1080×1350 social.,,Schedule an evaluation,,,NEEDS_REVIEW,UNKNOWN,,500+ patients claim and fear/urgency CTA are unsupported and conflict with active voice.,Seasonal hook is usable only after removing unsupported proof and urgency.,Rewrite as education-first content; confirm clinical advice.
CAM-06,Dr. Sanjog Founder Authority,"Build trust in Dr. Sanjog as the calm, fellowship-trained specialist and brand face.",Doctor profile and consultation.,"All priority audiences, especially skeptical patients",Pune/PCMC,MOFU/BOFU,"Concern about expertise, being rushed, unclear advice.","Fellowship-trained specialist who listens, explains and presents options.",Fellowship-trained. Patient-first. Quietly confident. | How we work.,"Introduction video, MRI explanation, when surgery is necessary, conference/education.",No complete founder script found; 15-video task remains open.,GMB posts 02 and 08; Brand Brain voice lines.,"Real Dr. Sanjog photography; composed authority; credentials once, not stacked.","Reels, YouTube, LinkedIn, 1080×1350 statics.",Proposed doctor profile page.,Talk to Dr. Sanjog / Book a consultation,,,DRAFT,UNKNOWN,,No approved portrait/video assets; no personal profile blueprint supplied.,Founder is the primary authority mechanic.,Collect portrait/video assets and define shoot plan.
CAM-07,Wakad/PCMC/Hinjewadi Local Reach,Improve local discovery and local-market relevance.,Local specialist consultation.,Residents and workers in primary service areas,"Wakad, PCMC, Hinjewadi, Pimple Saudagar, Baner, Aundh",TOFU/BOFU,Finding a credible nearby specialist; travel and access.,Neighbourhood accessibility with specialist credentials.,Caring for Wakad. Caring for Hinjewadi. Caring for PCMC.,"Directions, local patient profiles, desk-job content, clinic exterior/interior.",No complete script found.,GMB post 06; location-page SEO briefs.,Real location and clinic photography; no stock imagery.,GMB 1200×900; local pages; social 1080×1350.,"P0 Wakad, PCMC and Hinjewadi pages proposed.",Get directions / Call the clinic,,,DRAFT,UNKNOWN,,"Exact canonical NAP, service areas and business hours need sign-off.",Local intent is SEO priority #1.,"Lock NAP and photograph exterior, parking and access."
CAM-08,GMB 30-Day Growth,"Complete GBP foundation and establish recurring posts, photos, Q&A and reviews.",Not offer-led; profile optimization.,Local search users,Wakad/PCMC,All,Incomplete/uncertain profile state; limited verified performance data.,"Helpful, current, locally relevant profile.",Eight month-one post drafts and ten seed Q&As prepared.,"Education, trust, surgery avoidance, regenerative, local.",N/A,"8 GMB drafts, 10 Q&As, 21 service descriptions, business description.","1200×900, minimal text, moderate branding, authentic clinic photography.",GBP 4:3.,Existing website and proposed tracked links.,"Book, call, learn more as appropriate.",,30-day sequence prepared; start date not assigned.,DRAFT / AUDIT_PENDING,UNKNOWN,,"Manager access, verification, NAP, hours, photos and screenshot audit pending.","Foundation is complete on paper, not operationally verified.",Complete Manager audit before any edits.
CAM-09,Review Generation,Build review volume and respond consistently without privacy or policy breaches.,Optional review request after meaningful care milestone.,Eligible recent patients,Wakad/PCMC,Reputation/retention,Low/uncertain review velocity and workflow ownership.,"Optional, respectful request; every review receives a thoughtful response.",Thank you for trusting Jeevisha with your care.,"English/Marathi request, response templates, QR/review link.",11 review templates available.,Review request and reply library.,No promotional graphic required; simple WhatsApp copy and optional QR card.,WhatsApp text; small in-clinic QR card.,Direct Google review link missing.,Leave a review only if comfortable.,,,DRAFT,UNKNOWN,,"Consent/privacy workflow, owner, link and canonical phone need confirmation.","Current public profile shows 4.9 and 195 reviews, but manager analytics unavailable.",Assign workflow owner and create privacy-safe request log.
CAM-10,Sports Injury Return to Activity,Build awareness among active adults seeking non-surgical options and function-focused recovery.,Sports injury pain evaluation; exact treatments unverified.,"Runners, gym users, cricketers, active adults 20–45",Pune/PCMC,TOFU/MOFU,"Fear of losing sport, generic rest advice, surgery anxiety.",Diagnosis-led plan with regenerative/interventional options when appropriate.,Get back in the game — after the right evaluation.,"Return-to-running, PRP education, shoulder/knee injuries.",No complete script found.,Research ICP and campaign concepts.,Active but realistic Indian adults; no miraculous comeback imagery.,"Reels, YouTube, 1080×1350 social.",Proposed sports injury service page.,Book a sports injury assessment,,,DRAFT,UNKNOWN,,"No athlete testimonials, partner proof or treatment scope confirmed.",Sports audience is secondary but visually strong.,Doctor-confirm conditions/services and collect consented case material.
