Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-001,Client handover specification,Client-provided instruction,Pasted text.txt,Current conversation upload,2026-07-16,"Required folder model, extraction fields, statuses, validation rules and final response format.",HIGH,ACTIVE,00_SOURCES/Original_Uploads,Copied unchanged.
SRC-002,Logo-palette-updated design instructions,Brand/design source,prime_speciality_hospital_design_instructions_logo_palette_updated.md,Mounted project source,2026-05-26,"Operational blue/green/white visual system, layout, imagery, typography, logo and compliance guidance.",HIGH,CURRENT_WORKING_SYSTEM,00_SOURCES/Original_Uploads,Latest explicit palette decision; client sign-off evidence not found.
SRC-003,Legacy design instructions,Brand/design source,prime_speciality_hospital_design_instructions.md,Mounted project source,2026-05-20,Earlier specialist-surgery design system using inferred deep-blue/teal palette.,HIGH,SUPERSEDED_IN_COLOR,99_ARCHIVE/01_Old_Guidelines,Structural principles remain useful; palette is legacy.
SRC-004,Master Brand Brain v1.0,Brand strategy source,Prime_Speciality_Hospital_Master_Brand_Brain.md,Mounted project source,2026-05-26,"Brand core, audience psychology, positioning, voice, editorial visual philosophy, AI image DNA and anti-patterns.",HIGH,ACTIVE_WITH_VISUAL_CONFLICT,00_SOURCES/Original_Uploads,Retain voice/positioning; reconcile its teal/serif visual system with logo-based system.
SRC-005,Legacy prompting style guideline,AI prompting source,prime_speciality_hospital_prompting_style_guideline.md,Mounted project source,2026-05-26,"Reusable prompts, format add-ons and examples based on inferred blue/teal palette.",HIGH,SUPERSEDED_IN_COLOR,99_ARCHIVE/01_Old_Guidelines,Contains unverified 10+ years example.
SRC-006,Logo-palette-updated prompting guide,AI prompting source,prime_speciality_hospital_prompting_style_guideline_logo_palette_updated.md,Mounted project source,2026-05-26,"Current blue/green prompt system for GMB, social, ads and website visuals.",HIGH,CURRENT_WORKING_SYSTEM,00_SOURCES/Original_Uploads,Approval evidence not found; use as current working standard.
SRC-007,SEO Foundation v2.0,Strategic research,prime_seo_foundation_v2.md,Mounted project source,2026-05-26,"Live-SERP research, website audit, competitor map, keyword framework, page blueprints, 30 blog topics, schemas and 90-day plan.",MEDIUM_HIGH,STRATEGY_NOT_IMPLEMENTATION,00_SOURCES/Original_Uploads,"Search estimates, Prime-specific prices, timelines and claims require re-verification."
SRC-008,GMB Foundation v1.0,GMB research/performance,prime_gmb_foundation.md,Mounted project source,2026-05-20,"Windsor.ai GBP pull, profile audit, 90-day metrics, review analysis, 12 post drafts, 15 Q&As and action plan.",HIGH_FOR_DATED_METRICS,DRAFT_PLAYBOOK,00_SOURCES/Original_Uploads,Metrics are dated May 2026; proposed Q&A-seeding tactic is retired.
SRC-009,General GBP-safe content guideline,Compliance reference,GMB Post and Image Guidelines.txt,Mounted project source,DATE-UNKNOWN,Cross-industry image/caption guardrails; healthcare and spam-rejection rules.,HIGH,ACTIVE_REFERENCE,00_SOURCES/Original_Uploads,Use with current official platform policy review.
SRC-010,Primary website logo,Logo asset,prime-logo-for-website.png,Mounted project source,DATE-UNKNOWN,"Prime logo source, 580×94 px.",HIGH,RAW_SOURCE,02_ASSETS/01_Logos,Official/canonical variant still requires client confirmation.
