Area,Score,What is present,What is missing
Sources,90,"Core strategy, design, prompt, SEO, GMB guideline, handover specification and reference stubs.",Deleted/inaccessible chats and exact bytes for File Library-only assets.
Design,88,"Current logo-derived system, quick reference, full rules, type, colour and AI prompting.","Client-approved vector masters, exact colour lock and approved reference set."
Assets,30,91-row historical register and one mounted colourful raster logo.,"Most exact creative bytes, editable files, real photo/video library, rights, consent and approvals."
Content,78,"139 idea rows, 151 master content rows, carousel, copy frameworks and content-performance notes.","Verified publication history, complete captions for historical assets and approval states."
Scripts,10,Script index and gap analysis.,No complete reel/video/doctor/voiceover script text was found.
GMB,62,"Global safety guide, Gore posting guide, 8-post draft slate, 15 Q&As and review templates.","Full profile access, live post inventory, current categories/services, performance and approvals."
Campaigns,55,13 reconstructed campaign briefs and campaign index.,"Budgets, dates, approvals, exact production assets, landing pages and results."
Client details,70,"Working fact sheet, services, doctors, audiences, positioning and conflict register.","Signed canonical facts, operational scope, legal details, prices, TPA/accreditation and schedules."
Reports,45,90-day SEO/analytics baseline plus project-audit and competitive-analysis summaries.,"Ads, social, leads, CRM, call, booking and current GBP reports."
Approvals,5,Approval template and explicit no-evidence labels.,Almost all actual approvals and a named workflow.
