Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
S001,Client handover extraction brief,Project instruction,Pasted text.txt,/mnt/data/Pasted text.txt,2026-07-17,"Detailed request defining folder tree, indexes, extraction rules, validation rules, and final response requirements.",HIGH — direct user instruction,ACTIVE,00_SOURCES/Original_Uploads,Untouched copy preserved. SHA256 44056c5764b24003ad670e20b14ab40514fa111c4a0c6b19a9dbd81a77d6d8bc
S002,Strategic Research,Research document,Millennium_Woods_01_Strategic_Research.md,/mnt/data/Millennium_Woods_01_Strategic_Research.md,2026-05-28,"Business snapshot, market and competitor research, ICPs, buyer psychology, positioning, SEO/local SEO landscape, content and ad angles, blockers.",HIGH for documented observations; public signals and strategic judgments are labelled,ACTIVE_DRAFT,00_SOURCES/Original_Uploads; 00_SOURCES/Research,PM review pending. SHA256 705d00c4f60ee05f46f81ab189dbdfb4c119b229f8639bf9901d2b2d53e6d18b
S003,Audited Design Instructions,Design reference,Millennium_Woods_02_Design_Instructions.md,/mnt/data/Millennium_Woods_02_Design_Instructions.md,2026-05-28,"Conditional active visual system, typography, palette, layout, photography, CTA, compliance, GMB and social rules.",HIGH as project guidance; logo-specific section requires revalidation,CONDITIONAL_ACTIVE,00_SOURCES/Original_Uploads; 00_SOURCES/Design_References,Conflicts with currently supplied horizontal logo. SHA256 27e9973259382f822aeadfb4d2c417b2f1a9d9f5c93c32648b74d8a476aedafe
S004,Audited AI Prompting Guide,Prompting guide,Millennium_Woods_02_AI_Prompting_Guide.md,/mnt/data/Millennium_Woods_02_AI_Prompting_Guide.md,2026-05-28,"Cross-format prompt templates, dimensions, visual controls, negative prompts, compliance, NAP placeholders and QA.",HIGH as controlled production guidance,CONDITIONAL_ACTIVE,00_SOURCES/Original_Uploads; 00_SOURCES/Prompting_Guides,Use only verified facts; logo behavior needs revalidation. SHA256 4a0e575a5298b247078ad09645b6ddcffd9cc2be81e0d37be2dc9a3dec620539
S005,Site Extraction,Website extraction,Millennium_Woods_03_Site_Extraction.md,/mnt/data/Millennium_Woods_03_Site_Extraction.md,2026-05-28,"Manual extraction of five core pages, technical profile, NAP variants, program contradictions, brand variants, conversion and issue log.",HIGH for observed site state on extraction date; client approval not implied,ACTIVE_PARTIAL,00_SOURCES/Original_Uploads; 00_SOURCES/Research,Remaining mapped pages were not deep-read. SHA256 9eb0560f1907eacab0d396c4861d5d452eb8293cd16899b86353421c33de6f27
S006,Supplied horizontal logo,Image asset,Millennium Techno School logo (3).png,/mnt/data/Millennium Techno School logo (3).png,DATE-UNKNOWN,"1206×657 horizontal white-ground lockup with child/lightbulb mascot, magenta tagline, orange-red wordmark, blue/indigo descriptors.",HIGH for file inspection; authority as official primary master is unverified,PENDING_CLIENT,00_SOURCES/Original_Uploads; 02_ASSETS/01_Logos,Conflicts with black circular badge described in S003. SHA256 0d10beaa292c88d7bdf98a3cbf76399f706455ada1a96fb624b1f35916b336b2
S007,Project Audit Report,Internal audit,Millennium_Woods_Project_Audit_Report_2026-07-13.md / .docx,File Library reference — file_0000000029cc7207bf5052b4ff722e36 / file_00000000ba5871fa918bedc0d50587f9,2026-07-13,"Evidence-backed reconstruction of accessible history, deliverables, exact recovered content, asset review, conflicts, pending tasks and project status.",HIGH for accessible-history synthesis; some prior-interaction items are confirmed summaries,REFERENCE_ONLY,00_SOURCES/Research,Original bytes were not mounted in the active container; a reference note is preserved.
S008,Original design system v1,Legacy design reference,millenniumwoods_design_instructions.md,File Library reference,2026-05-13,Initial inferred/refined palette and visual system.,"MEDIUM — historical, superseded",SUPERSEDED,99_ARCHIVE/01_Old_Guidelines,Do not use as current authority.
S009,Expanded design system v1.1,Legacy design reference,millennium_woods_techno_kids_design_instructions.md,File Library — file_000000000f10720794a5f96ed13971f3,2026-05-13,"Expanded early design rules, content hooks, CTA styles, footer formats and compliance notes.","MEDIUM — historical, superseded",SUPERSEDED,99_ARCHIVE/01_Old_Guidelines,Useful for legacy concepts only.
S010,Original prompting style guideline,Legacy prompting guide,millennium_woods_techno_kids_prompting_style_guideline.md,File Library — file_000000009fbc7207b21a7448f18bef38,2026-05-13,"Original cross-format prompt library and examples including admissions, confidence, activity-learning, safety and festival posts.",MEDIUM — historical and partly stale,SUPERSEDED,99_ARCHIVE/01_Old_Guidelines,Contains stale 2025–26 and unverified urgency examples.
S011,A Day at Millennium Woods carousel production document,Content production document,Millennium_Woods_Carousel_Content.docx,File Library — four duplicate exports: file_000000008b8072088cc7381e5505ae4d; file_00000000bd347208b60f0152fdd5d847; file_0000000095707208a8b50cd4481ab417; file_000000002dc8720898dae58add93ceab,2026-06-01,"Seven-slide carousel with copy, captions, photo direction and production notes.",HIGH for recovered text; operational claims remain unverified,DRAFT_PUBLICATION_HOLD,03_CONTENT/05_Carousel_Content; 99_ARCHIVE/04_Duplicate_Files,One unique deliverable; four exports. Original bytes not mounted.
S012,Retrievable prior interaction context,Conversation history summary,N/A,Prior project interaction context,2026-05-13 to 2026-07-16,"Recovered reel structures, social strategy, banner copy, captions, design revisions and later unverified concepts.",MEDIUM to HIGH when exact text was recovered; LOW where attribution conflicted,REFERENCE_ONLY,00_SOURCES/Content_References; 99_ARCHIVE/06_Unverified_Material,No raw full transcript; exact and summary evidence are kept separate.
S013,Current handover synthesis,Generated handover,HANDOVER_REPORT.md and folder system,Generated 2026-07-17,2026-07-17,"Consolidated practical handover, indexes, governed production references, conflict register and action plan.",SYNTHESIS — grounded in S001–S012,CURRENT_HANDOVER,Project root,Does not replace original source documents.
