Content ID,Title,Topic,Language,Platform,Campaign/Format,Status,Approval source,Published date/Campaign,Original source,Destination folder,Notes
CNT-IDEAS,40+ content ideas register,"Multi-pillar (male fertility, myths, conditions, lifestyle, process, emotional, topical)",Hinglish,Instagram/Reels,-,UNUSED (mostly),None,-,Content Performance Analysis,03_CONTENT/03_Content_Ideas,Male fertility = top priority
CNT-HOOKS,Hooks & headlines library,"Hooks, formulas, headline banks, CTAs",Hinglish/English,All,-,Mixed (published hooks + draft banks),Metrics for published,-,Reels + Briefs + Brand Brain,03_CONTENT/04_Hooks_And_Headlines,Full scripts not present
CNT-ADCOPY,Campaign ad copy (all 3),IVF multi-cycle / endometrium / low AMH,English,Meta,1080x1080 + 1080x1920,DRAFT,None,01-03,Briefs 01-03,03_CONTENT/08_Ad_Copy,Confirm prices/claims
CNT-FORMATS,Reel & video formats/templates,5 formats + 3 new templates + series,Hinglish,Reels/Shorts,-,DRAFT,None,-,Content Performance Analysis,03_CONTENT/07_Reel_And_Video_Concepts,Visual reset plan
CNT-CAL,30-day recovery plan,Plateau recovery calendar,-,Instagram,-,DRAFT,None,-,Content Performance Analysis,03_CONTENT/09_Content_Calendar,"Framework, not executed"
CNT-PUB-APS,APS reel,APS/blood clotting,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
CNT-PUB-DFI,DFI reel,Male DNA fragmentation,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
CNT-PUB-THI,Thin lining reel,Asherman's,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
CNT-PUB-BUR,Burnout reel,Fertility burnout,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
CNT-PUB-NK ,NK cells reel,Immune,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
CNT-PUB-PCO,PCOS reel,PCOS,Hinglish,IG Reel,-,PUBLISHED,Metrics only,Organic,Content Performance Analysis,03_CONTENT/10_Published_Content,See Published_Reels.md
