Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Related idea,Notes
IDEA-01,Warmth / behind-the-scenes,Reel/Post,Belonging,All parents,"A morning at our school",Show real warmth of the environment,Book a Free Tour,English,Awareness,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,IDEA-16,Social pillar #1
IDEA-02,Parent testimonials,Reel/Post,Trust,Anxious/first-time,"Hear from our parents",Social proof from real families,Book a Free Tour,English,Trust,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,,Social pillar #2 - consent needed
IDEA-03,Educational / parenting tips,Carousel,Awareness,All parents,"How to choose a preschool",Helpful advice builds authority,Read/Save,English,Awareness,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,IDEA-10,Social pillar #3
IDEA-04,Program spotlights (techno/enrichment),Post/Carousel,Consideration,Aspirational,"Beyond textbooks",Art/Math/Sign Language etc,Enquire Now,English,Consideration,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,,Social pillar #4 - NOTE: brand-brain conflict on 'Techno' word
IDEA-05,Safety & facility proof,Post/Reel,Trust,Working parents,"Every room under CCTV",Reassure on safety/ratio,Book a Free Tour,English,Trust,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,,Social pillar #5 - facts only
IDEA-06,Admissions / tour CTA,Post/Story,Conversion,In-market,"Admissions open [SESSION]",Drive tour bookings,Book a Free Tour,English,Admissions,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,,Social pillar #6 - set correct session year
IDEA-07,Festivals / community,Post,Community,All parents,"Festival greeting",Tasteful festive presence,-,English,Community,APPROVED_NOT_USED,SRC-01 Sec11,2026-05-28,,Social pillar #7 - restrained/premium
IDEA-08,Choosing a preschool,Blog,Awareness,All parents,,School-readiness advice,Read,English,SEO,DRAFT,SRC-01 Sec11,2026-05-28,,Blog cluster - legacy post exists; refresh
IDEA-09,School-readiness milestones,Blog,Awareness,First-time,,Is my child ready for playgroup,Read,English,SEO,UNUSED,SRC-01 Sec11,2026-05-28,,Blog cluster
IDEA-10,Play-based learning explained,Blog/Carousel,Awareness,All parents,,Why play = learning,Read,English,SEO,UNUSED,SRC-01 Sec11,2026-05-28,IDEA-03,Blog cluster
IDEA-11,Day-care safety,Blog,Trust,Working parents,,Reassurance content,Enquire,English,SEO,UNUSED,SRC-01 Sec11,2026-05-28,,Blog cluster
IDEA-12,Why low teacher ratio matters,Blog/Post,Trust,All parents,"1:10 - here's why it matters",Ratio as differentiator,Book a Free Tour,English,Trust,UNUSED,SRC-01 Sec11,2026-05-28,,Blog cluster
IDEA-13,Problem-aware ad angle,Ad,Conversion,In-market,"A preschool near Wakad you can actually trust?",Trust-led hook,Book a Free Tour,English,Ads,UNUSED,SRC-01 Sec12,2026-05-28,,Ad angle
IDEA-14,Working-parent ad angle,Ad,Conversion,IT-corridor,"Day care that feels like home - minutes from Hinjewadi",Convenience hook,WhatsApp Us,English,Ads,UNUSED,SRC-01 Sec12,2026-05-28,,Ad angle
IDEA-15,Admission-season urgency ad,Ad,Conversion,In-market,"Admissions open - limited seats, low ratio",Seasonal urgency,Enquire Now,English,Ads,UNUSED,SRC-01 Sec12,2026-05-28,,Ad angle - avoid over-urgency
IDEA-16,Belonging moments (5-pillar model),Reel/Post,Belonging,All parents,"Small moments of being known",Signature emotional pillar,Book a tour,English,Awareness,NEEDS_REVIEW,SRC-09 (UNVERIFIED),2026-05-13,IDEA-01,From exploratory Brand Brain - concept useful but system is unverified/conflicting
IDEA-17,Developmental clarity,Reel/Post,Development,Aspirational,"A 3-yr-old buttoning their own shirt",Show growth without bragging,-,English,Awareness,NEEDS_REVIEW,SRC-09 (UNVERIFIED),2026-05-13,,From exploratory Brand Brain
IDEA-18,Editorial joy (lookbook),Photo essay,Editorial,Aspirational,"Play yard at golden hour",Image-led desire,-,English,Awareness,NEEDS_REVIEW,SRC-09 (UNVERIFIED),2026-05-13,,From exploratory Brand Brain
