GMB Content ID,Title,Post type,Language,Campaign,Status,Approval source,Published date,Published link,Original source,Image status,Destination folder,Notes
GMB-001,24×7 emergency service update,Service,English; Marathi/Hindi where relevant,24×7 Emergency and Local Visibility,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,"GBP copy must be local, helpful and moderately branded."
GMB-002,Internal medicine consultation availability,Service,English; Marathi/Hindi where relevant,Doctor-Led Family Hospital,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Do not use doctor superlatives.
GMB-003,Monsoon dengue awareness,Update,English; Marathi/Hindi where relevant,Monsoon Health PCMC,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Use 4:3 image and short overlay.
GMB-004,Child fever guidance,Update,English; Marathi/Hindi where relevant,Monsoon Health PCMC,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,No guaranteed relief.
GMB-005,Cashless desk information,Service,English,Cashless and Insurance Clarity,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Do not imply universal or guaranteed claim approval.
GMB-006,Community first-aid event,Event,English; Marathi/Hindi where relevant,Doctor-Led Family Hospital,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Event idea; no event date is confirmed.
GMB-007,New consultant or service update,Update,English; Marathi/Hindi where relevant,Doctor-Led Family Hospital,DRAFT,None recovered,,,SRC-005/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Template only; no current consultant launch is confirmed.
GMB-008,Hospital access and directions,Update,English; Marathi/Hindi where relevant,24×7 Emergency and Local Visibility,DRAFT,None recovered,,,SRC-002/SRC-006/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,Address/floor conflict must be resolved first.
GMB-009,Senior-care checklist,Update,English; Marathi/Hindi where relevant,Doctor-Led Family Hospital,DRAFT,None recovered,,,SRC-002/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,"Helpful local update, not a sales ad."
GMB-010,Festival safety reminder,Update,Marathi; English,Medical Awareness and Occasions,DRAFT,None recovered,,,SRC-002/SRC-005/SRC-007,NOT CREATED / NOT RECOVERED,04_GMB/02_GMB_Post_Ideas,"Use culturally accurate, non-tokenised visuals."
