Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Notes
IDEA-01,ICTRIMS 2026 promo,Conference creative (Type 10),Academic/Conference,Delegates + peers,"Eight international faculty. Three days.",Register/attend ICTRIMS 2026,View the programme,English,ICTRIMS 2026,UNUSED,AI Guide Example 1,2026-05-26,Prestige dark treatment; verify final faculty list
IDEA-02,Monthly Neuromeet announcement,Programme announcement (Type 11),Academic programming,Members,Case-based discussion this month,Attend the monthly meet,Join the meet,English,Evergreen,UNUSED,AI Guide Example 2,2026-05-26,Sample topic/presenter are placeholders
IDEA-03,Lecture-summary carousel,Carousel (Type 12/13),Academic + PG,PGs + members,What changed in MS diagnosis,Distil a key lecture,Read the summary,English,Evergreen,UNUSED,AI Guide Example 3,2026-05-26,Repurpose real lecture footage
IDEA-04,MS treatment escalation pathway,Infographic (Type 4),Sub-specialty / PG,PGs,The MS DMT decision tree,Educational pathway,View the archive,English,Evergreen,UNUSED,AI Guide Example 4,2026-05-26,Source citation mandatory; clinical-lead review
IDEA-05,World Brain Day post,Academic milestone (Type 9),Society/community,All peers,On practising neurology together,Restrained society reflection,None,English,Evergreen,UNUSED,AI Guide Example 5,2026-05-26,22 July; no confetti/hype; fix 'sixteen years' wording
IDEA-06,Approach to optic neuritis,PG explainer,PG-focused,PGs,Approach to optic neuritis,Exam-aligned case approach,Read the case discussion,English,Evergreen,UNUSED,Research Section 5,2026-05-26,From PG keyword bank
IDEA-07,NMOSD diagnostic criteria,PG explainer / infographic,Sub-specialty / PG,PGs + neurologists,NMOSD criteria distilled,Educational explainer,View the archive,English,Evergreen,UNUSED,Research Section 5,2026-05-26,Neuroimmunology depth (post-ICTRIMS)
IDEA-08,MOGAD treatment,PG explainer,Sub-specialty / PG,PGs + neurologists,MOGAD treatment overview,Educational explainer,Read the summary,English,Evergreen,UNUSED,Research Section 5,2026-05-26,Cite guideline
IDEA-09,Autoimmune encephalitis approach,PG explainer,Sub-specialty / PG,PGs,Approach to autoimmune encephalitis,Case-based approach,Watch the discussion,English,Evergreen,UNUSED,Research Section 5,2026-05-26,Ties to ICTRIMS AIE sessions
IDEA-10,Stroke FAST awareness,Public awareness,Public-awareness,Concerned public,Know the signs of stroke (FAST),Public-good awareness,"Consult your doctor",English,Awareness,UNUSED,Research Section 5,2026-05-26,Requires disclaimer + clinical-lead review; only if client wants awareness content
IDEA-11,Headache vs migraine,Public awareness,Public-awareness,Concerned public,Is it a headache or a migraine?,Public-good explainer,"Consult your doctor",English,Awareness,UNUSED,Research Section 5,2026-05-26,Selective; disclaimer required
IDEA-12,Founding-day reflection,Text-heavy 100% (Type 8),Society/community,All peers,Since 2010,Society milestone statement,None,English,Evergreen,UNUSED,Design Section 13,2026-05-26,Restrained editorial; use 'since 2010'
IDEA-13,PG Approach Meeting promo,Programme announcement,PG-focused,PGs,The PG meeting returns,Attend the PG meeting,See the schedule,English,Evergreen,UNUSED,Research Section 9,2026-05-26,Signature PG programme
IDEA-14,Neuromeet case archive teaser,Info+Photo (Type 5),Academic programming,Members + PGs,15 years of case discussions,Promote the (to-be-built) archive,View the archive,English,Evergreen,NEEDS_REVIEW,Research Section 9/14,2026-05-26,Depends on building a case archive first
IDEA-15,Faculty profile card,Info+Photo (Type 5),Academic/Conference,Delegates,Meet the faculty,Faculty credential card,Meet the faculty,English,ICTRIMS 2026,UNUSED,Design Section 13,2026-05-26,Needs faculty consent + real photos
