Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
CON-01,Family Hospital script,Positioning,Video script,English,IG/FB reel,Brand,DRAFT,None,-,chat 6913a21a,03_CONTENT/01_Scripts,Phone unconfirmed
CON-02,Diabetes case study,Diabetes,Video script,Hinglish,IG/FB reel,Diabetes flagship,DRAFT,None,-,chat 6913a21a,03_CONTENT/01_Scripts,Fictional patient
CON-03,Obesity case study,Obesity,Video script,Hinglish,IG/FB reel,Obesity series,DRAFT,None,-,chat 6913a21a,03_CONTENT/01_Scripts,Fictional patient
CON-04,Thyroid case study,Thyroid,Video script,Hinglish,IG/FB reel,Thyroid series,DRAFT,None,-,chat 6913a21a,03_CONTENT/01_Scripts,Partial recovery
CON-05,Urology case study,Urology,Video script,Hinglish,IG/FB reel,Urology series,DRAFT,None,-,chat 6913a21a,03_CONTENT/01_Scripts,Fictional patient
CON-06,Dengue awareness EN,Dengue,Video script,English,IG/FB reel,Monsoon awareness,DRAFT,None,-,chat 2d1b142a,03_CONTENT/01_Scripts,Facts web-verified
CON-07,Dengue awareness Marathi,Dengue,Video script,Marathi,IG/FB reel,Monsoon awareness,DRAFT,None,-,chat 2d1b142a,03_CONTENT/01_Scripts,Proof Devanagari
CON-08,June 2026 content calendar,Mixed,Content calendar,English,IG/FB,June monthly,DRAFT,None,-,chat 0b063350,03_CONTENT/09_Content_Calendar,16 posts; caption directions only
CON-09,Content ideas register (~30),Mixed,Idea register,EN/MR,All,Multiple,IDEAS,None,-,Step 01/02 + calendar,03_CONTENT/03_Content_Ideas,See CONTENT_IDEAS_REGISTER.md
CON-10,May 2026 SMO report,Reporting,Report,English,Internal,-,DELIVERED,None,2026-06-03,chat c26ced18,07_REPORTS/08_Monthly_Reports,Reusable template
