Asset ID,Asset name,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval evidence,Original source,Rights or consent,Consent status,Destination folder,Notes
AST-001,NRS Hospital horizontal logo,nrs-logo.png,DATE-UNKNOWN_NRS-Hospital_Logo-English-All-Platforms_875x332_PENDING-CLIENT_v01.png,PNG,Brand system,All,875×332,English,PENDING_CLIENT,No explicit approval message; supplied as current project source,SRC-001,Client-supplied working source; ownership not separately documented,NOT_APPLICABLE,02_ASSETS/01_Logos,"Only mounted logo variant; tagline Nurture, Recover & Secure Life."
AST-002,Doctor consultation-room photograph,C5737T01.JPG,2026-04-27_NRS-Hospital_Doctor-Consultation-Photo_RAW_v01.jpg,JPG,Doctor-led brand,Social/website,Unknown,N/A,RAW,None,SRC-010,Unknown,UNKNOWN,02_ASSETS/04_Doctor_Founder_Team_Photos,Identity and rights unproven; retrieve source and release.
AST-003,Dr. Survase profile screenshot,Screenshot 2026-04-27 at 6.32.38 PM.png,2026-04-27_NRS-Hospital_Dr-Survase-Profile-Reference_UNVERIFIED_v01.png,PNG,Doctor profile,Internal reference,Unknown,English,RAW,None,SRC-011,Public-profile reference only,NOT_APPLICABLE,99_ARCHIVE/06_Unverified_Material,Contains 29 overall/22 specialist claim; do not publish as creative.
AST-004,NRS Wellness seven-slide carousel master,Improve your health with Dr. Pranav.png,2026-05-20_NRS-Hospital_Stress-Weight-Mind-Body_Carousel-English-Instagram_PENDING-CLIENT_v01.png,PNG composite,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Composite; individual slides likely square,English,PENDING_CLIENT,None,SRC-012,Generation/source rights unknown,MODEL_OR_PATIENT_CONSENT_UNKNOWN,02_ASSETS/08_Final_Exports,"Requires NAP, claims, clinical, association and design review."
AST-005,Nine-tile awareness board,Medical awareness through cohesive design.png,2026-05-20_NRS-Hospital_Medical-Awareness_Creative-Board-Multilingual-Social_PENDING-CLIENT_v01.png,PNG composite,Medical awareness/occasions,Instagram/Facebook,3×3 composite,English/Marathi,PENDING_CLIENT,None,SRC-013,Generation/source rights unknown,MODEL_CONSENT_UNKNOWN,02_ASSETS/08_Final_Exports,Legacy NAP and compliance issues.
AST-006,Obesity education ten-slide carousel,Obesity: A guide to understanding risks.png,2026-05-20_NRS-Hospital_Obesity-Risks_Educational-Carousel-English-Instagram_PENDING-CLIENT_v01.png,PNG composite,Obesity awareness,Instagram/carousel,10-slide composite,English,PENDING_CLIENT,None,SRC-015,Generation/source rights unknown,MODEL_CONSENT_UNKNOWN,02_ASSETS/08_Final_Exports,Doctor/NAP/medical content require verification; Hinjewadi footer conflict.
AST-007,Health consultation promotional creative,Health consultation at NRS Hospital.png,2026-07-02_NRS-Hospital_Health-Consultation_Static-Ad-English-Social_DRAFT_v01.png,PNG,Health consultation,Social/ad,Unknown,English,DRAFT,None,SRC-016,Generation/source rights unknown,MODEL_CONSENT_UNKNOWN,02_ASSETS/08_Final_Exports,Phone/email/tagline conflict; do not publish.
AST-008,Dr. Pranav profile export,nrs_carousel_slide_05.png,2026-05-21_NRS-Hospital_Stress-Weight_nrs_carousel_slide_05.png_PENDING_CLIENT_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,PENDING_CLIENT,None,SRC-014,Unknown,UNKNOWN,02_ASSETS/08_Final_Exports,"File Library pointer only. FIXED means corrected, not approved."
AST-009,Mind-body booking CTA export,nrs_carousel_slide_07.png,2026-05-21_NRS-Hospital_Stress-Weight_nrs_carousel_slide_07.png_PENDING_CLIENT_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,PENDING_CLIENT,None,SRC-014,Unknown,UNKNOWN,02_ASSETS/08_Final_Exports,"File Library pointer only. FIXED means corrected, not approved."
AST-010,Whole-person approach variant,NRS_Slide_4.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Slide_4.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-011,Whole-person Dr. Pranav variant,NRS_Dr_Pranav_Slide_4.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Dr_Pranav_Slide_4.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-012,Whole-person lowercase variant,NRS_slide_4.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_4.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-013,Whole-person revision,NRS_Wellness_slide_4.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Wellness_slide_4.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
