Idea_ID,Topic,Pillar,Audience,Hook,Message,CTA,Status,Notes
IDEA-069,India Book achievement update,Achievement,Local searchers,KUMSS skill achievement,Verified record details.,Visit us,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-070,Workshop facility update,Infrastructure,Parents,Inside our workshop,Real facility photo/context.,Visit campus,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-071,Faculty profile update,Faculty Credibility,Parents,Meet our instructor,Verified role/credential.,Learn,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-072,Industry visit update,Industry Connection,Parents/Students,उद्योग भेट,Verified company/context.,Learn,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-073,Admissions update,Admission Cycle,Parents/Students,Admissions open 2026–27,Confirmed trades/contact.,Call / visit,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-074,Trade service — Electrician,Trade Spotlight,Local searchers,Electrician course in Baramati,Helpful verified facts.,Contact,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-075,Trade service — Fitter,Trade Spotlight,Local searchers,Fitter course in Baramati,Helpful verified facts.,Contact,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-076,Campus location and directions,Local Information,Visitors,How to reach KUMSS ITI,Canonical map pin/landmarks.,Directions,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-077,Admission document checklist,Admission Cycle,Parents,Documents to bring,Confirmed list.,Call,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-078,Principal message,Parent Reassurance,Parents,A message to parents,Calm campus invitation.,Visit,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-079,FAQ: What is NCVT?,Education,Parents,Understanding certification,Education without claiming status.,Learn,UNUSED,"4:3, moderate branding, no urgency/guarantees."
IDEA-080,Review response cadence,Reputation,Reviewers,Thank you for your feedback,Personalised response.,Contact,UNUSED,"4:3, moderate branding, no urgency/guarantees."
