Asset ID,Asset name,Date,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval source,Approval evidence,Original source,Destination folder,Usage rights,Rights or consent,Consent status,Notes
AST-001,Hospital signage reference,2026-05-09,15939f81-be93-4f38-9dca-d95e043d27fb.png,2026-05-09_Gore-Hospital_Hospital-Signage_Facility-Photo_NA_Reference_SIZE-UNKNOWN_RAW_v01.png,Facility-Photo,Brand_Identity,Reference,UNKNOWN,EN,RAW,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,02_ASSETS/05_Clinic_Office_Product_Photos,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Reference photo / Hospital signage / identity. Iteration/decision: Earliest Gore-specific evidence. Audit disposition: Keep as historical input. Original bytes are reference-only unless separately mounted.
AST-002,gore_hospital_design_instructions,2026-05-09,gore_hospital_design_instructions.md,2026-05-09_Gore-Hospital_gore-hospital-design-instructions_Source-Document_EN_NA_SIZE-UNKNOWN_SUPERSEDED_v01.md,Source-Document,Brand_Operations,NA,UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/01_Old_Guidelines,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Design document / Legacy generic-blue system. Iteration/decision: Initial visual rules. Audit disposition: Deprecated by 24 May revised file. Original bytes are reference-only unless separately mounted.
AST-003,gore_hospital_prompting_style_guideline,2026-05-09,gore_hospital_prompting_style_guideline.md,2026-05-09_Gore-Hospital_gore-hospital-prompting-style-guideline_Source-Document_EN_NA_SIZE-UNKNOWN_SUPERSEDED_v01.md,Source-Document,Brand_Operations,NA,UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/01_Old_Guidelines,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Prompt document / Legacy generic-blue prompts. Iteration/decision: Initial creative prompt system. Audit disposition: Deprecated by 24 May revised guide. Original bytes are reference-only unless separately mounted.
AST-004,Promoting women’s health: new PMOS update,2026-05-15,Promoting women’s health: new PMOS update.png,2026-05-15_Gore-Hospital_Promoting-women-s-health-new-PMOS-update_Social-Creative_EN_Social_SIZE-UNKNOWN_ARCHIVED_v01.png,Social-Creative,Womens_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,ARCHIVED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Creative brief/asset / Women’s health. Iteration/decision: Requested “PCOS name changed to PMOS”. Audit disposition: Do not publish without authoritative medical verification. Original bytes are reference-only unless separately mounted.
AST-005,PCOS becomes PMOS: Women’s Health Update,2026-05-15,PCOS becomes PMOS: Women’s Health Update.png,2026-05-15_Gore-Hospital_PCOS-becomes-PMOS-Women-s-Health-Update_Creative-Revision_EN_Social_SIZE-UNKNOWN_ARCHIVED_v01.png,Creative-Revision,Womens_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,ARCHIVED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision / Women’s health. Iteration/decision: Made “Women’s Health Update” larger; removed consultation CTA. Audit disposition: High-risk claim; archive pending verification. Original bytes are reference-only unless separately mounted.
AST-006,Posture and joint care for desk jobs,2026-05-15,Posture and joint care for desk jobs.png,2026-05-15_Gore-Hospital_Posture-and-joint-care-for-desk-jobs_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Orthopaedic_Joint_Pain,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Creative brief/asset / Orthopaedics / desk workers. Iteration/decision: Four posture and movement tips. Audit disposition: Rebuild under current brand if retained. Original bytes are reference-only unless separately mounted.
AST-007,PCOS to PMOS: Women’s Health Update,2026-05-15,PCOS to PMOS: Women’s Health Update.png,2026-05-15_Gore-Hospital_PCOS-to-PMOS-Women-s-Health-Update_Creative-Revision_EN_Social_SIZE-UNKNOWN_ARCHIVED_v01.png,Creative-Revision,Womens_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,ARCHIVED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision / Women’s health. Iteration/decision: Requested a girl resembling reference image. Audit disposition: High-risk claim and likeness/reference governance review. Original bytes are reference-only unless separately mounted.
AST-008,Thyroid health awareness campaign,2026-05-15,Thyroid health awareness campaign.png,2026-05-15_Gore-Hospital_Thyroid-health-awareness-campaign_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Endocrinology_Awareness,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,"Type/topic: Creative brief / Endocrinology. Iteration/decision: Symptoms, “1 in 10 Indians”, blood-test CTA. Audit disposition: Statistic source required. Original bytes are reference-only unless separately mounted."
AST-009,Thyroid awareness for a healthy life,2026-05-15,Thyroid awareness for a healthy life.png,2026-05-15_Gore-Hospital_Thyroid-awareness-for-a-healthy-life_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Endocrinology_Awareness,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Endocrinology. Iteration/decision: Gold/white layout with symptoms and test CTA. Audit disposition: Wrong/uncertain address text detected; rebuild. Original bytes are reference-only unless separately mounted.
AST-010,Thyroid health awareness and care guide,2026-05-15,Thyroid health awareness and care guide.png,2026-05-15_Gore-Hospital_Thyroid-health-awareness-and-care-guide_Creative-Revision_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Creative-Revision,Endocrinology_Awareness,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision instruction / Endocrinology. Iteration/decision: Remove Gudi and butterfly; simplify single address box. Audit disposition: Revision decision retained. Original bytes are reference-only unless separately mounted.
