Campaign ID,Campaign name,Objective,Offer,Audience,Location,Start date,End date,Platforms,Status,Primary CTA,Brief source,Results available,Destination folder,Notes
CAMP-001,Canonical Facts and Trust Remediation,"Resolve public-data, identity, claim and approval conflicts before scaling marketing.",None,"Internal leadership, operations, clinical reviewer and marketing team",All channels,Immediate 30-day sprint,UNKNOWN,"Fact sheets, registers, website/GBP corrections",ACTIVE / PENDING DECISIONS,Approve and publish canonical data,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No completed remediation evidence supplied.,05_CAMPAIGNS/CAMP-001_Canonical-Facts-and-Trust-Remediation,Problems: Leadership decisions and evidence missing. Next: Run client decision meeting and lock facts.
CAMP-002,Laser Piles Education and Consultation,Educate patients and convert appropriate local consultation demand.,Consultation availability; prices/insurance not approved,Adults in Moshi/PCMC with piles symptoms or treatment fear,"Moshi, Bhosari, Chakan, PCMC, Pune",May 2026 onward; active backlog,UNKNOWN,"Doctor reels, static posts, GMB posts, service page, blogs, ads",DRAFT / PARTIALLY PRODUCED,Book consultation / send report through approved channel,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No campaign-level enquiry or booking data.,05_CAMPAIGNS/CAMP-002_Laser-Piles-Education-and-Consultation,"Problems: Pain, time, cost, insurance and no-cuts claims unapproved. Next: Approve clinical claims and rebuild service landing page."
CAMP-003,Piles vs Fissure Differential Education,Reduce self-diagnosis and explain that common anorectal symptoms can have different causes.,Consultation/evaluation,Adults calling all anal pain or bleeding 'piles',Moshi/PCMC,25 May 2026,UNKNOWN,"55-second reel, storyboard, carousel",DRAFT / PARTIALLY RECOVERED,Do not self-diagnose; use approved booking channel,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,None supplied.,05_CAMPAIGNS/CAMP-003_Piles-vs-Fissure-Differential-Education,Problems: 'Almost half' prevalence statistic unverified; middle script unavailable. Next: Rewrite statistic and rebuild full medically reviewed script.
CAMP-004,Laparoscopic Hernia Education and Consultation,"Capture local hernia search/consultation demand through clear diagnosis, options and recovery guidance.",Consultation; proposed cost/insurance claims unapproved,"Adults with a lump, lifting/coughing discomfort or diagnosed hernia","Moshi, Bhosari, Chakan, PCMC, Pune",May 2026 onward,UNKNOWN,"Reels, GMB, service page, blogs, FAQ, ads",DRAFT STRATEGY,Book consultation / discuss reports,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No first-party results.,05_CAMPAIGNS/CAMP-004_Laparoscopic-Hernia-Education-and-Consultation,"Problems: Fixed discharge, 5–7-day return-to-work, cost and insurance claims unapproved. Next: Clinical approval + service-page implementation + tracking."
CAMP-005,Gallbladder and Appendix Education,"Educate about symptom patterns, urgent red flags and laparoscopic treatment pathways.",Consultation/report review; no approved price offer,Adults with recurring upper-abdominal pain or acute right-lower abdominal pain,PCMC/Pune,May 2026 onward,UNKNOWN,"GMB, reels, blogs, service pages",DRAFT STRATEGY,Send approved report / call for urgent symptoms,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No campaign results.,05_CAMPAIGNS/CAMP-005_Gallbladder-and-Appendix-Education,"Problems: Procedure time, stay, diet and recovery claims need review. Next: Clinical red-flag protocol and landing-page rewrite."
CAMP-006,Fissure and Fistula Awareness,"Encourage confidential evaluation for recurrent pain, swelling or discharge.",Confidential consultation; treatment claims unapproved,Adults with recurring anorectal symptoms,Moshi/PCMC,May–June 2026 onward,UNKNOWN,"Bilingual reels, captions, GMB, static posts",DRAFT / PARTIALLY RECOVERED,Book a confidential assessment,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,None supplied.,05_CAMPAIGNS/CAMP-006_Fissure-and-Fistula-Awareness,Problems: Laser/minimal-pain/recovery claims unapproved. Next: Recover/rewrite scripts and obtain clinical approval.
CAMP-007,Endoscopy Education,"Reduce uncertainty about preparation, procedure and safety.","Endoscopy appointment, subject to confirmed service scope",Patients referred for upper GI endoscopy or colonoscopy,Moshi/PCMC/Pune,Prompt example May 2026; FAQ image July 2026,UNKNOWN,"Static FAQ, reel, WhatsApp creative, blog",DRAFT,Ask your doctor / book after evaluation,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,None supplied.,05_CAMPAIGNS/CAMP-007_Endoscopy-Education,"Problems: FAQ image uses both phone numbers; exact facility/services need verification. Next: Confirm service scope, protocol and canonical NAP."
CAMP-008,Advanced Surgical Care Local Promotion,Build awareness that surgical services are available locally in Moshi/PCMC.,Local consultation access,Patients/families in Moshi and surrounding PCMC areas,"Moshi, PCMC, Pune",June 2026,UNKNOWN,"Instagram promo reel, flyer, local conversion post",PARTIALLY LIVE,Call / WhatsApp / book after canonical confirmation,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No reach/enquiry/booking data.,05_CAMPAIGNS/CAMP-008_Advanced-Surgical-Care-Local-Promotion,"Problems: Scope, phone, experience and claim consistency. Next: Attach URL/results and revise facts before reuse."
CAMP-009,Google Business Profile 90-Day Growth,Improve procedure-intent discovery and profile conversion.,"Verified services, content, directions and appointment route",Local high-intent Google/Maps users,Moshi/PCMC,May–August 2026 proposed,UNKNOWN,"GBP profile fields, posts, photos, reviews, Q&A",STRATEGY COMPLETE / IMPLEMENTATION UNVERIFIED,Call/directions/website/booking,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,"Baseline: 3,929 impressions, 161 calls, 35 website clicks, 352 directions in 90 days.",05_CAMPAIGNS/CAMP-009_Google-Business-Profile-90-Day-Growth,"Problems: Phone/category/hours conflicts; synthetic Q&A tactic retired. Next: Refresh data, resolve NAP, update profile and publish verified posts."
CAMP-010,SEO and Website Remediation,Correct trust/compliance issues and build high-intent local treatment visibility.,Information and consultation pathways,"Searchers across symptom, treatment, cost and local intent",Moshi/PCMC/Pune,90-day plan from May 2026,UNKNOWN,"Website pages, schema, blogs, analytics",STRATEGY COMPLETE / IMPLEMENTATION UNVERIFIED,WhatsApp/call/form after canonical decision,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No GA4/GSC baseline supplied in active handover.,05_CAMPAIGNS/CAMP-010_SEO-and-Website-Remediation,Problems: Public site reportedly retains old copy/claims; tracking unverified. Next: Implement foundation and measure.
CAMP-011,Instagram Doctor Authority System,"Build familiarity, trust and qualified local consultation enquiries.",Doctor-led education and clear booking route,Local adults/families researching surgery,Moshi/Bhosari/Chakan/Alandi/PCMC,July 2026 30/60/90-day plan,UNKNOWN,2 reels + 1 trust post + 1 local conversion post weekly,DRAFT OPERATING SYSTEM,"Call, WhatsApp or book—one per asset",Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,Public counts directional only; Insights unavailable.,05_CAMPAIGNS/CAMP-011_Instagram-Doctor-Authority-System,"Problems: Canonical bio/phone and content architecture unresolved. Next: Rewrite bio, build highlights, record 12 doctor reels and instrument enquiries."
CAMP-012,June 2026 Promotional Flyer Production,Produce a vertical promotional flyer aligned to a reference layout.,Surgical consultation / service awareness,Local WhatsApp/story/print viewers,Moshi/PCMC/Pune,8 June 2026,UNKNOWN,Seven HTML variants + one 1080×1920 PNG,PRODUCTION COMPLETE / APPROVAL UNKNOWN,Appointment contact,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,No distribution or performance data.,05_CAMPAIGNS/CAMP-012_June-2026-Promotional-Flyer-Production,"Problems: Duplicate variants, 10+ years claim, rights/consent and NAP issues. Next: Archive duplicates; verify final facts and rights."
CAMP-013,Transparent Pricing and Insurance Education,"Address financial uncertainty with accurate, case-dependent information.",Approved cost range/estimate and insurance assistance,Cost-anxious surgical patients and families,PCMC/Pune,Proposed May 2026 onward,UNKNOWN,"Blog, FAQ, GMB, landing-page module",UNUSED / BLOCKED BY FACTS,Get an approved estimate / check policy,Master Brand Brain / SEO / GMB / audits / conversation reconstruction as applicable,None.,05_CAMPAIGNS/CAMP-013_Transparent-Pricing-and-Insurance-Education,Problems: All current ranges and insurer claims unapproved. Next: Finance/insurance approval and validity dates.
