Fact ID,Fact category,Variant A,Source A,Variant B,Source B,Status,Risk,Required confirmer,Notes
F001,Canonical business address and PIN,"108/3/1B, Revaz Business Park, Marunji Road, Tathawade, Wakad, PCMC — 411033",Onboarding brief quoted in Strategic Research / Site Extraction,Revas Business Park / Marunji Road / Wakad or Marunji — 411057; site footer also uses Wakadkar Wasti,Website contact/footer and Justdial observations,CONFLICTING,"Critical local SEO, directions, trust and printed-creative error",Client owner / PM,"Obtain one client-signed canonical NAP including exact building spelling, street, locality, city, state, PIN and map pin."
F002,Map plus code,HQW4+74W,Website footer,JP6V+2R,Website Location map embed,CONFLICTING,Customers may be routed to different places,Client owner / Local SEO,Verify the live entrance pin in person or with the client; update all properties.
F003,Revaz vs Revas business-park spelling,Revaz,Onboarding brief,Revas,Website contact block and Justdial,CONFLICTING,Citation inconsistency and navigation confusion,Client owner,Confirm spelling from legal/lease signage and use one exact version.
F004,Independent school vs Little Millennium relationship,Project treats Millennium Woods as an independent preschool,"Own domain, brand and social handles; Strategic Research inference",Website footer and directory copy reference Little Millennium,Website / Justdial observations,CONFLICTING,"Brand misrepresentation, competitor contamination, legal and customer confusion",Client owner / Legal / PM,Client must confirm franchise/ownership status in writing; remove unauthorized competitor references.
F005,Parent entity / ownership,SSSPM nav label and “All Rights Reserved by Sai Sakal” may indicate a parent entity,Website extraction,No confirmed legal entity or ownership record,Available project files,CONFLICTING,"Incorrect footer, contracts, invoices and About copy",Client owner / PM,"Confirm registered entity, operating trust/society and permitted public wording."
F006,Canonical brand name,Millennium Woods Techno Kids Pre-School,Project documents and supplied logo,Millennium Woods Techno KIds; Millennium Wood Kids; Millennium Wood Kids Preschool; millenniumwoodkids; @milleniumwoods,Website and social observations,CONFLICTING,"SEO dilution, inconsistent design and customer confusion",Client owner / Brand lead,"Approve one canonical display name, one short name and one social-handle convention."
F007,Primary logo authority,"Horizontal white-ground lockup, 1206×657",Supplied PNG inspected in current project,Circular badge on black ground,May 28 Design Instructions description,CONFLICTING,"Wrong logo, clear-space behavior and palette in future production",Client owner / Designer,"Collect official vector pack and written hierarchy: primary, secondary, avatar, monochrome and print variants."
F008,Brand colour authority,May 28 reconciled palette based on presumed circular badge,Design Instructions,Horizontal-logo sampled colours and earlier pastel system differ,Current PNG and legacy design documents,CONFLICTING,Inconsistent templates and print colour drift,Client owner / Designer,Approve vector-derived RGB/CMYK/Pantone values after logo hierarchy is resolved.
F009,Program age bands,Day Care 1.5–3; Play Group 2–3; Nursery 3–4; Jr.KG 4–5; Sr.KG 5–6,Home / Programs pages,Playgroup 1.5–2.5; Nursery 2.5–3.5; Jr.KG 3.5–4.5; Sr.KG 4.5–5.5; Day Care omitted,Admissions page,CONFLICTING,Incorrect eligibility advertising and lost enquiries,Academic head / Admissions / PM,Client must approve current-session age and DOB matrix and Day Care availability.
F010,Current admissions session,Admissions 2025–26,Live Admissions page and legacy prompt examples,Prior captions use Admissions 2026–27,Retrieved prior context,CONFLICTING,Stale or premature advertising,Admissions / PM,"Confirm current intake/session, start date, age cutoff and offer validity before publishing."
F011,Operating start time and carousel schedule,Mon–Sat 9:00 AM–5:00 PM,Website FAQ,Carousel day begins at 8:30 AM,June 1 carousel draft,CONFLICTING,Operational misinformation and parent dissatisfaction,Operations / PM,"Confirm preschool, daycare, office and drop-off hours separately."
F012,Tour availability,Primary website CTA says Book a Visit / Schedule a Tour; no fixed walk-in claim documented,Website extraction,“No appointment needed” and Tue/Thu 9:00–10:30 tours,June 1 carousel draft,CONFLICTING,Visitors may arrive when staff are unavailable,Admissions / Operations,"Approve appointment policy, days, times and contact workflow; hold carousel CTA until confirmed."
F013,Phone verification and click-to-call behavior,+91 9325149578 appears consistently as display text,Website and project documents,Footer tel link dials +1 5417543010; client/GBP verification not recorded,Site Extraction,CONFLICTING,Lost calls and wrong-number dialing,Client / Developer,Client verifies number and WhatsApp availability; developer fixes tel link and tests all devices.
F014,"Safety, ratio and curriculum claims","1:10 ratio, CCTV, trained staff, secure pickup/drop, research/play-based curriculum",Website FAQ / pages,No client-approved claims register or operational evidence attached,Project audit,CONFLICTING,Unsupported advertising and parent-trust exposure,School leadership / PM,"Create approved-claims register with owner, evidence, date and permitted wording."
F015,Ratings and review count,4.8/5 across 254 Justdial ratings observed 2026-05-28,Strategic Research,No verified GBP rating or client-approved proof,Project gating / audit,CONFLICTING,Misleading social-proof claim and stale data,PM / Local SEO,Verify source/profile ownership and capture dated evidence before any creative use.
F016,Uniform colour,Older prompts assumed yellow uniform,Legacy prompting history,Revised guide says uniform colour is unknown,May 28 AI Prompting Guide,CONFLICTING,Inaccurate generated imagery,Client / Designer,Use generic school uniform or collect approved uniform reference photos.
F017,Social links,Instagram @milleniumwoods and a real Facebook page were observed,Strategic Research / Site Extraction,Website Facebook and YouTube links point to generic roots,Website footer,CONFLICTING,Traffic leakage and weak trust,Client / Developer / Social lead,Confirm official URLs and replace all placeholders.
F018,Carousel operational and pedagogy absolutes,"Claims include every child greeted by name, no worksheets, self-paced choice, outdoor time, daily books/creativity",June 1 carousel draft / audit QA,No approved timetable or curriculum evidence,Project audit,CONFLICTING,"Publication of absolute, unverified statements",Academic head / PM,Fact-check every slide with academic/operations owner and soften absolutes where evidence is unavailable.
F019,Website implementation status,Issues and recommended fixes are fully documented,Site Extraction,No proof fixes were deployed,Project Audit,CONFLICTING,Team may assume critical bugs are closed,Developer / SEO / PM,Run a live QA checklist and capture before/after URLs/screenshots.
F020,Approval and publication status,Some source documents describe content as final or production-ready,June carousel and prompt documents,"No client approval messages, URLs or platform records were found",Project Audit,CONFLICTING,Drafts may be mistaken for approved/live content,PM / Client,Use DRAFT/PENDING_CLIENT until a dated approval or live URL is recorded.
