Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
CNT-001,Signs your child’s fever needs a doctor (and signs it doesn’t),Blog,Child health,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-002,"Monsoon health guide for PCMC families: dengue, viral, gastro",Blog,Seasonal health,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-003,Heart attack symptoms in women you shouldn’t ignore,Blog,Cardiology,EN,Social,Womens_Health,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-004,Knee pain after 40: when to see an orthopaedist,Blog,Orthopaedics,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-005,"PCOS symptoms, causes, and what’s actually true",Blog,Women’s health,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-006,Diabetes diet for Indian families (without giving up rice),Blog,Chronic care,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-007,Normal delivery vs C-section: how decisions are made,Blog,Maternity,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-008,What to expect at your first cardiac check-up,Blog,Cardiology,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-009,Dental implant cost in Pune (and why it varies),Blog,Dental,EN,Social,Dental_Family_Care,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-010,Dialysis explained for families: a guide for caregivers,Blog,Nephrology,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-011,Vaccination schedule for Indian children: a parent’s checklist,Blog,Paediatrics,EN,Social,Paediatric_Fever_and_Child_Health,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-012,When to take your parent to the emergency room,Blog,Emergency,EN,Social,24x7_Emergency_and_Trauma,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-013,Hypertension: a quiet condition that PCMC adults shouldn’t ignore,Blog,Chronic care,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-014,Cashless insurance at Gore Hospital — how it works,Blog,Insurance,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
CNT-015,5 myths about cancer screening Indians still believe,Blog,Oncology,EN,Social,General_Health_Awareness,NEEDS_REVIEW,None found,,Gore_Hospital_00_Strategic_Research.md,03_CONTENT/03_Content_Ideas,"Requires fact, clinical, compliance and approval checks before production."
