Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
SCR-001,"Piles: Symptoms, Causes and Early Evaluation",Piles,Script / video copy,English / Marathi,Instagram / Reels / video,Piles Education,DRAFT / PARTIALLY RECOVERED,No approval evidence,,13 May 2026 conversation reconstruction recorded in the comprehensive project audit,03_CONTENT/01_Scripts/2026-05-13_Prime-Piles_Reel-Script_English-Marathi_DRAFT_v01.md,Full exact script unavailable.
SCR-002,Fissure: Cutting Pain and Constipation,Anal fissure,Script / video copy,English / Marathi,Instagram / Reels / video,Fissure Education,DRAFT / PARTIALLY RECOVERED,No approval evidence,,13 May 2026 conversation reconstruction recorded in the comprehensive project audit,03_CONTENT/01_Scripts/2026-05-13_Prime-Anal-fissure_Reel-Script_English-Marathi_DRAFT_v01.md,Full exact script unavailable.
SCR-003,"Fistula: Recurrent Swelling, Boils or Discharge",Anal fistula,Script / video copy,English / Marathi,Instagram / Reels / video,Fistula Education,DRAFT / PARTIALLY RECOVERED,No approval evidence,,13 May 2026 conversation reconstruction,03_CONTENT/01_Scripts/2026-05-13_Prime-Anal-fistula_Reel-Script_English-Marathi_DRAFT_v01.md,Exact CTA fragment preserved.
SCR-004,Laser Piles: Fear of Pain and Modern Treatment,Laser piles treatment,Script / video copy,English / Marathi,Instagram / Reels / video,Laser Piles Education,DRAFT / EXACT FRAGMENTS RECOVERED,No approval evidence,,13 May 2026 conversation reconstruction,03_CONTENT/01_Scripts/2026-05-13_Prime-Laser-piles-treatment_Reel-Script_English-Marathi_DRAFT_v01.md,Do not complete the truncated Marathi sentence by guesswork.
SCR-005,Piles vs Fissure: Do Not Self-Diagnose,Piles versus fissure,Script / video copy,English; Marathi adaptation referenced,Instagram / Reels / video,Piles vs Fissure Education,DRAFT / PARTIALLY RECOVERED,Revision evidence only; no final approval,,25 May 2026 conversation reconstruction,03_CONTENT/01_Scripts/2026-05-25_Prime-Piles-versus-fissure_Reel-Script_English-Marathi-adaptation-referenced_DRAFT_v01.md,Numeric prevalence claim is unverified.
SCR-006,Advanced Surgical Care Is Now Closer to You,Hospital surgical-service introduction,Script / video copy,English,Instagram / Reels / video,Advanced Surgical Care,LIVE / PARTIAL COPY RECOVERED,Publication evidence; formal client approval not separately recorded,2026-06-23,23 June 2026 public match documented in comprehensive project audit,03_CONTENT/01_Scripts/2026-06-23_Prime-Hospital-surgical-service-introduction_Reel-Script_English_LIVE_v01.md,Do not infer approval from publication.
CAP-001,Surgical-awareness caption batch,Surgical-awareness caption batch,Social caption batch,English / possible Marathi,Instagram / Facebook,Surgical Awareness,DRAFT,None,,Conversation reconstruction,03_CONTENT/02_Captions/2026-06-11_Prime-Surgical-Awareness_Caption-Batch_English_RECONSTRUCTED_v01.md,Topics recovered; exact copy unavailable; two-phone conflict propagated.
CAP-002,Advanced surgical care is now closer to you,Advanced surgical care is now closer to you,Published promo caption,English,Instagram,Advanced Surgical Care,LIVE,Public match; no separate approval log,2026-06-23,Public-surface match documented by comprehensive audit,03_CONTENT/02_Captions/2026-06-23_Prime-Advanced-Surgical-Care_Promo-Caption_English_LIVE-PARTIAL_v01.md,Exact full caption and public URL unavailable.
CAP-003,Prime caption style and format reference,Prime caption style and format reference,Caption template,English / multilingual adaptation,Instagram / Facebook / LinkedIn,All,REFERENCE,N/A,,Master Brand Brain + prompting guides,03_CONTENT/02_Captions/Caption_Style_And_Format_Reference.md,"Format reference, not publish-ready copy."
IDEA-001,Is Laser Piles Surgery Painful? What to Actually Expect,Is Laser Piles Surgery Painful? What to Actually Expect,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-002,Hernia Surgery Cost in Pune: The Honest Guide (2026),Hernia Surgery Cost in Pune: The Honest Guide (2026),Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-003,"Laser Piles Treatment Cost in Pune: Real Numbers, No Surprises","Laser Piles Treatment Cost in Pune: Real Numbers, No Surprises",Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-004,Hernia Surgery Recovery: Day 1 to Day 30 — What to Expect,Hernia Surgery Recovery: Day 1 to Day 30 — What to Expect,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,200 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-005,Can Hernia Be Treated Without Surgery? When to Decide,Can Hernia Be Treated Without Surgery? When to Decide,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,000 words; funnel stage TOFU–MOFU. Claims, costs and patient stories require approval."
IDEA-006,Hernia Symptoms Every Man Should Know — And Not Ignore,Hernia Symptoms Every Man Should Know — And Not Ignore,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage TOFU. Claims, costs and patient stories require approval."
IDEA-007,Bleeding While Passing Stool: When Is It Serious?,Bleeding While Passing Stool: When Is It Serious?,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 800 words; funnel stage TOFU. Claims, costs and patient stories require approval."
IDEA-008,Laser vs Open Piles Surgery: An Honest Comparison,Laser vs Open Piles Surgery: An Honest Comparison,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,000 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-009,Laparoscopic vs Open Hernia Surgery: Which Is Right for You?,Laparoscopic vs Open Hernia Surgery: Which Is Right for You?,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,000 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-010,Gallbladder Stone Surgery Cost in Pune (2026 Guide),Gallbladder Stone Surgery Cost in Pune (2026 Guide),Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-011,Piles Surgery Recovery Time: Back to Work in 3–5 Days?,Piles Surgery Recovery Time: Back to Work in 3–5 Days?,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-012,"What Is Day-Care Surgery? What to Expect Before, During, and After","What Is Day-Care Surgery? What to Expect Before, During, and After",Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-013,Does Insurance Cover Piles Surgery in Pune? A Practical Guide,Does Insurance Cover Piles Surgery in Pune? A Practical Guide,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-014,Gallbladder Stone Symptoms: When Pain Means It's Time to See a Surgeon,Gallbladder Stone Symptoms: When Pain Means It's Time to See a Surgeon,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage TOFU. Claims, costs and patient stories require approval."
IDEA-015,"Piles, Fissure, or Fistula — What's the Difference?","Piles, Fissure, or Fistula — What's the Difference?",Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 800 words; funnel stage TOFU. Claims, costs and patient stories require approval."
IDEA-016,"Appendix Pain: What It Feels Like, When to Go to the Hospital","Appendix Pain: What It Feels Like, When to Go to the Hospital",Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 800 words; funnel stage TOFU. Claims, costs and patient stories require approval."
IDEA-017,What to Eat After Gallbladder Removal: A 4-Week Diet Guide,What to Eat After Gallbladder Removal: A 4-Week Diet Guide,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,000 words; funnel stage Post-op. Claims, costs and patient stories require approval."
IDEA-018,Hernia Surgery for Working Professionals: How to Plan for Minimal Downtime,Hernia Surgery for Working Professionals: How to Plan for Minimal Downtime,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 900 words; funnel stage MOFU. Claims, costs and patient stories require approval."
IDEA-019,Why PCMC Families Are Choosing Day-Care Surgery Over Long Hospital Stays,Why PCMC Families Are Choosing Day-Care Surgery Over Long Hospital Stays,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 800 words; funnel stage MOFU + Local. Claims, costs and patient stories require approval."
IDEA-020,Laser Piles Surgery in Moshi PCMC: What Patients Actually Experience,Laser Piles Surgery in Moshi PCMC: What Patients Actually Experience,Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 800 words; funnel stage Local BOFU. Claims, costs and patient stories require approval."
IDEA-021,"Hernia Surgery in PCMC: Cost, Recovery, and How to Choose Your Surgeon","Hernia Surgery in PCMC: Cost, Recovery, and How to Choose Your Surgeon",Idea — Blog,English; Hindi/Marathi adaptation where natural,Blog,SEO Content Cluster,UNUSED,None unless noted in source,,SEO Foundation v2.0,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Target length 1,000 words; funnel stage Local BOFU. Claims, costs and patient stories require approval."
