ID,Name,Use,Text,Status,Risk
REV-TPL-01,Review request — English,WhatsApp 48 hours after successful procedure/follow-up,"Hello [Patient Name],

Thank you for trusting Jeevisha with your care.

If you've been comfortable with your experience, a short Google review
would help others in Wakad find us. The link below takes you straight there.

[review link]

No pressure — only if you'd like to. Either way, we're here when you need us.

— Team Jeevisha
+91 91191 11837",DRAFT,"Confirm canonical phone, review link and workflow owner."
REV-TPL-02,Review request — Marathi,WhatsApp to Marathi-preference patients,"नमस्कार [Patient Name],

Jeevisha वर विश्वास ठेवल्याबद्दल धन्यवाद.

तुमचा अनुभव चांगला राहिला असेल, तर कृपया खालील link वर एक छोटा Google
review लिहा. यामुळे Wakad मधील इतर रुग्णांना मदत होईल.

[review link]

कोणताही आग्रह नाही. आम्ही नेहमी तुमच्या सेवेसाठी आहोत.

— Team Jeevisha
+91 91191 11837",NEEDS_REVIEW,Native-speaker and doctor review required before deployment.
REV-TPL-03,Detailed reviewer acknowledgement,Personal thank-you for detailed reviews,"Dear [Name],

Thank you for taking the time to share your experience. Reviews like
yours genuinely help others who are considering non-surgical care for
similar conditions.

Wishing you continued recovery and good health.

— Dr. Sanjog Mekewar
Jeevisha Pain Clinic",DRAFT,Use only after confirming review and identity; no medical details.
REV-TPL-04,5-star — generic,Public review reply,"Hello [Patient Name],

Thank you for sharing your experience with us. We're glad the [treatment / consultation / care] was right for you. Wishing you continued comfort and good health.

If anything comes up, we're here.

— Team Jeevisha",DRAFT,Do not validate unsupported medical claims.
REV-TPL-05,5-star — mentions Dr. Sanjog,Public review reply,"Hello [Name], thank you for the kind words. Dr. Sanjog and the team appreciate hearing this — it's why we do what we do. Take care, and stay in touch when needed.

— Team Jeevisha",DRAFT,Avoid patient details.
REV-TPL-06,5-star — mentions avoiding surgery,Public review reply,"Hello [Name], we're glad the non-surgical approach worked for you. Stories like yours are why we believe in evaluating every option before surgery. Wishing you a strong recovery.

— Team Jeevisha",NEEDS_REVIEW,May be read as validating outcome; doctor/compliance review advised.
REV-TPL-07,5-star — mentions listening/explanation,Public review reply,"Hello [Name], thank you for noticing — taking time to listen and explain is core to how we work. We appreciate you saying so.

— Team Jeevisha",DRAFT,Avoid medical details.
REV-TPL-08,4-star,Public review reply,"Hello [Name],

Thank you for the honest feedback. We always aim to do better, and any specifics you can share — directly or via WhatsApp at +91 91191 11837 — would genuinely help us improve.

Wishing you well.

— Team Jeevisha",DRAFT,Confirm phone.
REV-TPL-09,3-star,Public review reply,"Hello [Name],

Thank you for taking the time to share your feedback. A 3-star experience usually means something specific could have gone better. We'd value the chance to understand and address it.

Please reach us directly at +91 91191 11837 or visit when convenient — Dr. Sanjog would like to speak with you personally.

— Team Jeevisha",DRAFT,Confirm phone and founder availability.
REV-TPL-10,1–2 star,Public review reply after private escalation,"[Name], thank you for sharing this. We take every concern seriously and would like to understand what happened. Please reach Dr. Sanjog directly at +91 91191 11837 — we want to address this properly and personally.

— Team Jeevisha",DRAFT,Escalate to founder before posting; do not disclose patient details.
REV-TPL-11,Compliance-sensitive positive review,Reply where patient states medical outcome,"Hello [Name], thank you for sharing your experience. We're glad you're back to running. Wishing you continued strength and recovery.

— Team Jeevisha",DRAFT,"Do not confirm diagnosis, procedure efficacy, cure or causal outcome."
