Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Duplicate or related idea,Notes
IDEA-001,Chest pain after 40: when it is serious,Blog,Symptom awareness,Adults 40+/caregivers,Chest pain after 40: what should make you act now?,Red flags and urgent evaluation without online diagnosis.,Read guide / Call in emergency,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-002,Recognising stroke in 60 seconds — FAST,Blog,Emergency education,Families/senior caregivers,Can your family recognise a stroke in 60 seconds?,Teach FAST and immediate action.,Save and share,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-003,Fever in children: a Wakad parent's guide,Blog,Paediatric education,Parents,Your child's fever is high. What matters next?,Monitoring and red flags.,Read / Book,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-004,Dengue or viral fever during Pune monsoon,Blog,Seasonal education,Wakad/PCMC families,Dengue or viral? Watch these signs.,Timely evaluation; no self-diagnosis.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-005,Headache types: when to wait and call,Blog,Symptom awareness,Working adults/families,Not every headache is the same.,Urgent neurological red flags.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-006,Early warning signs of diabetes,Blog,Chronic-care education,Adults/IT professionals,Could everyday changes be early diabetes signs?,Educational signs and physician evaluation; no cure claim.,Book consultation,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-007,High blood pressure at 30 for IT professionals,Blog,IT employee health,Hinjewadi IT professionals,BP at 30 is not only an older-person issue.,"Long shifts, stress and lifestyle need monitoring.",Check BP / Read,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-008,When to take a child to emergency,Blog,Paediatric emergency,Parents,When does a child's symptom need emergency care?,Safe red-flag guidance.,Save guide,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-009,Stomach pain decoded: family physician's guide,Blog,Symptom awareness,Families,These stomach-pain signs should not wait.,Patterns and urgent red flags.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-010,Back pain in young adults: posture or stress,Blog,Musculoskeletal education,IT professionals,Your desk may affect more than posture.,Common causes and evaluation triggers.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-011,Pune monsoon health calendar,Blog,Local seasonal,Wakad/PCMC families,What should your family watch each monsoon month?,Local prevention calendar.,Download / Save,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-012,Five health risks of long IT shifts,Blog,IT employee health,Hinjewadi workforce,Long shifts have a health cost you may not notice.,"Sleep, BP, sugar, posture and stress.",Save/share,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-013,How to choose a nearby 24×7 hospital,Blog,Decision support,PCMC families,What should you check before choosing a hospital?,"Neutral service, doctor, insurance and transfer criteria.",Read checklist,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-014,Festive-season accident prevention,Blog,Local seasonal,Families/commuters,Celebration should not end in emergency.,"Ganpati, Diwali and New Year safety.",Save guide,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-015,Senior citizen monsoon survival guide,Blog,Senior care,Seniors/caregivers,Monsoon can complicate routine senior care.,"Medication, falls, infection, hydration.",Download,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-016,Wakad pollution and respiratory health,Blog,Local health,Wakad residents,Is local air affecting your breathing?,Respiratory education and consultation triggers.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-017,Living with diabetes: daily structure,Blog,Chronic-care education,Adults with diabetes/caregivers,"Diabetes care is daily structure, not a quick fix.","Monitoring, medicine, food and activity.",Download tracker,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-018,How to monitor BP correctly at home,Blog,Chronic-care education,Adults/seniors,A wrong BP reading creates the wrong worry.,Measurement technique and log.,Save steps,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-019,After stroke: rehabilitation expectations,Blog,Rehabilitation education,Stroke families,"Recovery is a process, not a promise.",Realistic clinician-led expectations.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-020,COPD in Pune winters,Blog,Respiratory education,Adults with COPD/caregivers,Cold air can make breathing harder.,Prevention and urgent warning signs.,Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-021,Thyroid 101: understand your report,Blog,Health literacy,Adults,Your thyroid report has more than one number.,Common tests without diagnosing.,Read guide,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-022,Choosing a multispeciality hospital: seven checks,Blog,Decision support,Family decision-makers,The closest hospital matters. So do these checks.,"Scope, doctor availability, cashless, transparency and transfer.",Use checklist,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-023,Cashless admission step by step,Blog,Patient journey,Insured families/IT professionals,Cashless does not mean no paperwork.,Pre-authorisation and verification using confirmed partners.,View process,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-024,Understanding an ICU bill,Blog,Transparency,Families/caregivers,What can an ICU bill include?,Explain categories without promising prices.,Read guide,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-025,Before surgery: five questions,Blog,Second opinion/education,Adults/caregivers,"Before surgery, ask these five questions.",Informed discussion and second opinion.,Save questions,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-026,Admission checklist for elderly parents,Blog,Patient journey,Adult children/caregivers,A calmer admission starts with the right documents.,Practical documents/medication checklist.,Download,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-027,A day in the NRS ICU,Blog,Behind the scenes,Families/caregivers,What happens behind ICU doors when no patient is shown?,"Roles, monitoring and communication with privacy.",Read more,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-028,Dr. Survase's professional journey,Blog,Doctor authority,Local families,The physician behind NRS Hospital.,Verified career story only.,Meet doctor,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-029,Why nurses are the heart of care,Blog,Team trust,Families/community,Care continues after the doctor leaves the room.,Highlight nursing work without outcome claims.,Meet team,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-030,How the golden hour for stroke is handled,Blog,Emergency education,Families/seniors,"In stroke, time changes what happens next.","Recognition, call, triage and referral using verified protocol.",Save/share,English; Marathi adaptation,SEO and Education,UNUSED,SRC-002 Strategic Research,2026-05-26,,Clinician approval required.
IDEA-031,60-second stroke FAST explainer,Reel,Emergency education,Families/seniors,Can you spot stroke before the minute ends?,Doctor demonstrates FAST and action.,Save/share,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-032,60-second child-fever red flags,Reel,Paediatric education,Parents,A fever number is not the whole story.,Red flags and when to seek care.,Save reel,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-033,Dr. Survase explains diabetes monitoring,Reel,Doctor authority,Adults/seniors,"Diabetes needs structure, not guesswork.","Monitoring, medication and lifestyle; no cure claim.",Book,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-034,Five diabetes myths,Reel,Myth busting,Adults with diabetes,Five diabetes myths to stop forwarding.,Correct misinformation safely.,Share,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-035,BP medicines and kidneys myth,Reel,Myth busting,Adults/seniors,Do BP medicines damage kidneys?,Doctor-led explanation with caveats.,Ask physician,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-036,Chest pain at midnight — what to do,Reel,Emergency education,Wakad families,Chest pain at midnight: what first?,Call emergency/hospital; avoid delay.,Call now,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-037,Hinjewadi night-shift health reset,Reel,IT employee health,IT professionals,Night shift changes more than sleep.,"Breaks, hydration, eyes, meals and recovery.",Save routine,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-038,Monsoon dengue warning signs,Reel,Seasonal education,PCMC families,Dengue warning signs not to ignore.,Education and timely evaluation.,Save/share,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-039,When stomach pain should not wait,Reel,Symptom awareness,Families,"This pain needs a doctor, not another remedy.",Red flags; no diagnosis.,Book/Call,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-040,Continuity-of-care story,Reel,Brand positioning,Family decision-makers,What changes when a physician knows family history?,Coordinated care without absolute promise.,Meet team,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-041,One-minute cashless admission explainer,Reel,Patient journey,Insured families,Cashless admission: what to keep ready.,"Documents and pre-authorisation, insurer-dependent.",View info,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-042,Festival first-aid reminder,Reel,Community/local,Wakad families,"Before celebration, save these first-aid steps.",Basic safety/emergency direction.,Save/share,English/Hindi/Marathi,Doctor-Led Video Programme,UNUSED,SRC-002 + SRC-005,2026-05-26,,No complete script/shoot plan recovered.
IDEA-043,IT lifestyle and obesity risk,Static Post,IT employee health,IT professionals,IT lifestyle may affect weight.,"Sedentary routine, eating, stress and sleep can contribute.",Read more,English/Marathi as applicable,Medical Awareness / Brand,USED,SRC-013,2026-05-20,,"USED means present in draft creative, not published/approved."
