Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Duplicate or related idea,Notes
IDEA-001,Signs your child’s fever needs a doctor (and signs it doesn’t),Child health,Blog,Parents,When does a child’s fever need a doctor?,Explain red flags and reassurance without diagnosing online.,Book paediatrician,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-002,"Monsoon health guide for PCMC families: dengue, viral, gastro",Seasonal health,Blog,PCMC families,A practical monsoon health guide for PCMC families,"Prevention, early signs and when to seek care.",Visit emergency / book OPD,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-003,Heart attack symptoms in women you shouldn’t ignore,Cardiology,Blog,Women/families,Heart attack symptoms can look different in women,Awareness and timely evaluation.,Book cardiologist,EN,Womens_Health,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-004,Knee pain after 40: when to see an orthopaedist,Orthopaedics,Blog,Adults 40+,When is knee pain more than normal ageing?,Red flags and conservative first steps.,Book ortho,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-005,"PCOS symptoms, causes, and what’s actually true",Women’s health,Blog,Women 18–40,What is actually true about PCOS?,Myth correction and consultation guidance.,Book gynaecology,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-006,Diabetes diet for Indian families (without giving up rice),Chronic care,Blog,Indian families,Can you manage diabetes without giving up familiar food?,"Practical dietary patterns, not cure claims.",Book physician,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-007,Normal delivery vs C-section: how decisions are made,Maternity,Blog,Expectant families,How do doctors decide between normal delivery and C-section?,Explain clinical decision process.,Book gynaecology,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-008,What to expect at your first cardiac check-up,Cardiology,Blog,Adults/seniors,"Your first heart check-up, step by step",Reduce uncertainty around tests and consultation.,Book cardiology,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-009,Dental implant cost in Pune (and why it varies),Dental,Blog,Dental patients,Why does dental implant cost vary?,Explain cost drivers without quoting unverified prices.,Book dentist,EN,Dental_Family_Care,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-010,Dialysis explained for families: a guide for caregivers,Nephrology,Blog,Caregivers,Dialysis explained in plain language,"Process, questions and caregiver preparation.",Visit nephrology,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-011,Vaccination schedule for Indian children: a parent’s checklist,Paediatrics,Blog,Parents,Save this vaccination checklist,Use current official schedule only after clinician review.,Book paediatrician,EN,Paediatric_Fever_and_Child_Health,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-012,When to take your parent to the emergency room,Emergency,Blog,Adult children/caregivers,When should a parent go to the ER now?,Emergency red flags and action.,Save emergency number,EN,24x7_Emergency_and_Trauma,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-013,Hypertension: a quiet condition that PCMC adults shouldn’t ignore,Chronic care,Blog,Adults 30+,High blood pressure may have no obvious symptoms,"Awareness, monitoring and follow-up.",Book physician,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-014,Cashless insurance at Gore Hospital — how it works,Insurance,Blog,Insured families,How cashless admission works,Explain only verified partners/process.,Contact insurance desk,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-015,5 myths about cancer screening Indians still believe,Oncology,Blog,Adults/families,Cancer-screening myths worth correcting,Awareness without cure/outcome claims.,Book screening consult,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-016,Pregnancy month-by-month: a Pune mother’s checklist,Maternity,Blog,Expectant mothers,A month-by-month pregnancy checklist,General preparation with clinical caveats.,Book gynaecology,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
IDEA-017,Back pain at desk job: PCMC IT-professional’s guide,Orthopaedics,Blog,IT professionals,Desk job hurting your back?,"Ergonomics, activity and red flags.",Book ortho,EN,General_Health_Awareness,NEEDS_REVIEW,Gore_Hospital_00_Strategic_Research.md,2026-05-24,,"Requires fact, clinical, compliance and approval checks before production."
