GMB Content ID,Title,Post type,Topic,Headline,Language,Status,Approval evidence,Published date,Published link,CTA,Original source,Destination folder,Claim / compliance review,Notes
GMB-001,Service: Laser Piles (Standard),Service,Laser Piles (Standard),"Laser Piles Surgery in Moshi — Walk In, Walk Out",English,DRAFT,None,,,Call Now,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Service-Laser-Piles-Standard_GMB-Post_English_DRAFT_v01.md,"Procedure time, local anaesthesia, no cuts/no stitches, recovery, cost, insurance and 4-hour response require approval.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-002,Educational: Is Piles Surgery Painful?,Educational,Is Piles Surgery Painful?,Is Laser Piles Surgery Painful? The Honest Answer,English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Educational-Is-Piles-Surgery-Painful_GMB-Post_English_DRAFT_v01.md,"Pain comparison, discomfort duration, pain-relief advice and recovery timeline require clinical review.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-003,Service: Laparoscopic Hernia Surgery,Service,Laparoscopic Hernia Surgery,Hernia Surgery in PCMC — Back to Work in 5–7 Days,English,DRAFT,None,,,Call Now,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Service-Laparoscopic-Hernia-Surgery_GMB-Post_English_DRAFT_v01.md,"Emergency language, incision count, discharge, return-to-work, procedure volume, cost and insurance require approval.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-004,Educational: Same Surgeon Who Consults Also Operates,Educational,Same Surgeon Who Consults Also Operates,"At Prime Hospital, the Doctor Who Consults Also Operates",English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Educational-Same-Surgeon-Who-Consults-Also-Operates_GMB-Post_English_DRAFT_v01.md,Same-surgeon promise and canonical WhatsApp number require operational approval.,Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-005,Service: Gallbladder Surgery,Service,Gallbladder Surgery,Gallbladder Stone Surgery in Moshi — 1-Day Stay,English,DRAFT,None,,,Learn More,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Service-Gallbladder-Surgery_GMB-Post_English_DRAFT_v01.md,"Procedure time, hospital stay, diet/recovery, report-review SLA, cost and insurance require approval.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-006,Educational: Hernia FAQ,Educational,Hernia FAQ,Can a Hernia Heal on Its Own? The Truth,English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Educational-Hernia-FAQ_GMB-Post_English_DRAFT_v01.md,"Hernia natural history, strangulation framing and recovery timeline require clinical review.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-007,Awareness: World Hernia Day (April 25),Awareness,World Hernia Day (April 25),World Hernia Day: Don't Let a Hernia Wait,English,DRAFT,None,,,Learn More,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Awareness-World-Hernia-Day-April-25_GMB-Post_English_DRAFT_v01.md,World Hernia Day date/content should be reverified; discharge/recovery claims require approval.,Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-008,Service: Laser Fissure/Fistula,Service,Laser Fissure/Fistula,"Laser Fissure and Fistula Surgery — Minimal Pain, Fast Recovery",English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Service-Laser-FissureFistula_GMB-Post_English_DRAFT_v01.md,"Laser technique, procedure time, pain/recovery and hundreds-treated claim require approval.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-009,Trust: Transparent Pricing,Trust,Transparent Pricing,We Share Cost Ranges Before Your Consultation,English,DRAFT,None,,,Call Now,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Trust-Transparent-Pricing_GMB-Post_English_DRAFT_v01.md,"Every price, no-surprise-bill and insurance statement requires finance/operations approval.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-010,Educational: Day-Care Surgery Explained,Educational,Day-Care Surgery Explained,What Is Day-Care Surgery? Can You Really Go Home the Same Day?,English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Educational-Day-Care-Surgery-Explained_GMB-Post_English_DRAFT_v01.md,"Eligibility, discharge and causal claims require clinical review.",Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-011,Local Proof,Post,Local Proof,"Families From Moshi, Bhosari, and Chakan Trust Prime Hospital",English,DRAFT,None,,,Varies; canonical action unresolved,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Local-Proof_GMB-Post_English_DRAFT_v01.md,Review count/rating must be refreshed; names/quotes require consent/policy review; phone conflict unresolved.,Full draft preserved in derivative; source unchanged in Original_Uploads.
GMB-012,Educational: Appendix Surgery,Educational,Appendix Surgery,Appendix Pain? Here's When to Stop Waiting,English,DRAFT,None,,,Call Now,GMB Foundation v1.0,04_GMB/03_GMB_Post_Copy/2026-05-20_Prime-Educational-Appendix-Surgery_GMB-Post_English_DRAFT_v01.md,"Emergency symptom guidance, incision count, discharge/recovery and operating-hours statement require review.",Full draft preserved in derivative; source unchanged in Original_Uploads.
