ID,Question,Answer,Status,Published_Status,Source
GMB-QA-01,What conditions do you treat at Jeevisha?,"Jeevisha specializes in non-surgical care for chronic back pain, knee pain, neck pain, sciatica, slipped disc, shoulder pain, sports injuries, and complex pain conditions including fibromyalgia and CRPS. Treatment options include regenerative therapies (PRP, biologics), image-guided injections, radiofrequency ablation, and structured physiotherapy. Visit jeevishapainclinic.com for the full list.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-02,Does Jeevisha offer second opinions before surgery?,"Yes. If you've been told you need knee or spine surgery, we offer a structured second-opinion consultation. We review your imaging, examine you, and discuss every non-surgical option. We refer to surgery when it's the right call — and we say so honestly when it isn't. Bring your MRI reports to the consultation.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-03,What is PRP therapy and what does it treat?,"PRP (Platelet-Rich Plasma) therapy uses concentrated platelets from your own blood to support healing in damaged tissues. It's commonly used for knee osteoarthritis, tendon injuries, and certain spine conditions. It's not appropriate for every patient — an evaluation is needed to determine candidacy. The procedure takes about 60-90 minutes; same-day discharge.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-04,Is PRP covered by health insurance in India?,"Most health insurance plans in India do not currently cover PRP or other regenerative therapies, as they are still classified as advanced/specialized procedures. Some insurance plans may cover interventional procedures like epidural injections when medically necessary. We can review your specific insurance and provide a clear cost discussion during consultation.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-05,How much does a consultation at Jeevisha cost?,"Consultation fees are discussed transparently before your visit. Please call or WhatsApp +91 91191 11837 for current consultation rates. We believe in clear, honest cost communication — including for treatment plans, not just consultations.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-06,How long does PRP therapy last?,"Duration varies by condition, the patient's response, and overall joint or tissue health. For knee osteoarthritis, many patients experience meaningful relief lasting 6-12 months from a course of treatment. Some need maintenance sessions. The honest answer depends on individual evaluation.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-07,Where is Jeevisha located?,"Jeevisha Pain Clinic is in Wakad, Pimpri Chinchwad (PCMC), Pune. We're easily accessible from Hinjewadi, Baner, Aundh, Pimple Saudagar, Ravet, and Thergaon. For directions, call +91 91191 11837 or visit jeevishapainclinic.com.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-08,Do you provide treatment for chronic pain that hasn't responded to other treatments?,"Yes. We specifically work with patients who have lived with pain for years, tried multiple treatments, and are looking for a different approach. Complex chronic pain — fibromyalgia, CRPS, post-herpetic neuralgia, failed back surgery syndrome — requires specialist evaluation and longer consultations. We allocate the time these conditions need.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-09,Who is Dr. Sanjog Mekewar?,"Dr. Sanjog Mekewar leads Jeevisha. He holds MBBS, DA (Diploma in Anaesthesia), DNB, FIPM (Fellowship in Interventional Pain Management), and FIAPM (Fellowship from the Indian Academy of Pain Medicine). His clinical focus is non-surgical pain management and regenerative medicine. Patients consistently mention his unhurried approach and clear explanations.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
GMB-QA-10,Do you offer treatment in Marathi or Hindi?,"Yes. Dr. Sanjog consults in Marathi, Hindi, and English — depending on what's comfortable for the patient. Our team communicates in all three languages.",DRAFT_DOCTOR_REVIEW,UNKNOWN,jeevisha-gmb-foundation.md §11.1
