FAQ ID,Question,Draft answer,Status,Approval evidence,Risk / verification,Original source,Recommended use
FAQ-001,Does the same doctor who consults also perform the surgery?,"Yes. At Prime Speciality Hospital, Dr. Pankaj Bhalerao both consults and operates. There is no handover to a junior surgeon for any procedure.",NEEDS_REVIEW,None,operational promise,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-002,Can I go home the same day after laser piles surgery?,"Yes. For most laser piles procedures, same-day discharge is our standard. The procedure takes under 30 minutes and patients are monitored briefly before discharge.",NEEDS_REVIEW,None,"clinical eligibility, procedure-time claim","GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-003,Can I go home the same day after hernia surgery?,Most laparoscopic hernia patients are discharged within 24 hours. Some day-care discharges are same-day depending on the case.,NEEDS_REVIEW,None,clinical eligibility,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-004,Do you accept cashless insurance?,Yes. We work with most major insurance providers for cashless treatment. WhatsApp us your policy details at +91 94226 68921 and we will confirm coverage before your visit.,NEEDS_REVIEW,None,insurance verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-005,What is the cost of laser piles surgery at Prime Speciality Hospital?,"The cost ranges from ₹50,000 to ₹75,000 depending on the grade and complexity of piles. WhatsApp your reports for a personalised estimate before the consultation.",NEEDS_REVIEW,None,price verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-006,What is the cost of laparoscopic hernia surgery?,"Costs range from ₹45,000 to ₹80,000 depending on the type and complexity of the hernia. All major insurance plans are accepted. Contact us for a transparent estimate.",NEEDS_REVIEW,None,"insurance verification, price verification","GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-007,How do I book an appointment with Dr. Pankaj Bhalerao?,"WhatsApp your reports to +91 94226 68921 and we will respond within 4 hours with a slot. You can also call during clinic hours: Monday to Saturday, 9 AM to 9 PM.",NEEDS_REVIEW,None,"response SLA, hours/NAP","GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-008,Where exactly is Prime Speciality Hospital located?,"We are at 1st Floor, Phase 2, Nisarg Vatika, Dehu–Moshi Road, near Ramdev Dhaba, Borhadewadi, Moshi, PCMC. Parking is available.",NEEDS_REVIEW,None,General fact/NAP review,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-009,What are the hospital's working hours?,Monday to Saturday: 9 AM to 9 PM. Sunday: Closed. Emergency cases — call us directly on +91 94226 68921.,NEEDS_REVIEW,None,hours/NAP,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-010,Does Prime Speciality Hospital have ICU facilities?,Yes. We are equipped with ICU support for post-operative care when required.,NEEDS_REVIEW,None,facility verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-011,What types of hernia does Dr. Bhalerao treat?,"Dr. Bhalerao treats all common hernia types laparoscopically — inguinal hernia, umbilical hernia, incisional hernia, and hiatal hernia.",NEEDS_REVIEW,None,scope/clinical verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-012,Is laser piles surgery covered by insurance?,Yes. Laser piles surgery is covered by most major health insurance plans in India. We assist with pre-authorization and cashless processing.,NEEDS_REVIEW,None,insurance verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-013,How long does hernia surgery recovery take?,Most patients return to desk work in 5–7 days after laparoscopic hernia surgery. Full physical activity typically resumes in 3–4 weeks.,NEEDS_REVIEW,None,recovery claim,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-014,Can I send my reports on WhatsApp before the consultation?,Yes. WhatsApp your reports to +91 94226 68921 and Dr. Bhalerao's team will review them and advise whether an in-person consultation is required.,NEEDS_REVIEW,None,General fact/NAP review,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
FAQ-015,Does Prime Speciality Hospital offer endoscopy?,Yes. We provide diagnostic upper GI endoscopy and colonoscopy at the hospital.,NEEDS_REVIEW,None,service-scope verification,"GMB Foundation v1.0, May 2026",Website FAQ or genuine GBP answer after verification
