Source_ID,Filename,Source_Type,Availability,Status,Original_Location,Handover_Location,Date,SHA256,Evidence_Use,Notes
SRC-001,kumss-day-0-desk-research-v2.md,Research / public-side audit,LOCAL_COPY_INCLUDED,SOURCE_CURRENT,/mnt/data/kumss-day-0-desk-research-v2.md,00_SOURCES/Original_Uploads/kumss-day-0-desk-research-v2.md,2026-05-20,dafcb2f5000f2a6befb63ef521a2179933e9687d7f3b1f20ba3525c5f1288134,Day 0 v2 audit; key evidence and conflict source.,Day 0 v2 audit; key evidence and conflict source.
SRC-002,kumss-logo-verification-note.md,Logo verification note,LOCAL_COPY_INCLUDED,SOURCE_CURRENT,/mnt/data/kumss-logo-verification-note.md,00_SOURCES/Original_Uploads/kumss-logo-verification-note.md,2026-05-20,c10cd9349d1735f00ec5abad46a67806797476c4a4f136360a9b098aadbed9a9,Short verification note; vector/source still pending.,Short verification note; vector/source still pending.
SRC-003,KUMSS logo.png,Logo asset,LOCAL_COPY_INCLUDED,LIVE_SOURCE_ASSET,/mnt/data/KUMSS logo.png,00_SOURCES/Original_Uploads/KUMSS logo.png,2026-05-20,88177e42b11952787a56607386f648d2f5a7661a1f1ee8337537cf29b9b56401,Working canonical PNG observed in source set; explicit client approval absent.,Working canonical PNG observed in source set; explicit client approval absent.
SRC-004,kumss-logo-strategic-calibration.md,Logo strategy,LOCAL_COPY_INCLUDED,SOURCE_CURRENT,/mnt/data/kumss-logo-strategic-calibration.md,00_SOURCES/Original_Uploads/kumss-logo-strategic-calibration.md,2026-05-20,62b0de7fcf29a71aa2271b2ee4b5ecce6a378731c73c3663690fe7193abe6138,Canonical-lockup calibration and modernization constraints.,Canonical-lockup calibration and modernization constraints.
SRC-005,KUMSS_00_Strategic_Research_Intelligence.md,Strategic research,LOCAL_COPY_INCLUDED,WORKING_SOURCE,/mnt/data/KUMSS_00_Strategic_Research_Intelligence.md,00_SOURCES/Original_Uploads/KUMSS_00_Strategic_Research_Intelligence.md,2026-05-20,2c28a6c98074398fe73770006228f61ec1d2ebd8f042f6583c0e38c1227074f0,Working strategic source of truth with evidence markers.,Working strategic source of truth with evidence markers.
SRC-006,KUMSS_01_AI_Prompting_Style_Guide.md,AI prompting guide,LOCAL_COPY_INCLUDED,WORKING_SOURCE,/mnt/data/KUMSS_01_AI_Prompting_Style_Guide.md,00_SOURCES/Original_Uploads/KUMSS_01_AI_Prompting_Style_Guide.md,2026-05-20,b4184ef170d2087ac8ed225910722607855ba55ab00e2c878ae7fd1435754b55,"Image prompting, negative prompts and QA.","Image prompting, negative prompts and QA."
SRC-007,KUMSS_01_Design_Instructions.md,Design guidelines,LOCAL_COPY_INCLUDED,WORKING_SOURCE,/mnt/data/KUMSS_01_Design_Instructions.md,00_SOURCES/Original_Uploads/KUMSS_01_Design_Instructions.md,2026-05-20,9f578899056048fff251a9d390e19ae66e50156ee3c38cb6f9fea000ca3cb43d,Working visual system; no completed sign-off.,Working visual system; no completed sign-off.
SRC-008,KUMSS_02_Master_Brand_Brain.md,Brand brain / content reference,LOCAL_COPY_INCLUDED,WORKING_SOURCE,/mnt/data/KUMSS_02_Master_Brand_Brain.md,00_SOURCES/Original_Uploads/KUMSS_02_Master_Brand_Brain.md,2026-05-20,74b9f6baed7b1afca318c7b7768f807a9e143d8ffbe9d727c4d39a0b61fe726c,"Voice, captions, hooks, scripts/templates and campaigns.","Voice, captions, hooks, scripts/templates and campaigns."
SRC-009,KUMSS_03_Design_System_HTML.html,Design system HTML,LOCAL_COPY_INCLUDED,DRAFT_SOURCE,/mnt/data/KUMSS_03_Design_System_HTML.html,00_SOURCES/Original_Uploads/KUMSS_03_Design_System_HTML.html,2026-05-20,01ad509c9578b114ca030ed9e0f5d3922c1fbb4146043416cdfa794e43f2ba91,Working HTML reference; placeholders remain.,Working HTML reference; placeholders remain.
SRC-010,GMB Post and Image Guidelines.txt,GMB guidelines,LOCAL_COPY_INCLUDED,REFERENCE_SOURCE,/mnt/data/GMB Post and Image Guidelines.txt,00_SOURCES/Original_Uploads/GMB Post and Image Guidelines.txt,DATE-UNKNOWN,e0ee8997c5c2f594d1f9fb737b895eb3d11c6ac678cfaf27aea52b36806aa2e4,Cross-client GBP/GMB-safe content rules.,Cross-client GBP/GMB-safe content rules.
SRC-011,Pasted text(2).txt,Handover instruction,LOCAL_COPY_INCLUDED,INSTRUCTION_SOURCE,/mnt/data/Pasted text(2).txt,00_SOURCES/Original_Uploads/Pasted text(2).txt,DATE-UNKNOWN,3120b552a8b55b1c69d4ea808416358b06ce8e72797d28606d40eca22d1a2297,User-provided extraction and handover specification.,User-provided extraction and handover specification.
LIB-001,1000064952.jpg,Instagram profile screenshot,FILE_LIBRARY_REFERENCE_ONLY,NEEDS_REVIEW,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,"Shows 387 posts / 1,590 followers / 12 following; conflicts with Day 0 v2 metrics.","Shows 387 posts / 1,590 followers / 12 following; conflicts with Day 0 v2 metrics."
LIB-002,28894f49-c388-41ee-8527-14725152e69f.png,Contact information screenshot,FILE_LIBRARY_REFERENCE_ONLY,NEEDS_REVIEW,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,"Shows PIN 413110, phones 9423684242 and 9423694242, iti@kumss.org; conflicts with 412204.","Shows PIN 413110, phones 9423684242 and 9423694242, iti@kumss.org; conflicts with 412204."
LIB-003,3a7ec5cb-ddfd-4adb-9561-f45c05d63777.png,India Book of Records evidence screenshot,FILE_LIBRARY_REFERENCE_ONLY,NEEDS_REVIEW,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,"Shows 84 students, 14 staff, 11 support and 30 hours; apparent date 22–23 Feb 2023 conflicts with 2026.","Shows 84 students, 14 staff, 11 support and 30 hours; apparent date 22–23 Feb 2023 conflicts with 2026."
LIB-004,0c727f5e-bb17-44db-813a-a9bf7634dc15.png,India Book announcement,FILE_LIBRARY_REFERENCE_ONLY,NEEDS_REVIEW,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Certificate/group announcement; original documentation required.,Certificate/group announcement; original documentation required.
LIB-005,kumss-prompt-00-strategic-research-v0.1.md,Legacy strategy draft,FILE_LIBRARY_REFERENCE_ONLY,SUPERSEDED,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Superseded by KUMSS_00; bytes unavailable.,Superseded by KUMSS_00; bytes unavailable.
LIB-006,logo.png,Prior logo image,FILE_LIBRARY_REFERENCE_ONLY,POSSIBLE_DUPLICATE,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Compare with current PNG; vector provenance missing.,Compare with current PNG; vector provenance missing.
LIB-007,a1a9e2f3-130f-4ca1-ab7e-87367fede8f2.png,Gurukul header,FILE_LIBRARY_REFERENCE_ONLY,OUT_OF_CURRENT_SCOPE,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,"Trust-level reference, not ITI production material until scope is confirmed.","Trust-level reference, not ITI production material until scope is confirmed."
LIB-008,6475f122-cab0-4fdb-b39e-327f43eabdff.png,Gurukul result announcement,FILE_LIBRARY_REFERENCE_ONLY,OUT_OF_CURRENT_SCOPE,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Not ITI result proof.,Not ITI result proof.
LIB-009,4847a2a1-4f20-44ac-8f22-347b272677ce.jpg,Identifiable minor / school ID photo,FILE_LIBRARY_REFERENCE_ONLY,ARCHIVED_RESTRICTED,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Not copied; no consent record; do not use.,Not copied; no consent record; do not use.
LIB-010,Pasted markdown.md,Prior workflow/routing audit,FILE_LIBRARY_REFERENCE_ONLY,REFERENCE_ONLY,File Library,00_SOURCES/FILE_LIBRARY_REFERENCE_INDEX.md,DATE-UNKNOWN,,Only indexed excerpts accessible.,Only indexed excerpts accessible.
