GMB Content ID,Title,Content type,Language,Status,Approval source,Published date,Published URL,Original source,Destination folder,Notes
IDEA039,Day Care Service Update,Post idea,English,UNUSED,None,,,Strategic Research local SEO priorities,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,No address until NAP is locked.
IDEA040,Preschool Programs Overview,Post idea,English,NEEDS_REVIEW,None,,,Website programs,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,Blocked by age conflict.
IDEA041,Book a School Tour,Post idea,English,UNUSED,None,,,Hero offer / website CTA,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,Do not use no-appointment claim.
IDEA042,Safety Questions to Ask on a Visit,Post idea,English,UNUSED,None,,,Buyer psychology / GMB guidance,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,Helpful and non-spammy.
IDEA043,Enrichment Program Spotlight,Post idea,English,UNUSED,None,,,Website enrichment list,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,Confirm program delivery.
IDEA044,Working-Parent Day-Care Tip,Post idea,English,UNUSED,None,,,Strategic Research ICP,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,Keep local and useful.
IDEA045,Real Classroom Photo Update,Post idea,English,UNUSED,None,,,GMB/photo recommendations,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,No governed photo library found.
IDEA046,"Business Q&A — Ages, Hours and Tour Process",Post idea,English,NEEDS_REVIEW,None,,,Site FAQ and contradictions,04_GMB/02_GMB_Post_Ideas/GMB_POST_IDEA_REGISTER.csv,"Do not answer until age, hours and tour policy are locked."
GMB-GUIDE-001,GMB Posting Guidelines,Guideline,English,INTERNAL GUIDANCE,None,,,May 28 design/prompt/strategy/site sources,04_GMB/01_Posting_Guidelines/GMB_POSTING_GUIDELINES.md,Formal Prompt 05 GMB Foundation not completed.
GMB-QA-001,GMB Q&A Draft Question Bank,Q&A outline,English,NEEDS_REVIEW,None,,,Website FAQ and conflict register,04_GMB/07_QA_Content/GMB_QA_DRAFT_QUESTION_BANK.md,Answers gated by conflicting facts.
GMB-RR-001,Review Response Templates,Internal template,English,INTERNAL TEMPLATE,None,,,Created in handover; not historical client content,04_GMB/06_Review_Responses/INTERNAL_REVIEW_RESPONSE_TEMPLATES.md,Privacy-safe starter only.
