Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Duplicate or related idea,Notes
IDEA-001,ICTRIMS 2026 faculty preview,Reel,Conference authority,National neurology community,Eight international faculty. Forty-two national experts. Three days.,Showcase NSP convening power using factual faculty/event details.,View the programme,English,ICTRIMS 2026,NEEDS_REVIEW,Strategic Research / AI Prompting Guide,2026-05-26,,Need real photos/consent.
IDEA-002,Monthly Neuromeet recap,Reel,Academic programming,Members + PGs,A case-based discussion from Pune hospitals.,Short recap of cases/themes without patient-identifiable details.,Watch the discussion,English,Monthly Neuromeets,NEEDS_REVIEW,Strategic Research,2026-05-26,,Requires anonymisation and clinical approval.
IDEA-003,PG approach to optic neuritis,Reel,PG education,Neurology PGs,Approach to optic neuritis in adult MS.,Exam-focused approach framing; no patient advice.,Read the case discussion,English,PG Approach Meeting,UNUSED,AI Prompting Guide example,2026-05-26,,Topic from prompt example.
IDEA-004,Behind the oration,Video concept,Society heritage,Members + faculty,Why named orations matter.,"Position RS Wadia Oration/NSP Oration as academic heritage, not celebrity promotion.",Meet the faculty,English,Approach Meet,NEEDS_REVIEW,Activities + Strategic Research,2026-07-17,,Need verified speaker details.
IDEA-005,Lecture archive teaser,Video concept,Knowledge archive,Members + PGs,From a live lecture to a permanent archive.,Promote knowledge archive workstream using existing YouTube/lecture recordings if rights allow.,View the archive,English,Future Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Need rights and archive source list.
IDEA-006,Established in 2010 milestone,Static post,Society identity,Members + peers,Advancing neurology education since 2010.,Use institutional milestone; avoid boasting.,Explore past events,English,Brand / Society,DRAFT,Strategic Research / website,2026-05-26,,Confirm anniversary/founding copy.
IDEA-007,Monthly Neuromeet announcement,Static post,Academic programming,Members + PGs,"Monthly Neuromeet: case-led, interactive, peer-led.","Announce meeting with date, hospitals, presenters, faculty.",Join the meet,English,Monthly Neuromeets,DRAFT,AI Prompting Guide example,2026-05-26,,CTA should be society-appropriate; no hype.
IDEA-008,Office bearer spotlight,Static post,Society community,Members,The people who hold the academic standard.,Introduce committee/office bearers with roles and academic context.,Meet the committee,English,Society / Membership,UNUSED,Strategic Research,2026-05-26,,Need updated committee roster and consent.
IDEA-009,World Brain Day restrained milestone,Static post,Public awareness / society day,Peers + public,On the privilege of practising neurology together.,Dignified milestone copy; no festive graphic tropes.,Read more,English,Public Awareness,DRAFT,AI Prompting Guide example,2026-05-26,,Requires content approval.
IDEA-010,Approach Meet format equity,Static post,Conference identity,Delegates + PGs,Fifty-plus case reviews. One serious neurology forum.,Position the Approach Meet as NSP’s distinctive case-led format.,View the schedule,English,Approach Meet,NEEDS_REVIEW,Activities page / Strategic Research,2026-07-17,,Need exact year/programme details.
IDEA-011,Lecture summary carousel — MS criteria,Carousel,Conference knowledge,PGs + neurologists,The 2025 MS Diagnostic Criteria — what changed and why.,Distil lecture insights with speaker attribution and sources.,Swipe / Read the lecture summary,English,ICTRIMS 2026,DRAFT,AI Prompting Guide example,2026-05-26,,Requires source + speaker consent.
IDEA-012,Case discussion carousel,Carousel,Clinical case learning,PGs + members,How the room approached the case.,"Anonymised case steps: presentation, localisation, differential, investigation, learning point.",Read the case discussion,English,Monthly Neuromeets,UNUSED,Strategic Research,2026-05-26,,No patient identifiers.
IDEA-013,PG approach to symptom,Carousel,PG education,Neurology PGs,Approach to [symptom] for DM Neurology preparation.,Exam-aligned format from PG Approach Meeting material.,View the PG hub,English,PG Approach Meeting,UNUSED,Strategic Research,2026-05-26,,Create from vetted source material.
IDEA-014,Conference recap carousel,Carousel,Conference authority,Delegates + peers,Three days of CNS autoimmune disorders.,Summarise programme themes and key sessions after event.,Explore the recap,English,ICTRIMS 2026,NEEDS_REVIEW,Strategic Research / IAN listing,2026-07-17,,Need event photos/results.
IDEA-015,Neuromeet reminder story,Story,Programme reminder,Members + PGs,Tonight’s Neuromeet.,Factual date/topic/faculty reminder with no scarcity copy.,See the schedule,English,Monthly Neuromeets,UNUSED,Design Instructions,2026-05-26,,Need calendar details.
IDEA-016,Faculty arrival story,Story,Conference coverage,Delegates,Faculty arriving for ICTRIMS Pune.,Documentary event coverage using real photo only.,View programme,English,ICTRIMS 2026,NEEDS_REVIEW,AI Prompting Guide,2026-05-26,,Requires consent.
IDEA-017,Abstract deadline story,Story,Conference admin,Delegates/PGs,Abstract submission deadline: factual date only.,Factual deadline without urgency tactics.,Download the abstract guide,English,Conference,UNUSED,Design Instructions,2026-05-26,,Need verified deadline.
IDEA-018,GMB status note,GMB,Governance,Internal team,NSP is not a patient-facing local business.,Avoid GBP/GMB unless client confirms profile and purpose.,Confirm GBP status,English,GMB / Governance,NEEDS_REVIEW,Strategic Research + GMB Guidelines,2026-07-17,,Not a publishable post.
IDEA-019,If GBP confirmed: helpful local academic update,GMB post idea,Local professional update,Pune medical community,Monthly academic meet update.,Post only factual academic society updates; no clinical service copy.,Learn more,English,Monthly Neuromeets,UNUSED,GMB Guidelines,2026-05-28,,Conditional only.
IDEA-020,The Pune neurology knowledge archive,Blog,Institutional strategy,Members + PGs,Why a city society needs a permanent academic archive.,"Explain knowledge archive, lecture summaries and case libraries.",View the archive,English,Website Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Future website content.
IDEA-021,History of NSP and Approach Meet,Blog,Society history,Members + delegates,From IANCON 2011 to the Approach Meet.,Tell institutional history using verified milestones.,Explore past events,English,Approach Meet / Brand,UNUSED,Strategic Research,2026-05-26,,Confirm historical details.
IDEA-022,PG hub landing page,Blog / landing page,PG education,Neurology PGs,A year-round PG learning track.,"Create PG-focused page with lectures, cases, exam approach material.",View the PG hub,English,PG Approach Meeting,UNUSED,Strategic Research,2026-05-26,,Future website page.
IDEA-023,Membership benefits page,Landing page,Membership,Eligible neurologists/neurosurgeons,What members get from NSP.,"Clarify eligibility, benefits, and joining process.",Become a member,English,Membership,UNUSED,Strategic Research,2026-05-26,,Need client input.
IDEA-024,Conference registration creative,Ad angle,Conference promotion,Delegates,Register for ICTRIMS 2026.,Use factual faculty/date/venue; no last chance/limited seats language.,Register for ICTRIMS 2026,English,ICTRIMS 2026,SUPERSEDED,Design Instructions / AI Prompting Guide,2026-05-26,,Event date passed; archive only.
IDEA-025,Approach Meet delegate reminder,Ad angle,Conference promotion,National neurology community,Case-led neurology in Pune.,"Promote format quality and faculty, not hype.",View the programme,English,Approach Meet,UNUSED,Strategic Research,2026-05-26,,Need upcoming event dates.
IDEA-026,International-convening regional society campaign,Campaign concept,Positioning,National/international faculty,A regional society that convenes global neurology.,Build prestige through international faculty and IAN partnerships.,Meet the faculty,English,Brand Positioning,UNUSED,Strategic Research,2026-05-26,,Positioning option C.
IDEA-027,PG-friendly society campaign,Campaign concept,Positioning,Neurology PGs,Where serious neurology is taught year-round.,"Use PG hub, PG meeting and exam-aligned content to build future membership.",View the PG hub,English,Brand Positioning,UNUSED,Strategic Research,2026-05-26,,Positioning option B.
IDEA-028,Knowledge archive campaign,Campaign concept,Positioning,Members + PGs,The Pune neurology knowledge archive.,Turn lectures/cases into permanent digital assets.,View the archive,English,Brand Positioning,UNUSED,Strategic Research,2026-05-26,,Positioning option A.
IDEA-029,YouTube lecture summary series,Video series,Knowledge archive,PGs + members,Lecture summaries that persist after the room clears.,Convert lectures into topic-wise videos and descriptions.,Watch the discussion,English,YouTube / Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Needs rights and source videos.
IDEA-030,Expert debate highlight,Video concept,Academic debate,Members + peers,"Two views, one serious discussion.",Highlight expert-to-expert debate format without sensationalising.,Watch the discussion,English,Approach Meet / Invited Lectures,UNUSED,Strategic Research,2026-05-26,,Need actual recording.
IDEA-031,Panel takeaway card series,Static / carousel,Academic content,LinkedIn peers,Key takeaways from the panel.,Attribute every quote and insight to speaker/session.,Read the lecture summary,English,Conference / Lectures,UNUSED,Design Instructions,2026-05-26,,Needs transcript/source.
IDEA-032,Stroke symptoms / FAST awareness,Public awareness post,Public awareness,Concerned public,Know the warning signs.,Society-vetted general awareness with consult-your-doctor framing.,Read more,English,Public Awareness,UNUSED,Strategic Research,2026-05-26,,Clinical review required.
IDEA-033,Epilepsy awareness explainer,Public awareness post,Public awareness,Concerned public,Understanding seizures without stigma.,General awareness; no individualised advice.,Read more,English,Public Awareness,UNUSED,Strategic Research,2026-05-26,,Clinical review required.
IDEA-034,Headache vs migraine explainer,Public awareness carousel,Public awareness,Concerned public,Headache or migraine? When to seek care.,General symptom awareness; avoid self-diagnosis.,Read more,English,Public Awareness,UNUSED,Strategic Research,2026-05-26,,Clinical review required.
IDEA-035,Dementia early signs awareness,Public awareness carousel,Public awareness,Concerned public,Early changes families should not ignore.,General awareness; no treatment claims.,Read more,English,Public Awareness,UNUSED,Strategic Research,2026-05-26,,Clinical review required.
IDEA-036,NMOSD diagnosis criteria article,Blog / lecture summary,Sub-specialty depth,Neurologists + PGs,Approach to NMOSD diagnosis.,Academic overview sourced from guideline/lecture.,Read the lecture summary,English,Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Source verification needed.
IDEA-037,MOGAD treatment article,Blog / lecture summary,Sub-specialty depth,Neurologists + PGs,What current practice says about MOGAD.,Academic educational framing only.,Read the lecture summary,English,Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Source verification needed.
IDEA-038,Autoimmune encephalitis approach,Blog / carousel,Sub-specialty depth,Neurologists + PGs,Approach to autoimmune encephalitis.,PG-friendly academic approach content.,Read the case discussion,English,Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Source verification needed.
IDEA-039,BTK inhibitors in MS,Blog / lecture summary,Sub-specialty depth,Neurologists + PGs,Where BTK inhibitors fit in MS.,Conference/lecture based academic summary.,Read the lecture summary,English,ICTRIMS / Knowledge Archive,UNUSED,Strategic Research,2026-05-26,,Needs current source/review.
IDEA-040,Society annual report content,Report / carousel,Society governance,Members,A year of NSP academic activity.,Annual activity summary without invented metrics.,Download the annual report,English,Society / Annual Report,UNUSED,Strategic Research,2026-05-26,,Needs real data.
