Idea_ID,Category,Title,Format,Pillar,Audience,Funnel,Status,Source,Risk_or_Notes
IDEA-001,Blogs,Why Does My Knee Hurt When I Climb Stairs?,Long-form blog,Condition education,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-002,Blogs,5 Morning Habits That Make Back Pain Worse,Long-form blog,Condition education,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-003,Blogs,Is Your Desk Job Slowly Damaging Your Spine?,Long-form blog,Desk-job pain,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-004,Blogs,Understanding the Difference Between Muscle and Nerve Pain,Long-form blog,Condition education,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-005,Blogs,When Should You Worry About Neck Pain?,Long-form blog,Condition education,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-006,Blogs,PRP vs. Cortisone: Which Is Better for Knee Pain?,Long-form blog,Regenerative medicine,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-007,Blogs,Can a Slipped Disc Heal Without Surgery?,Long-form blog,Surgery avoidance,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-008,Blogs,5 Non-Surgical Alternatives to Knee Replacement,Long-form blog,Surgery avoidance,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-009,Blogs,What Is Radiofrequency Ablation? (Patient's Guide),Long-form blog,Treatment explained,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-010,Blogs,How Long Does PRP Therapy Last?,Long-form blog,Regenerative medicine,,MOFU,UNUSED,Jeevisha Research.md §11,"Doctor/client verification required for price, duration, insurance or protocol claims"
IDEA-011,Blogs,Pain Specialist vs. Orthopedic Surgeon: Who Should You See?,Long-form blog,Specialist authority,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-012,Blogs,Interventional Pain Management vs. Surgery: A Complete Comparison,Long-form blog,Surgery avoidance,,MOFU,UNUSED,Jeevisha Research.md §11,
