Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-01,Strategic Research (Step 01),Research doc,NRS_Hospital_01_Strategic_Research.md,Project file,2026 (pre-Jun),"16 sections: business snapshot, market, 4 competitors, SEO clusters, ICPs, buyer psychology, positioning, content strategy",High,In project,00_SOURCES/Research,Verified facts cited; inferences labelled
SRC-02,Design Instructions (Step 02),Design doc,NRS_Hospital_02_Design_Instructions.md,Project file,2026,"16 sections: palette, type, layout, photography, icons, CTA, compliance; Stage 1",High,In project,00_SOURCES/Design_References,Stage 2 pending 5 references
SRC-03,AI Prompting Guide (Step 02),Prompting doc,NRS_Hospital_02_AI_Prompting_Guide.md,Project file,2026,"12 sections: universal image prompt system, master template, 13 style add-ons, example prompts, compliance rules",High,In project,00_SOURCES/Prompting_Guides,Stage 1
SRC-04,Site Extraction (Step 03),Research doc,NRS_Hospital_03_Site_Extraction.md,Project file,2026,"13 sections: NAP capture, IA, page-by-page copy, voice audit, 11-item compliance audit, content gaps, fact conflicts",High,In project,00_SOURCES/Research,Two homepage variants; 5 superlative violations
SRC-05,Logo,Brand asset,nrslogo.png,Project file,-,"NRS Hospital logo: blue circle + green cross, blue NRS wordmark, green HOSPITAL, tagline Nurture Recover & Secure Life",High,In project,02_ASSETS/01_Logos,Only production asset in project
SRC-06,SEO Foundation (Step 04),Strategy doc,NRS_Hospital_04_SEO_Foundation.md,Past chat d0ed9dbf,2026-06-25,"603 lines; keyword matrix; 3 new competitors; 90-day sprint; schema; blog plan",Medium,Built ON HOLD (metrics unverified),Past chat only,Needs Windsor; retrieve
SRC-07,GMB Foundation (Step 05),Strategy doc,NRS_Hospital_05_GMB_Foundation.md,Past chat d0ed9dbf,2026-06-25,"748-char description; 17 services; 20 Q&As; 12 post templates; review system; 50-photo plan",Medium-High,Authored not executed,Past chat only,Blocked on GBP access; retrieve
SRC-08,Brand Brain (Step 06),Strategy doc,NRS_Hospital_06_Brand_Brain.md,Past chat d0ed9dbf,2026-06-25,"positioning statement; 5 pillars; voice system; ICP messaging; copy bank; banned words; Marathi guide",Medium-High,Complete (12 labelled assumptions),Past chat only,Retrieve
SRC-09,Design System Final (Step 07),Design doc (HTML),NRS_Hospital_07_Design_System.html,Past chat d0ed9dbf,2026-06-25,"Live HTML: colours, type, components, social samples, compliance table",Medium-High,Complete Stage 1,Past chat only,Stage 2 pending; retrieve
SRC-10,4 Hinglish + 1 EN video scripts,Content,NRS_Hospital_4_Hinglish_Scripts.txt / NRS_Hospital_Video_Script.txt,Past chat 6913a21a,2026-06-18,"Diabetes/Obesity/Thyroid/Urology case studies + EN family-hospital script",High (recovered),Draft,03_CONTENT/01_Scripts,Fictional patient names
SRC-11,Dengue reel script (EN + Marathi),Content,-,Past chat 2d1b142a,2026-07-08,"~55-60s dengue awareness reel, English + family-spoken Marathi",High (recovered),Draft,03_CONTENT/01_Scripts,Verified dengue facts via web
SRC-12,June 2026 content calendar,Content plan,NRS_Hospital_June_2026_Content_Calendar.xlsx,Past chat 0b063350,2026-06-03,"16 posts: 10 static/4 reels/2 carousels; caption directions",High (recovered),Draft,03_CONTENT/09_Content_Calendar,Not full captions
SRC-13,May 2026 SMO report,Report,NRS_Hospital_SMO_Report_May_2026.html,Past chat c26ced18,2026-06-03,"Monthly SMO report template; May numbers; reusable across clients",High (recovered),Delivered,07_REPORTS/08_Monthly_Reports,Some line data reconstructed
SRC-14,GMB Audit,Report,-,Past chat 4254e28b,2026-06-26,"8-point GMB audit; priority fixes; ranking plan; surfaced phone conflict",High (recovered),Delivered,04_GMB/08_GMB_Performance,Live web + project cross-check
SRC-15,Handover build prompt,Client instruction,(pasted prompt),This conversation,2026-07-16,"PM/archivist handover-system instruction that generated this folder",High,Active,00_SOURCES/Original_Uploads,The task brief
