Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
IDEA-001,ICTRIMS 2026 faculty preview,ICTRIMS 2026 faculty preview,Reel,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS 2026,NEEDS_REVIEW,No client approval evidence,,Strategic Research / AI Prompting Guide,03_CONTENT/03_Content_Ideas,Need real photos/consent.
IDEA-002,Monthly Neuromeet recap,Monthly Neuromeet recap,Reel,English,Instagram / LinkedIn / Website / YouTube as applicable,Monthly Neuromeets,NEEDS_REVIEW,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Requires anonymisation and clinical approval.
IDEA-003,PG approach to optic neuritis,PG approach to optic neuritis,Reel,English,Instagram / LinkedIn / Website / YouTube as applicable,PG Approach Meeting,UNUSED,No client approval evidence,,AI Prompting Guide example,03_CONTENT/03_Content_Ideas,Topic from prompt example.
IDEA-004,Behind the oration,Behind the oration,Video concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Approach Meet,NEEDS_REVIEW,No client approval evidence,,Activities + Strategic Research,03_CONTENT/03_Content_Ideas,Need verified speaker details.
IDEA-005,Lecture archive teaser,Lecture archive teaser,Video concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Future Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Need rights and archive source list.
IDEA-006,Established in 2010 milestone,Established in 2010 milestone,Static post,English,Instagram / LinkedIn / Website / YouTube as applicable,Brand / Society,DRAFT,No client approval evidence,,Strategic Research / website,03_CONTENT/03_Content_Ideas,Confirm anniversary/founding copy.
IDEA-007,Monthly Neuromeet announcement,Monthly Neuromeet announcement,Static post,English,Instagram / LinkedIn / Website / YouTube as applicable,Monthly Neuromeets,DRAFT,No client approval evidence,,AI Prompting Guide example,03_CONTENT/03_Content_Ideas,CTA should be society-appropriate; no hype.
IDEA-008,Office bearer spotlight,Office bearer spotlight,Static post,English,Instagram / LinkedIn / Website / YouTube as applicable,Society / Membership,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Need updated committee roster and consent.
IDEA-009,World Brain Day restrained milestone,World Brain Day restrained milestone,Static post,English,Instagram / LinkedIn / Website / YouTube as applicable,Public Awareness,DRAFT,No client approval evidence,,AI Prompting Guide example,03_CONTENT/03_Content_Ideas,Requires content approval.
IDEA-010,Approach Meet format equity,Approach Meet format equity,Static post,English,Instagram / LinkedIn / Website / YouTube as applicable,Approach Meet,NEEDS_REVIEW,No client approval evidence,,Activities page / Strategic Research,03_CONTENT/03_Content_Ideas,Need exact year/programme details.
IDEA-011,Lecture summary carousel — MS criteria,Lecture summary carousel — MS criteria,Carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS 2026,DRAFT,No client approval evidence,,AI Prompting Guide example,03_CONTENT/03_Content_Ideas,Requires source + speaker consent.
IDEA-012,Case discussion carousel,Case discussion carousel,Carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Monthly Neuromeets,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,No patient identifiers.
IDEA-013,PG approach to symptom,PG approach to symptom,Carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,PG Approach Meeting,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Create from vetted source material.
IDEA-014,Conference recap carousel,Conference recap carousel,Carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS 2026,NEEDS_REVIEW,No client approval evidence,,Strategic Research / IAN listing,03_CONTENT/03_Content_Ideas,Need event photos/results.
IDEA-015,Neuromeet reminder story,Neuromeet reminder story,Story,English,Instagram / LinkedIn / Website / YouTube as applicable,Monthly Neuromeets,UNUSED,No client approval evidence,,Design Instructions,03_CONTENT/03_Content_Ideas,Need calendar details.
IDEA-016,Faculty arrival story,Faculty arrival story,Story,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS 2026,NEEDS_REVIEW,No client approval evidence,,AI Prompting Guide,03_CONTENT/03_Content_Ideas,Requires consent.
IDEA-017,Abstract deadline story,Abstract deadline story,Story,English,Instagram / LinkedIn / Website / YouTube as applicable,Conference,UNUSED,No client approval evidence,,Design Instructions,03_CONTENT/03_Content_Ideas,Need verified deadline.
IDEA-018,GMB status note,GMB status note,GMB,English,Instagram / LinkedIn / Website / YouTube as applicable,GMB / Governance,NEEDS_REVIEW,No client approval evidence,,Strategic Research + GMB Guidelines,03_CONTENT/03_Content_Ideas,Not a publishable post.
IDEA-019,If GBP confirmed: helpful local academic update,If GBP confirmed: helpful local academic update,GMB post idea,English,Instagram / LinkedIn / Website / YouTube as applicable,Monthly Neuromeets,UNUSED,No client approval evidence,,GMB Guidelines,03_CONTENT/03_Content_Ideas,Conditional only.
IDEA-020,The Pune neurology knowledge archive,The Pune neurology knowledge archive,Blog,English,Instagram / LinkedIn / Website / YouTube as applicable,Website Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Future website content.
IDEA-021,History of NSP and Approach Meet,History of NSP and Approach Meet,Blog,English,Instagram / LinkedIn / Website / YouTube as applicable,Approach Meet / Brand,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Confirm historical details.
IDEA-022,PG hub landing page,PG hub landing page,Blog / landing page,English,Instagram / LinkedIn / Website / YouTube as applicable,PG Approach Meeting,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Future website page.
IDEA-023,Membership benefits page,Membership benefits page,Landing page,English,Instagram / LinkedIn / Website / YouTube as applicable,Membership,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Need client input.
IDEA-024,Conference registration creative,Conference registration creative,Ad angle,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS 2026,SUPERSEDED,No client approval evidence,,Design Instructions / AI Prompting Guide,03_CONTENT/03_Content_Ideas,Event date passed; archive only.
IDEA-025,Approach Meet delegate reminder,Approach Meet delegate reminder,Ad angle,English,Instagram / LinkedIn / Website / YouTube as applicable,Approach Meet,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Need upcoming event dates.
IDEA-026,International-convening regional society campaign,International-convening regional society campaign,Campaign concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Brand Positioning,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Positioning option C.
IDEA-027,PG-friendly society campaign,PG-friendly society campaign,Campaign concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Brand Positioning,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Positioning option B.
IDEA-028,Knowledge archive campaign,Knowledge archive campaign,Campaign concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Brand Positioning,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Positioning option A.
IDEA-029,YouTube lecture summary series,YouTube lecture summary series,Video series,English,Instagram / LinkedIn / Website / YouTube as applicable,YouTube / Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Needs rights and source videos.
IDEA-030,Expert debate highlight,Expert debate highlight,Video concept,English,Instagram / LinkedIn / Website / YouTube as applicable,Approach Meet / Invited Lectures,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Need actual recording.
IDEA-031,Panel takeaway card series,Panel takeaway card series,Static / carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Conference / Lectures,UNUSED,No client approval evidence,,Design Instructions,03_CONTENT/03_Content_Ideas,Needs transcript/source.
IDEA-032,Stroke symptoms / FAST awareness,Stroke symptoms / FAST awareness,Public awareness post,English,Instagram / LinkedIn / Website / YouTube as applicable,Public Awareness,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Clinical review required.
IDEA-033,Epilepsy awareness explainer,Epilepsy awareness explainer,Public awareness post,English,Instagram / LinkedIn / Website / YouTube as applicable,Public Awareness,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Clinical review required.
IDEA-034,Headache vs migraine explainer,Headache vs migraine explainer,Public awareness carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Public Awareness,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Clinical review required.
IDEA-035,Dementia early signs awareness,Dementia early signs awareness,Public awareness carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Public Awareness,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Clinical review required.
IDEA-036,NMOSD diagnosis criteria article,NMOSD diagnosis criteria article,Blog / lecture summary,English,Instagram / LinkedIn / Website / YouTube as applicable,Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Source verification needed.
IDEA-037,MOGAD treatment article,MOGAD treatment article,Blog / lecture summary,English,Instagram / LinkedIn / Website / YouTube as applicable,Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Source verification needed.
IDEA-038,Autoimmune encephalitis approach,Autoimmune encephalitis approach,Blog / carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Source verification needed.
IDEA-039,BTK inhibitors in MS,BTK inhibitors in MS,Blog / lecture summary,English,Instagram / LinkedIn / Website / YouTube as applicable,ICTRIMS / Knowledge Archive,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Needs current source/review.
IDEA-040,Society annual report content,Society annual report content,Report / carousel,English,Instagram / LinkedIn / Website / YouTube as applicable,Society / Annual Report,UNUSED,No client approval evidence,,Strategic Research,03_CONTENT/03_Content_Ideas,Needs real data.
COPY-001,Approved CTA verb bank,CTA formats,Copy reference,English,Website / Social,Brand system,ACTIVE_REFERENCE,"Project design instructions, not client approval evidence",,Design Instructions,03_CONTENT/04_Hooks_And_Headlines,Use only society-appropriate verbs.
