Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-001,Strategic research,Markdown research,Gore_Hospital_00_Strategic_Research.md,Current conversation upload,2026-05-24,"Business snapshot, market, competitors, SEO, ICPs, psychology, offers, content and positioning.",Mixed: verified website/PM inputs plus clearly marked inferences,CURRENT,00_SOURCES/Research,Current strategic source; re-verify time-sensitive public claims.
SRC-002,Design instructions,Markdown design system,Gore_Hospital_01_Design_Instructions.md,Current conversation upload,2026-05-24,"Logo-derived palette, typography, five brand modes, layout, imagery, CTA and compliance rules.",High as internal working system; colors approximate until vector lock,CURRENT_WORKING,00_SOURCES/Design_References,Replaces legacy generic-blue system.
SRC-003,AI prompting guide,Markdown prompt system,Gore_Hospital_01_AI_Prompting_Guide.md,Current conversation upload,2026-05-24,"Prompt templates, modes, ICP variants, 13 styles, seven ready prompt examples and QA.",High as internal workflow,CURRENT_WORKING,00_SOURCES/Prompting_Guides,Do not treat generated imagery as approved or publish-ready.
SRC-004,SEO foundation,Markdown analytics report,Gore_Hospital_02_SEO_Foundation.md,Current conversation upload,2026-05-24,"90-day GSC/GA4/partial GBP baseline, keyword gaps, technical issues and action plan.",High for cited connector window; GBP performance incomplete,CURRENT_BASELINE,07_REPORTS/05_SEO,Data window ends 24 May 2026; refresh before current decisions.
SRC-005,GBP/GMB post and image guidelines,Text compliance guide,GMB Post and Image Guidelines.txt,Current conversation upload,2026-05-28,"General GBP-safe image, caption, CTA, spam and healthcare rules.",High as internal publishing guardrail,CURRENT_SUPPORTING,04_GMB/01_Posting_Guidelines,General overlay; not a substitute for current platform policy/legal review.
SRC-006,Client handover specification,Text prompt/specification,Pasted text.txt,Current conversation upload,2026-07-16,"Required extraction scope, folder system, indexes, validation rules and final response.",Authoritative task specification,CURRENT,00_SOURCES/Original_Uploads,Used to construct this package.
SRC-007,Colorful Gore Hospital logo,JPEG logo,gorehospital-logo.jpeg,Current conversation upload,DATE-UNKNOWN,"Detailed colorful GMH mark with maroon, orange, green, blue, gold, red and peacock element.",Current working logo input; explicit client approval not included,RAW_CURRENT_WORKING,02_ASSETS/01_Logos,Request SVG/AI/CDR and signed logo selection.
SRC-008,Comprehensive project audit,Markdown/Word audit,Gore_Hospital_Comprehensive_Project_Audit_2026-07-13,File Library,2026-07-13,"Reconstructs timeline, deliverables, 91 discoverable assets/revisions, risks and completion status.",High as accessible-archive reconstruction; source bytes not mounted,REFERENCE_ONLY,00_SOURCES/Research,File IDs recorded in reference stub.
SRC-009,Digital competitive analysis,Word report,Gore_Hospital_Digital_Competitive_Analysis.docx,File Library,2026-07-16,"Directional competitor, website and Instagram assessment for Ravet–Mamurdi–Kiwale–Punawale.",Directional public-source analysis; no private analytics,REFERENCE_ONLY,00_SOURCES/Research,Validate public snapshots before reuse.
SRC-010,GBP Foundation working draft,Markdown working draft,Pasted markdown.md,File Library,2026-05-25,"GBP categories/services, business description, Q&A, post slate, review replies, review generation and action plan.",Strong internal draft; contains unverified service/facility claims,DRAFT_REFERENCE_ONLY,00_SOURCES/GMB_References,Not canonical; must be fact-checked and re-authorized.
SRC-011,Heart carousel content,Word content deliverable,Heart_Carousel_Content.docx,File Library,2026-05-20,Seven-slide heart-habits content.,Copy exists; numerical medical claims unsourced in accessible record,DRAFT_NEEDS_CLINICAL_REVIEW,03_CONTENT/05_Carousel_Content,Preserved as a transcription with risk labels.
SRC-012,Hospital signage reference,Image,15939f81-be93-4f38-9dca-d95e043d27fb.png,File Library,2026-05-09,Hospital name signage; earliest Gore-specific evidence.,High identity evidence,REFERENCE_ONLY,01_DESIGN/Legacy_Design_References,Original bytes not mounted.
SRC-013,Legacy gold logo variants,PNG logos,logo.png (three near-duplicates),File Library,2026-07-14,Circular gold GMH emblem with hands and Sainagar/Mamurdi text.,Unverified; conflicts with colorful current logo,LEGACY_UNVERIFIED,99_ARCHIVE/01_Old_Guidelines,Do not use until client resolves official logo.
SRC-014,Website testimonial screenshot,Screenshot,Screenshot 2026-07-14 122548.png,File Library,2026-07-14,Website testimonials naming patients and treatments.,Evidence of website display only,RESTRICTED_REFERENCE,99_ARCHIVE/06_Unverified_Material,Patient consent/reuse rights not evidenced.
