Conflict ID,Field,Version A,Source A,Version B,Source B,Risk,Recommended action,Person who must confirm,Status
CON-001,Review count/rating,4.8 / 2k+ reviews,Website/strategic research observation,4.9 / 73 reviews,"SEO Foundation, GBP review connector",High credibility and ASCI misleading-claim risk,Remove or replace with current verifiable count; archive screenshots of proof,Founder + SEO/GBP owner,OPEN
CON-002,Phone number,+91 96895 28414,Current strategy/SEO/GBP working sources,9570031700; 7066629478; +91 84840 59035,Historical creatives/audit,High: missed calls and wrong NAP,Founder signs canonical phone/WhatsApp/emergency list; bulk-replace only after sign-off,Founder + Reception,OPEN
CON-003,Website domain,gorehospital.com,Current strategy and analytics property,gorehospital.in,Historical vaccination creative/audit,High: trust and routing failure,Confirm canonical domain; redirect/retire noncanonical domain and update assets,Founder + Web lead,OPEN
CON-004,Official logo,Detailed colorful GMH logo,Current uploaded JPEG and revised design system,Circular gold GMH/hands emblem,File Library variants and historical creatives,High: inconsistent identity,Client selects official primary/secondary marks; deliver vector master and usage approval,Founder + Brand lead,OPEN
CON-005,Primary palette,Logo-derived maroon/orange/green/sky/gold/red,Revised design instructions,Generic medical blue/navy/white,Legacy design system and many historical creatives,Medium-high brand drift,Use warm system as current working; archive blue system; obtain written client approval,Founder + Brand lead,OPEN
CON-006,Address formatting,"1, Infront, Sr. No. 13/1A, off Blooming International School, Sai Nagar, Mamurdi, PCMC 412101",Strategic research PM-provided canonical,Multiple spellings/shortened Ravet/Mamurdi versions,Historical creatives and working drafts,High local SEO/NAP risk,"Verify exact postal wording, landmark, map pin, coordinates and preferred spelling",Founder + Reception,OPEN
CON-007,Location descriptor,Mamurdi physical address; Ravet catchment,Strategy/website,“Ravet” used as hospital location,Ads/locality copy,Medium: customer confusion,"Standard: “Mamurdi, near Ravet” or client-approved phrase; keep physical address exact",Founder + SEO lead,OPEN
CON-008,Founder status and founding year,Dr. Dattesh Gore appears founder/trust anchor; year unknown,Strategy and reviews,Founder title/year sometimes asserted in drafts,Working copy/prompts,Medium legal/biographical risk,"Confirm formal title, founding year, role, registration number and approved bio",Dr. Dattesh Gore,OPEN
CON-009,Dr. Amol Thorat credentials,"MBBS, DCH, DNB",Strategic research,DNB Paediatrics/Neonatology shorthand,Prompt/GBP drafts,Medium credential accuracy risk,Collect registration certificate/CV and lock exact credential line,Doctor + Founder,OPEN
CON-010,Dr. Subhangi status,Named in one GBP review,SEO/GBP review analysis,Not present in confirmed roster,Strategic research,High doctor-identity risk,"Confirm full name, specialty, credentials, current relationship and photo/name consent",Founder,OPEN
CON-011,24x7 scope,Emergency/ambulance promoted 24x7,Website/strategy,24x7 paediatrician/ICU/in-patient asserted in draft,GBP working draft,High patient-safety risk,"Define exact 24x7 services, staffing and escalation; publish precise OPD hours separately",Medical director + Operations,OPEN
CON-012,Cashless insurance/TPAs,Cashless implied/recommended,Strategy/SEO/GBP drafts,No verified TPA list supplied,Open-items list,High financial/trust risk,Obtain current signed TPA/insurer list and exclusions; never say “all insurance”,Billing/Insurance desk + Founder,OPEN
