Asset ID,Asset name,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval source,Original source,Destination folder,Usage rights,Consent status,Notes
AST-01,Primary Logo,primelogoforwebsite.png,prime-logo-primary-v1.png,PNG,Brand foundation,All,Native (wordmark),English,APPROVED,Live on website + used as design-system ground truth,Client-provided,02_ASSETS/01_Logos,Client-owned,N/A,"Ground-truth reference for Blue #0057D9 / Green #0BAA2B palette"
AST-02,Logo + Footer Reference,Logo_and_Footer.png,prime-logo-footer-reference-v1.png,PNG,Brand foundation,All,Native,English,APPROVED,Used as footer-strip design reference,Client-provided,02_ASSETS/01_Logos,Client-owned,N/A,Reference for the "Prime Care Strip" footer treatment
AST-03,Design System (interactive),07_design_system.html,prime-design-system-v1.html,HTML,Brand foundation,Internal/design team,Browser-viewable,English,APPROVED,Step 07 marked complete in client_state,Agency-generated,02_ASSETS/08_Final_Exports,Agency/client shared IP,N/A,"Confirmed via code: Poppins+Inter fonts, Blue/Green hex values"
AST-04,Hospital Analysis Dashboard (interactive),prime_hospital_analysis_dashboard.html,prime-analysis-dashboard-v1.html,HTML,Onboarding/Audit,Internal/PM,Browser-viewable,English,APPROVED,Presentation layer over confirmed audit data,Agency-generated,02_ASSETS/08_Final_Exports,Agency/client shared IP,N/A,Visual summary of GMB + SEO + competitor + action plan data
AST-05,GMB Post 1 — Laser Piles Awareness,(not exported as image — copy + image prompt only),gmb-post-01-laser-piles-june03.txt,Copy + AI image prompt,Campaign 01 — June 2026,GMB,1080x1080,English,LIVE (per M6 report),Confirmed published in June report,Agency-generated,03_CONTENT/03_GMB_Post_Copy (content) — no rendered image file on hand,Agency/client shared IP,N/A,"No final rendered graphic file was found in the project — copy + prompt only"
AST-06,GMB Post 2 — Educational Pain FAQ,(copy + prompt only),gmb-post-02-pain-faq-june10.txt,Copy + AI image prompt,Campaign 01 — June 2026,GMB,1080x1080,English,LIVE (per M6 report),Confirmed published in June report,Agency-generated,03_CONTENT/03_GMB_Post_Copy,Agency/client shared IP,N/A,No rendered image file found
AST-07,GMB Post 3 — Hernia Awareness,(copy only),gmb-post-03-hernia-june17.txt,Copy,Campaign 01 — June 2026,GMB,1080x1080,English,LIVE (per M6 report),Confirmed published in June report,Agency-generated,03_CONTENT/03_GMB_Post_Copy,Agency/client shared IP,N/A,Copy structure noted as "similar to Post 1" in source — full copy not separately written out
AST-08,GMB Post 4 — Trust/Social Proof,(copy only),gmb-post-04-trust-june24.txt,Copy,Campaign 01 — June 2026,GMB,1080x1080,English,LIVE (per M6 report),Confirmed published in June report,Agency-generated,03_CONTENT/03_GMB_Post_Copy,Agency/client shared IP,N/A,Uses real patient review quotes — see consent note below
AST-09,Instagram Posts 1-8 (June),(copy only — no rendered creative files found),ig-post-0X-june2026.txt,Copy (static/carousel/reel scripts),Campaign 01 — June 2026,Instagram,Various,English,DRAFT — publish status not confirmed,Not explicitly confirmed live in M6 report,Agency-generated,03_CONTENT,Agency/client shared IP,N/A,"M6 report confirms content was 'published' generally but does not itemise which of the 8 IG posts went live"
AST-10,Facebook Posts 1-6 (June),(copy only),fb-post-0X-june2026.txt,Copy,Campaign 01 — June 2026,Facebook,Various,English,DRAFT — publish status not confirmed,Not itemised in M6 report,Agency-generated,03_CONTENT,Agency/client shared IP,N/A,4 repurposed from Instagram + 2 unique
AST-11,Blog Post 1 — Laser Piles Cost,(outline + full brief only — no final published copy on file),blog-01-laser-piles-cost-pcmc.md,Blog outline,Campaign 01 — June 2026,Website blog,950 words (target),English,LIVE (per M6 report — "published June 6"),Confirmed published in June report,Agency-generated,03_CONTENT/09_Content_Calendar,Client-owned once published,N/A,"Only the SEO-outline/brief exists in the project, not the final published prose"
AST-12,Blog Post 2 — Hernia Recovery Time,(outline only),blog-02-hernia-recovery-time.md,Blog outline,Campaign 01 — June 2026,Website blog,900 words (target),English,LIVE (per M6 report — "published June 18"),Confirmed published in June report,Agency-generated,03_CONTENT/09_Content_Calendar,Client-owned once published,N/A,Only the outline/brief exists in the project
AST-13,Patient testimonial quotes (real, sourced from Google reviews),(embedded in 05_gmb_foundation.md — not a standalone file),patient-quotes-verbatim-bank.md,Text quote bank,Ongoing,GMB/Social,N/A,English,APPROVED FOR REUSE (public reviews),Sourced from live GBP reviews,Windsor.ai GMB live pull,04_GMB/06_Review_Responses,Reviews are public but reused for marketing,"Not formally consented for ad use — recommend confirming with named reviewers before featuring in paid media",Rasika Chavan (Moshi) · Pavan Dhamore (PCMC) · Snehal Unde (PCMC) quoted verbatim
AST-14,Doctor / founder photos,NONE FOUND,—,Photo,—,—,—,—,MISSING,—,—,02_ASSETS/04_Doctor_Founder_Team_Photos (empty),—,UNKNOWN,"No actual photograph of Dr. Bhalerao was found anywhere in the project — only photography direction/prompts for AI generation or future real shoots"
AST-15,Clinic/facility photos,NONE FOUND,—,Photo,—,—,—,—,MISSING,—,—,02_ASSETS/05_Clinic_Office_Product_Photos (empty),—,UNKNOWN,"GMB Foundation §6 explicitly lists a required minimum photo set that had not been confirmed as uploaded as of May 2026"
