Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
CNT-01,Laser Piles Treatment — Same Day. No Cuts.,Laser piles awareness,GMB post,English,GMB,Campaign 01 - June 2026,LIVE,Confirmed in M6 report,2026-06-03,m5_content_calendar.md,04_GMB/03_GMB_Post_Copy,First GMB post in 90+ days
CNT-02,Still living with piles? You don't have to.,Laser piles awareness,Instagram static post,English,Instagram,Campaign 01 - June 2026,DRAFT — not itemised as published in M6,Not confirmed,2026-06-04 (planned),m5_content_calendar.md,03_CONTENT/06_Static_Post_Content,
CNT-03,5 signs your piles need a doctor,Piles symptoms education,Instagram carousel (3 slides),English,Instagram,Campaign 01 - June 2026,DRAFT — not itemised as published,Not confirmed,2026-06-07 (planned),m5_content_calendar.md,03_CONTENT/05_Carousel_Content,
CNT-04,Laser Piles Treatment Cost in PCMC — What to Expect in 2026,Piles cost (BOFU),Blog outline,English,Website blog,Campaign 01 - June 2026,LIVE (outline only — final prose not on file),Confirmed in M6 report,2026-06-06,m5_content_calendar.md,03_CONTENT/09_Content_Calendar,Only SEO brief/outline exists; final published prose not found in project
CNT-05,Is Laser Piles Treatment Painful? The Honest Answer,Pain/fear education,GMB post,English,GMB,Campaign 01 - June 2026,LIVE,Confirmed in M6 report,2026-06-10,m5_content_calendar.md,04_GMB/03_GMB_Post_Copy,
CNT-06,The doctor who explains before he operates,Dr. Bhalerao trust,Instagram static post,English,Instagram,Campaign 01 - June 2026,DRAFT — not itemised as published,Not confirmed,2026-06-10 (planned),m5_content_calendar.md,03_CONTENT/06_Static_Post_Content,
CNT-07,5 signs your hernia needs surgery (not just a belt),Hernia symptoms education,Instagram carousel,English,Instagram,Campaign 01 - June 2026,DRAFT — outline only,Not confirmed,2026-06-12 (planned),m5_content_calendar.md,03_CONTENT/05_Carousel_Content,Structure only — full slide copy not written out in source
CNT-08,Monsoon health awareness,Seasonal GI health reminder,WhatsApp broadcast,English,WhatsApp,Campaign 01 - June 2026,DRAFT — send confirmation not on file,Not confirmed,2026-06-11 (planned),m5_content_calendar.md,03_CONTENT/02_Captions,Sent to all past patients (segment)
CNT-09,What happens during laparoscopic hernia surgery,Hernia procedure explainer,Instagram reel script (60s),English,Instagram,Campaign 01 - June 2026,DRAFT — full script written,Not confirmed,2026-06-16 (planned),m5_content_calendar.md,03_CONTENT/01_Scripts,Full timestamped script — see script file
CNT-10,Hernia Surgery Recovery Time — How Many Days Off Work?,Hernia recovery (MOFU),Blog outline,English,Website blog,Campaign 01 - June 2026,LIVE (outline only),Confirmed in M6 report,2026-06-18,m5_content_calendar.md,03_CONTENT/09_Content_Calendar,Only outline on file
CNT-11,Laparoscopic hernia surgery. 45 minutes. Back to work in 5 days.,Hernia awareness,GMB post,English,GMB,Campaign 01 - June 2026,LIVE,Confirmed in M6 report,2026-06-17,m5_content_calendar.md,04_GMB/03_GMB_Post_Copy,Copy noted in source as "similar structure to Post 1" — not written out verbatim
CNT-12,108 patients. 4.9 stars. Here's why they chose Prime.,Social proof / trust,GMB post,English,GMB,Campaign 01 - June 2026,LIVE,Confirmed in M6 report,2026-06-24,m5_content_calendar.md,04_GMB/03_GMB_Post_Copy,Uses real patient quotes
CNT-13,Gallbladder stone pain? Surgery isn't as big as you think.,Gallbladder awareness,Instagram static post,English,Instagram,Campaign 01 - June 2026,DRAFT — title only,Not confirmed,2026-06-23 (planned),m5_content_calendar.md,03_CONTENT/06_Static_Post_Content,Full copy not written out in source
CNT-14,What it's actually like to have surgery at Prime,Patient journey walkthrough,Instagram reel script,English,Instagram,Campaign 01 - June 2026,DRAFT — concept only, not scripted,Not confirmed,2026-06-25 (planned),m5_content_calendar.md,03_CONTENT/07_Reel_And_Video_Concepts,Concept/topic only — full script not written
CNT-15,10 FAQs about surgery at Prime,Objection-busting FAQ,Instagram carousel,English,Instagram,Campaign 01 - June 2026,DRAFT — topic only,Not confirmed,2026-06-28 (planned),m5_content_calendar.md,03_CONTENT/05_Carousel_Content,Topic only — full slide copy not written
CNT-16,Review request — recently discharged patients,Review generation,WhatsApp broadcast,English,WhatsApp,Campaign 01 - June 2026,DRAFT — send confirmation not on file,Not confirmed,2026-06-26 (planned),m5_content_calendar.md,03_CONTENT/02_Captions,Segment: patients discharged in last 30-60 days
CNT-17,Facebook Posts 1-4 (repurposed),Various (from IG 1/2/4/7),Facebook post,English,Facebook,Campaign 01 - June 2026,DRAFT,Not confirmed,June 2026 (various),m5_content_calendar.md,03_CONTENT/06_Static_Post_Content,Repurposed with slightly longer captions
