Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-01,Master Brand Brain v1.0,Brand strategy/voice/visual OS,nakshatra-master-brand-brain.md,Project,May 2026,"Authoritative operating system: voice, positioning, psychology, image-prompting, rules",High (strategy team),Active/authoritative,00_SOURCES/Content_References + 01_DESIGN,Voice guidance supersedes the Brand Knowledgebase
SRC-02,Brand Knowledgebase v1.0,Brand reference,nakshatra-brand-knowledgebase.md,Project,May 2026,"Services, contact, audience, platform notes, colours, typography",Medium-High,Active (facts) / Legacy (voice),00_SOURCES/Content_References,Uses banned phrases; voice notes superseded by SRC-01
SRC-03,Strategic Research v1.0,Market/competitor/audience research,Nakshatra_01_Strategic_Research.md,Project,Jun 2026,"Market, category, 5 competitors, ICPs, buyer psychology, differentiation wedge",High,Active,00_SOURCES/Research,Synthesised from the Client Business Snapshot
SRC-04,AI Prompting Guide v1.0,Image-generation system,Nakshatra_02_AI_Prompting_Guide.md,Project,Jun 2026,"Image aesthetic params, templates, negative prompts, checklist",High,Active,01_DESIGN,Pair with Design Instructions
SRC-05,Design Instructions v1.0,Visual design system,Nakshatra_02_Design_Instructions.md,Project,Jun 2026,"Logo, colour, type, layout, tokens, magenta reconciliation",High,Active/authoritative,01_DESIGN,Design authority for new work
SRC-06,Site Extraction v1.0,Website audit,Nakshatra_03_Site_Extraction.md,Project,Jun 2026,Faithful audit of live site + flagged data-integrity issues,High,Active,00_SOURCES/Research,Surfaces most fact conflicts
SRC-07,Client Business Snapshot,"Research (34pp, image+OCR)",SECTION_1___CLIENT_BUSINESS_SNAPSHOT.pdf (ZIP of jpegs+txt),Project,May 2026,"Business, market, competitors, ICPs, buyer psych, SEO tables, service positioning",High (upstream source),Active (SEO parts gated),00_SOURCES/Research/Client-Business-Snapshot_extracted,Mis-named .pdf; actually a ZIP
SRC-08,Brief 01 — 2-Cycle IVF,Campaign brief,brief-01-2cycle-ivf.md,Project,May 2026,Meta ad brief; 5 concepts; offer prices,Medium (unconfirmed offer),Active/DRAFT,00_SOURCES/Campaign_Briefs + 05_CAMPAIGNS,Offer prices need client confirmation
SRC-09,Brief 02 — Endometrium,Campaign brief,brief-02-endometrium-ivf.md,Project,May 2026,Meta ad brief; failed-IVF audience; named therapy,Medium,Active/DRAFT,00_SOURCES/Campaign_Briefs + 05_CAMPAIGNS,Confirm 'Endometrium Enhancement Therapy'
SRC-10,Brief 03 — Low AMH,Campaign brief,brief-03-low-amh.md,Project,May 2026,Meta ad brief; natural-conception reframe; JAMA 2019,Medium,Active/DRAFT,00_SOURCES/Campaign_Briefs + 05_CAMPAIGNS,Verify JAMA claim + AMH 0.1 case
SRC-11,Content Performance Analysis,Social report (text),Nakshatra_Content_Analysis_Report__2_.docx (actually text),Project,Apr 2026,"6 top reels, plateau diagnosis, 40+ ideas, 30-day plan",High (analysis) / Medium (metrics),Active,07_REPORTS/01_Social_Media + 03_CONTENT/11,Mis-extensioned .docx; refers to 'Dr. Priyank'
SRC-12,Content Performance Analysis (image+OCR),Duplicate of SRC-11,Nakshatra_social_media_video_scripts.pdf (ZIP),Project,May 2026,"Same report as SRC-11, as page images + OCR",Duplicate,Active/Duplicate,07_REPORTS/01_Social_Media/Content-Performance-Analysis_extracted,MIS-NAMED: not video scripts
SRC-13,Nakshatra Logo,Brand asset (image),nakshatralogo.webp (actually JPEG 868x196),Project,Unknown,Horizontal lockup: magenta-purple symbol + navy wordmark,Medium (raster only),Active,02_ASSETS/01_Logos,Request vector + variants
