Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Duplicate or related idea,Notes
IDEA001,3 Signs Your Child Is Ready for Preschool,Reels,School readiness,Parents of preschool-age children,Wondering if your child is ready for preschool?,"Curiosity, enjoyment of play and emerging communication can be readiness signals.",Book a school visit,English,CAMP006 — Preschool Readiness,USED,"Prior interaction, 2026-05-13",2026-05-13,,Exact six-scene reel recovered; not approved or published.
IDEA002,5 Reasons Why You Should Enroll Your Child at Millennium Woods Preschool,Reels,Admissions,Local parents comparing preschools,5 reasons to choose Millennium Woods,"Explain practical trust, learning and care reasons for enrolment.",Book a Visit,English,CAMP001 — Admissions and School Tours,USED,"Prior interaction, 2026-05-13",2026-05-13,,Title/delivery confirmed; complete script unavailable.
IDEA003,Your Child's First School Should Feel Like Home,Reels,Parent trust,First-time anxious parents,Their first school should feel like home.,Warmth and belonging reduce first-school anxiety.,Book a Free Tour,English,CAMP003 — Parent Trust and Safety,UNUSED,Recovered social strategy,DATE-UNKNOWN,,Explicit reel direction.
IDEA004,What Looks Like Play Is Actually Learning,Reels,Play-based learning,Parents worried about academic value,It looks like play. Here is what children are learning.,"Show the developmental purpose behind blocks, role play, songs and art.",Visit the School,English,CAMP007 — Activity-Based Learning,UNUSED,Recovered social strategy,DATE-UNKNOWN,,Explicit reel direction.
IDEA005,Day Care That Feels Like Home,Reels,Day care,Working IT-corridor parents,Day care that feels like home — minutes from Hinjewadi.,"Reassure working parents about care, routine and emotional safety.",WhatsApp Us,English,CAMP002 — Day Care for Working Parents,DRAFT,Strategic Research ad angle,DATE-UNKNOWN,,Location/travel wording needs canonical location approval.
IDEA006,"Watch Your Child Speak, Perform & Shine",Reels,Confidence,Parents seeking communication and confidence,"Watch your child speak, perform & shine.","Rhymes, storytelling and stage activities can support expression and confidence.",Book a Visit,English,CAMP004 — Confidence Development,USED,Confidence banner and legacy prompt example,2026-05-13,,Avoid guaranteed transformation language.
IDEA007,Future-Ready Enrichment in Action,Reels,Enrichment,Aspirational parents,Future-ready learning starts with everyday curiosity.,"Show sign language, Everyday Math, art and movement as age-appropriate enrichment.",Explore Programs,English,CAMP008 — Future-Ready Enrichment,UNUSED,Strategic Research / website programs,DATE-UNKNOWN,,Program delivery must be confirmed.
IDEA008,"A Warm Welcome, Every Morning",Reels,Belonging,First-time parents,The best part of school? Knowing you're expected.,Teacher-child greeting creates an emotionally warm first impression.,Book a Visit,English,CAMP005 — A Day at Millennium Woods,DRAFT,June carousel slide 2,DATE-UNKNOWN,,“Every child greeted by name” requires confirmation.
IDEA009,School Tour in 30 Seconds,Reels,Admissions,High-intent local parents,Come inside before you decide.,A fast entrance-to-classroom tour reduces uncertainty.,Book a Tour,English,CAMP001 — Admissions and School Tours,UNUSED,Website conversion recommendations,2026-05-28,,Use real school footage and verified areas only.
IDEA010,Admissions Open — Current Session,Static posts,Admissions,Parents in the local catchment,"Give your child a joyful, safe and confident start.",Present current programs and one verified tour CTA.,Book a Visit,English,CAMP001 — Admissions and School Tours,DRAFT,"Legacy prompt example, corrected by May 28 guide",2026-05-28,,Session and age bands must be confirmed.
IDEA011,Where Little Minds Blossom,Static posts,Brand warmth,First-time parents,Where little minds blossom.,Position the school as nurturing and emotionally safe.,Book a Visit,English,CAMP003 — Parent Trust and Safety,DRAFT,AI Prompting Guide example,2026-05-13,,Brand line exists on website.
IDEA012,A Safe Space for Your Child's First Steps,Static posts,Safety,Safety-conscious parents,A safe space for your child's first steps.,Use caring staff and child-friendly environment proof without fear messaging.,Book a School Visit,English,CAMP003 — Parent Trust and Safety,DRAFT,Legacy prompt example,2026-05-13,,CCTV/hygiene claims require approval.
IDEA013,"Watch Your Child Speak, Perform & Shine — Banner",Static posts,Confidence,Parents seeking holistic growth,"Watch Your Child Speak, Perform & Shine",Confidence-supporting activities are part of everyday learning.,Call and Book a Visit,English,CAMP004 — Confidence Development,USED,"Exact recovered banner copy, 2026-05-13",2026-05-13,,Scarcity line must be removed unless verified.
IDEA014,Tiny Steps Today. Big Dreams Tomorrow.,Static posts,Admissions,Parents of children 1.5–6,Tiny Steps Today. Big Dreams Tomorrow.,"Play-based learning, care and a safe environment support early development.",Book a Visit,English,CAMP001 — Admissions and School Tours,USED,"Exact prior caption, 2026-05-25",2026-05-25,,Program range and claims need fact check.
IDEA015,The First Years Build the Person Your Child Becomes,Static posts,Early development,Aspirational parents,The first years don't just pass — they build.,"Nurture curiosity, emotions, confidence, communication and social skills.",Give Your Child the Right Start,English,CAMP004 — Confidence Development,USED,"Exact prior caption, 2026-07-01",2026-07-01,,No publication evidence.
IDEA016,Day Care Program Spotlight,Static posts,Day care,Working parents,Care that supports your working day and your child's growth.,"Explain active day-care age, hours and routine after confirmation.",Enquire About Day Care,English,CAMP002 — Day Care for Working Parents,UNUSED,Strategic Research / website program,DATE-UNKNOWN,,Age/hours conflict.
IDEA017,Play Group Program Spotlight,Static posts,Program,Parents of toddlers,A joyful first step into group learning.,"Introduce play, communication and routine for the approved age band.",Explore Play Group,English,CAMP001 — Admissions and School Tours,UNUSED,Website programs,2026-05-28,,Age band must be confirmed.
IDEA018,Nursery Program Spotlight,Static posts,Program,Parents of nursery-age children,Curiosity grows through guided play.,Explain the current Nursery experience and eligibility.,Explore Nursery,English,CAMP001 — Admissions and School Tours,UNUSED,Website programs,2026-05-28,,Age band must be confirmed.
IDEA019,Junior and Senior KG Spotlight,Static posts,Program,Parents preparing for school transition,Confident foundations for the next school step.,"Show communication, independence and foundational learning.",Explore KG Programs,English,CAMP001 — Admissions and School Tours,UNUSED,Website programs,2026-05-28,,Age bands and outcomes require approval.
IDEA020,Enrichment Spotlight — Sign Language,Static posts,Enrichment,Aspirational parents,Little hands can express big ideas.,Show age-appropriate sign-language activity.,Explore Programs,English,CAMP008 — Future-Ready Enrichment,UNUSED,Website enrichment list,DATE-UNKNOWN,,Confirm active delivery.
IDEA021,Enrichment Spotlight — Everyday Math,Static posts,Enrichment,Aspirational parents,Math begins with everyday discovery.,"Show counting, sorting and building through play.",Explore Programs,English,CAMP008 — Future-Ready Enrichment,UNUSED,Website enrichment list,DATE-UNKNOWN,,Confirm active delivery and avoid achievement guarantees.
