Idea_ID,Topic,Content_Type,Pillar,Audience,Hook,Message,CTA,Status
IDEA-008,Electrician panel wiring demonstration,Reel,Trade Spotlight,Students,What happens inside an Electrician workshop?,"Real panel wiring, multimeter use and safety.",Watch / visit,UNUSED
IDEA-009,Fitter bench work demonstration,Reel,Trade Spotlight,Students,Fitter असणे म्हणजे काय?,"Filing, measuring and bench fitting.",Explore Fitter,UNUSED
IDEA-010,Electronics Mechanic soldering/testing,Reel,Trade Spotlight,Students,Small components. Precise skill.,Circuit assembly and testing.,Explore trade,UNUSED
IDEA-011,Welder PPE and clean joint,Reel,Trade Spotlight,Students,"Skill, safety and structure.",Real welding with correct PPE.,Visit workshop,UNUSED
IDEA-012,Surveyor field measurement,Reel,Trade Spotlight,Students,The eyes of infrastructure.,Theodolite and measurement process.,Explore trade,UNUSED
IDEA-013,Draughtsman drawing to CAD,Reel,Trade Spotlight,Students,From drawing board to CAD.,Manual drafting and modern CAD.,Explore trade,UNUSED
IDEA-014,Interior Design material-board exercise,Reel,Trade Spotlight,Students,Design becomes practical through materials.,"Samples, sketching and planning.",Explore trade,UNUSED
IDEA-015,Electrician vs Electronics Mechanic,Reel,Trade Comparison,Students,Which trade fits you?,"Tools, tasks and pathways.",Compare,UNUSED
IDEA-016,Fitter vs Welder,Reel,Trade Comparison,Students,Both build industry—differently.,Daily work and skill differences.,Visit campus,UNUSED
IDEA-017,Principal-to-parent Marathi address,Reel,Parent Reassurance,Parents,पालकांना थेट संदेश.,"Trust, fees, safety and pathways without guarantees.",Visit campus,UNUSED
IDEA-018,30-hour skill demonstration explainer,Reel,Achievement,Parents/Students,What did 30 continuous hours prove?,Verified record facts and participant voices.,Learn more,UNUSED
IDEA-019,Sound-on workshop tour,Reel,Infrastructure,Students,Turn the sound on: this is the workshop.,Authentic machinery/tool sounds.,Book visit,UNUSED
IDEA-020,Day in the life — Fitter,Reel,Student Identity,Students,"One day, one trade, real work.",Theory plus workshop.,Explore Fitter,UNUSED
IDEA-021,Day in the life — Electrician,Reel,Student Identity,Students,From diagram to panel.,Theory plus practical work.,Explore Electrician,UNUSED
IDEA-022,Faculty mini-interview,Reel,Faculty Credibility,Parents/Students,What should a first-year student learn first?,Verified instructor expertise.,Meet faculty,UNUSED
IDEA-023,Student week-three diary,Reel,Student Story,Students,What I learned in my third week.,Peer voice with consent.,Follow series,UNUSED
IDEA-024,Industry visit recap,Reel,Industry Connection,Students/Recruiters,What students saw on the shop floor.,Verified visit and learning.,Learn more,UNUSED
IDEA-025,Admission process in 30 seconds,Reel,Admission Cycle,Parents/Students,Three steps to apply.,Documents and inquiry flow.,Enquire,UNUSED
IDEA-026,Apprenticeship pathway explainer,Reel,Career Guidance,Parents/Students,ITI नंतर apprenticeship म्हणजे काय?,Realistic pathway explanation.,Learn more,UNUSED
IDEA-027,Campus visit invitation,Reel,Parent Reassurance,Parents,कार्यशाळा प्रत्यक्ष पाहा.,Invite families to verify facilities.,Book visit,UNUSED
IDEA-099,30-hour record mini-documentary,Video concept,Achievement,Parents/Students,The people behind the record,"Certificate, preparation, participants and learning.",Watch,UNUSED
IDEA-100,Principal Marathi address series,Video concept,Parent Reassurance,Parents,One question per video,"Fees, safety, trades, recognition, pathways.",Visit,UNUSED
IDEA-101,Seven-trade workshop series,Video concept,Trade Spotlight,Students,"One workshop, one trade",Real demonstrations.,Follow,UNUSED
IDEA-102,Parent testimonial series,Video concept,Social Proof,Parents,Why this family chose the ITI,"Documented, consented specifics.",Visit,UNUSED
IDEA-103,Alumni outcome series,Video concept,Alumni Stories,Students,Where skill led next,Verified role/company; no salary hype.,Learn,UNUSED
IDEA-104,Industry visit video,Video concept,Industry Connection,Recruiters/Students,Learning beyond campus,Verified visit and takeaways.,Partner,UNUSED
IDEA-105,Campus tour,Video concept,Infrastructure,Parents,See before you decide,Workshops/classrooms/facilities.,Book visit,UNUSED
IDEA-106,Admission explainer video,Video concept,Admission Cycle,Parents/Students,How to apply,Confirmed steps/documents.,Enquire,UNUSED
IDEA-107,Faculty micro-lessons,Video concept,Faculty Credibility,Students,One useful concept in 45 seconds,Demonstrate expertise.,Follow,UNUSED
IDEA-108,Workshop safety induction,Video concept,Skill Demonstration,Students,Safety first,Real PPE and procedure.,Learn safely,UNUSED
