Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Related idea,Notes
IDEA-01,FAST stroke test,Reel,Symptom awareness,ICP1/ICP3,Recognise stroke in 60 seconds,Every minute matters,Save/share,EN,Awareness,UNUSED,Step 01 §11,-,-,Educational only
IDEA-02,Dengue vs viral,Reel/Static,Seasonal awareness,ICP1,How to tell during monsoon,Get tested not guess,Talk to us,EN/MR,Monsoon,USED,Step 01 §11,-,SCR-06/07,Became dengue scripts
IDEA-03,A day in the NRS ICU,Reel,Authority,ICP1/ICP3,Calmer look at critical care,Doctor-supervised ICU,Read more,EN,Trust,UNUSED,Step 01 §11,-,-,No patient faces
IDEA-04,5 numbers every diabetic should know,Carousel,Structured monitoring,ICP1/ICP3,Know your numbers,Well-managed diabetes,Book review,EN,Diabetes,DRAFT,June cal Jun 9,-,-,Educational only
IDEA-05,Cashless admission step-by-step,Carousel+Blog,Trust/operations,ICP2,Demystify cashless,No surprise bills,View network,EN,Insurance,UNUSED,Step 01 §11,-,-,Blocked on TPA list
IDEA-06,Before agreeing to surgery,Blog,Decision,ICP1,5 questions to ask,Honest second opinion,Talk to us,EN,Trust,UNUSED,Step 01 §11,-,-,Compliant
IDEA-07,Dr Survase founder story,Blog+Reel,Authority,All,Govt College Nagpur to NRS,Doctor-led origin,Read story,EN,Brand,UNUSED,Step 01 §11,-,-,Verify facts
IDEA-08,Hinjewadi IT 5 health risks,Blog+Static,Local,ICP2,Long shifts hurt,Preventive checks,Book checkup,EN,Local,UNUSED,Step 01 §11,-,-,IT corridor angle
IDEA-09,Ganpati health-safety,Festival post,Occasion,ICP1,Celebrate safely,Hydration/queue care,Save guide,EN/MR,Festival,UNUSED,Step 01 + AI guide,-,-,Subtle cultural cues
IDEA-10,BP meds don't damage kidneys myth,Static/Myth,Myth-busting,ICP1/ICP3,Stop believing this,Don't stop meds,Ask our team,EN,Awareness,UNUSED,Step 01 §11,-,-,Never advise stopping meds
IDEA-11,Community first-aid/CPR camp,GMB+Story,Community,Local,NRS already runs these,Local rootedness,Attend,EN/MR,Community,UNUSED,Step 01/03,-,-,Real program
IDEA-12,Cardiac golden hour deep-dive,Carousel,Emergency authority,ICP1,Every minute counts,Thrombolysis capability,Call now,EN,Cardiac,DRAFT,June cal Jun 21,-,-,Compliant framing
