Idea ID,Topic,Content type,Content pillar,Target audience,Hook,Core message,Suggested CTA,Language,Campaign,Status,Original source,Date,Duplicate or related idea,Notes
BLOG-01,Child fever - when to see a doctor,Blog,Educational,ICP1 Anita,Signs your child's fever needs a doctor (and signs it doesn't),Reassurance + clear escalation signs,Book paediatrician,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,Blog publishing frozen pending existing-blog audit
BLOG-02,Monsoon dengue/viral/gastro guide,Blog,Seasonal,All ICPs,Monsoon health guide for PCMC families,Seasonal awareness + when to visit,Visit emergency / book OPD,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Related to Reel idea SOC-09,
BLOG-03,Heart attack symptoms in women,Blog,Awareness,ICP2 Suresh / ICP5,Heart attack symptoms in women you shouldn't ignore,Awareness of under-recognised symptoms,Book cardiologist,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-04,Knee pain after 40,Blog,Awareness/Symptom,ICP2 / ICP5,When to see an orthopaedist for knee pain,Anti-overtreatment reassurance,Book ortho,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Related to June-calendar June 21 carousel,
BLOG-05,PCOS symptoms and treatment,Blog,Educational,ICP1,What's true and what's not about PCOS,Myth-busting,Book gynaec,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Duplicate of SOC-15,
BLOG-06,Diabetes diet for Indian families,Blog,Awareness,ICP2/ICP5,Diabetes diet without giving up rice,Practical, culturally-adapted guidance,Book physician,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Related to SOC-08 (Marathi diabetes reel),
BLOG-07,Normal delivery vs C-section,Blog,Decision,ICP1,How the decision is actually made,Process transparency,Book gynaec,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-08,First cardiac check-up - what to expect,Blog,Process,ICP2/ICP4,What to expect at your first visit,Reduce first-visit anxiety,Book cardio,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-09,Dental implant cost in Pune,Blog,Cost/Comparison,ICP1/ICP4,Why implant cost varies,Pricing transparency,Book dentist,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-10,Dialysis explained for caregivers,Blog,Caregiver,ICP5,A guide for caregivers,Reduce caregiver confusion,Visit nephro dept,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Related to SOC-11,
BLOG-11,Child vaccination schedule,Blog,Awareness,ICP1,A parent's checklist,Practical reference,Book paediatrician,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Duplicate of SOC-18,
BLOG-12,When to take parent to ER,Blog,Caregiver,ICP2/ICP5,Decision guidance for adult children,Reduce panic + guide decision,Save emergency number,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-13,Hypertension awareness,Blog,Awareness,ICP2/ICP5,A quiet condition not to ignore,Screening encouragement,Book physician,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-14,Cashless insurance explainer,Blog,Brand/BOFU,ICP4,How cashless works at Gore,Process transparency,Book appointment,English,None,DRAFT/PAUSED - BLOCKED,Strategic Research S11,Prior to 24 May 2026,Duplicate of SOC-14,Blocked on real TPA list (open item)
BLOG-15,Cancer screening myths,Blog,Awareness,ICP2/ICP5,5 myths Indians still believe,Myth-busting + screening encouragement,Book screening,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,Compliance-sensitive - no cure claims
BLOG-16,Pregnancy month-by-month checklist,Blog,Process,ICP1,A Pune mother's checklist,Practical lead-magnet style guide,Book gynaec,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Overlaps recommended lead magnet,
BLOG-17,Back pain at desk job,Blog,Awareness,ICP4 Rohit,PCMC IT-professional's guide,Relatable symptom framing,Book ortho,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-18,Senior wellness check-up value,Blog,Decision,ICP5,What's actually worth doing,Cut through wellness-package noise,Book package,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-19,How to choose a paediatrician,Blog,Decision,ICP1,Decision framework for parents,Trust-building,Book paediatrician,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-20,ENT problems in monsoon,Blog,Seasonal,All,Ear/throat/sinus issues,Seasonal awareness,Book ENT,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-21,Gastric issues - serious or not,Blog,Symptom,All,When it's serious, when it's not,Symptom triage guidance,Book gastro,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-22,Skin problems in Pune humidity,Blog,Symptom,All,A dermatology guide,Seasonal skin-health awareness,Book derma,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-23,Family health insurance coverage,Blog,Education,ICP2/ICP4,What coverage actually matters,Insurance literacy,Insurance page,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,,
BLOG-24,Behind the scenes - 2AM emergency,Blog,Brand,All,How Gore handles a 2AM emergency,Trust via transparency,Save emergency line,English,None,DRAFT/PAUSED,Strategic Research S11,Prior to 24 May 2026,Related to SOC-03,
