Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-001,NRS Hospital logo,Logo,nrs-logo.png,Mounted project file,DATE-UNKNOWN,"Horizontal blue-green NRS Hospital logo with tagline Nurture, Recover & Secure Life.",DIRECTLY_READABLE,CURRENT_WORKING_SOURCE; explicit approval not recovered,00_SOURCES/Original_Uploads; 02_ASSETS/01_Logos,875×332 RGBA PNG. Do not recolour or distort.
SRC-002,Strategic research,Research document,NRS_Hospital_01_Strategic_Research.md,Mounted project file,2026-05-26,"First-pass market, competitor, audience, psychology, local SEO, positioning, content, offer, conversion and compliance research.",DIRECTLY_READABLE; mixed verified/inferred/to-verify facts,FIRST_PASS,00_SOURCES/Research,Client verification pending.
SRC-003,Prompt 02 design-system specification,Workflow prompt,nrs-hospital-prompt-02-design-instructions.md,Mounted project file,2026-05-26,Three-stage feedback workflow and specification for design instructions and AI prompting guide.,DIRECTLY_READABLE,WORKFLOW_SOURCE,00_SOURCES/Prompting_Guides,Requires five visual references and feedback loop.
SRC-004,Stage 1 design instructions,Design guideline,NRS_Hospital_02_Design_Instructions.md,Mounted project file,2026-05-26,"Provisional editorial-medical, warm-human design system with colours, type, layout, photography, CTAs and compliance.",DIRECTLY_READABLE,PROVISIONAL,00_SOURCES/Design_References; 01_DESIGN,Not client-approved; Stage 2/3 training absent.
SRC-005,Stage 1 AI prompting guide,AI prompting guide,NRS_Hospital_02_AI_Prompting_Guide.md,Mounted project file,2026-05-26,"Reusable prompt framework, formats, 13 design add-ons, examples, manual finishing and compliance QA.",DIRECTLY_READABLE,PROVISIONAL,00_SOURCES/Prompting_Guides; 01_DESIGN,Reference-dependent refinements pending.
SRC-006,Website and content extraction,Website extraction,NRS_Hospital_03_Site_Extraction.md,Mounted project file,2026-05-26,"Site inventory, NAP, duplicate homepages, copy/compliance issues, content gaps and action list.",DIRECTLY_READABLE but indirect crawl,PROVISIONAL,00_SOURCES/Research,robots.txt returned HTTP 500 during extraction; direct rerun required.
SRC-007,General GMB post and image guidelines,Platform guideline,GMB Post and Image Guidelines.txt,Mounted project file,2026-05-28,"General GBP-safe image, caption, claim, CTA, spam and QA rules.",DIRECTLY_READABLE,GENERAL_REFERENCE_NOT_NRS_SPECIFIC,00_SOURCES/GMB_References; 04_GMB/01_Posting_Guidelines,Does not prove GBP setup/publication.
SRC-008,NRS project audit report,Governance/audit report,NRS_Hospital_Project_Audit_Report_2026-04-27_to_2026-07-13.md / .docx,File Library reference,2026-07-13,"Recoverable-history audit, timeline, deliverables, contradictions, task status and completion gates.",FILE_LIBRARY_FULL_TEXT/SNIPPETS,INTERNAL_AUDIT,00_SOURCES/Research; 07_REPORTS,Exact bytes are not mounted; pointer preserved.
SRC-009,NRS task dashboard record,Planning artifact,client-tasks-dashboard.html,File Library reference,2026-05-18,Seven NRS tasks recorded as Not Started; review growth marked high priority.,FILE_LIBRARY_SNIPPET,HISTORICAL_TASK_SNAPSHOT,00_SOURCES/Original_Uploads,Multi-client file; only NRS rows extracted.
SRC-010,Doctor photograph,Photo,C5737T01.JPG,File Library reference,2026-04-27,Doctor seated in consultation-room setting.,FILE_LIBRARY_METADATA,RAW,02_ASSETS/04_Doctor_Founder_Team_Photos,Identity and usage permission unproven.
SRC-011,Dr. Survase profile screenshot,Profile reference,Screenshot 2026-04-27 at 6.32.38 PM.png,File Library reference,2026-04-27,"Public-profile evidence showing 29 years overall and 22 years specialist, conflicting with 17-year copy.",FILE_LIBRARY_OCR/METADATA,UNVERIFIED_CURRENT,06_CLIENT_DETAILS,Confirm from CV/registration.
SRC-012,NRS Wellness carousel master,Creative master,Improve your health with Dr. Pranav.png,File Library reference,2026-05-20,"Seven-slide work-stress, sleep, burnout, weight and psychology carousel introducing Dr. Pranav Kladate.",FILE_LIBRARY_MULTIMODAL_DESCRIPTION,DRAFT; no approval/publication proof,03_CONTENT/05_Carousel_Content; 05_CAMPAIGNS,"Unsupported 25% claim, unverified relationship, legacy phone."
SRC-013,NRS Hospital nine-tile board,Creative master,Medical awareness through cohesive design.png,File Library reference,2026-05-20,"Nine social tiles on obesity, IT lifestyle, occasions, nurses, heat, breathlessness and night-shift wellness.",FILE_LIBRARY_MULTIMODAL_DESCRIPTION,DRAFT; no approval/publication proof,03_CONTENT/06_Static_Post_Content; 05_CAMPAIGNS,"Legacy NAP, mixed languages and later-banned visual/copy patterns."
