Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-01,Strategic Research,Markdown doc,Gore_Hospital_00_Strategic_Research.md,Project knowledge (/mnt/project),Prior to 24 May 2026,"Full business snapshot, market/competitor analysis, SEO research, 5 ICPs, buyer psychology, offer positioning, content strategy, ad angles, positioning gaps",High — sourced from live site fetch + PM input,CONFIRMED,00_SOURCES/Original_Uploads + 01_DESIGN + 06_CLIENT_DETAILS,"1543 lines; flags 15+ unverified items inline with warning icons"
SRC-02,Design Instructions,Markdown doc,gore_hospital_01_design_instructions.md,Project knowledge (/mnt/project),Prior to 24 May 2026,"Full visual system rebuilt from the actual logo: colour system, typography, layout, motifs, photography direction, iconography, CTA system, footer, compliance",High — internal deliverable,CONFIRMED,01_DESIGN,"Replaces an earlier generic-blue predecessor file; predecessor is NOT retrievable as a file"
SRC-03,AI Prompting Guide,Markdown doc,Gore_Hospital_01_AI_Prompting_Guide.md,Project knowledge (/mnt/project),Prior to 24 May 2026,"Master prompt templates, brand mode add-ons, ICP variants, 13 style add-ons, 7 ready-to-use example prompts, tool-specific notes (Midjourney/Flux/Ideogram/etc.), QA checklist",High — internal deliverable,CONFIRMED,01_DESIGN,"Pairs with SRC-02"
SRC-04,SEO Foundation,Markdown/data doc,Gore_Hospital_02_SEO_Foundation.md,Project knowledge (/mnt/project),24 May 2026 (data window ending 24 May 2026),"90-day data-backed SEO baseline from Windsor.ai (GSC+GA4+GBP reviews): performance baseline, keyword inventory, page CTR failures, blog engagement collapse, GMB/local-pack findings, 30/60/90-day action plan, 15 data-quality issues",High — live platform data via Windsor.ai connector,CONFIRMED,07_REPORTS/05_SEO,"GBP performance metrics blocked (403) during this pull — flagged as a gap, not resolved as of source date"
SRC-05,Primary hospital logo,Image (JPEG),gorehospitallogo.jpeg,Project knowledge (/mnt/project),Undated,"Full-colour GMH monogram logo: maroon hexagon, orange human figure, green leaf, peacock feather, red dot, blue/gold arcs",High — official asset,CONFIRMED,00_SOURCES/Original_Uploads + 02_ASSETS/01_Logos,"Source-of-truth for the entire colour system"
SRC-06,Instagram logo variant,Image (JPG),gore_hospital_logo_for_instagram.jpg,Project knowledge (/mnt/project),Undated,"Gold circular emblem variant with 'GORE MULTISPECIALITY HOSPITAL / SAINAGAR MAMURDI PUNE' text ring and open-hands motif",High — official asset,CONFIRMED,00_SOURCES/Original_Uploads + 02_ASSETS/01_Logos,"Used as the base for at least one AI-composited creative (10 Jul 2026)"
SRC-07,Gore Hospital project progress report (24-25 May),Past conversation transcript,N/A (chat),claude.ai conversation 50677bf0,25 May 2026,"Full Notion workspace inventory + cloud-vs-Notion gap audit + P0 action list",Medium-High — Claude-generated audit from live Notion fetch at the time,CONFIRMED (as historical record),00_SOURCES + throughout,"Notion page IDs and blank-page findings are a point-in-time snapshot from 25 May 2026, may be stale"
SRC-08,Content calendar for Gore client,Past conversation transcript,N/A (chat) / Gore_Hospital_Content_Calendar_June2026.xlsx,claude.ai conversation 2a506d0a,3 June 2026,"Full June 2026 content calendar: 15 posts (10 static/3 reels/2 carousels), dates, angles, hooks, caption directions, CTAs",High — direct transcript of the deliverable's content,CONFIRMED (content); underlying .xlsx file NOT retrievable in this session,03_CONTENT/09_Content_Calendar,"Status per post recorded as 'Draft' at time of creation — publication status unconfirmed"
SRC-09,Google Business Profile audit framework,Past conversation transcript,N/A (chat) / gore_hospital_gmb_audit.jsx + gore_notion_builder.jsx,claude.ai conversation 1ac765b1,29 June 2026,"17-point GBP audit (score 61/100), top-10 actions, 7-day sprint, impact/effort matrix, 30/60/90 roadmap",High — direct transcript of the deliverable's content,CONFIRMED (content); underlying .jsx artifacts NOT retrievable in this session,04_GMB + 07_REPORTS/06_GMB,"Whether this was actually pushed into Notion via the companion publisher tool is unconfirmed"
SRC-10,Gore Hospital social media performance report,Past conversation transcript,N/A (chat) / Gore_Hospital_SMO_Report_June2026.docx,claude.ai conversation 68c13d7b,1 July 2026,"June 2026 SMO report: 100% content delivery, platform snapshot, top content, 98-99% organic reach decline analysis, July recommendations",High — direct transcript of the deliverable's content,CONFIRMED (content); underlying .docx file NOT retrievable in this session,07_REPORTS/01_Social_Media + 08_Monthly_Reports,"Reach decline is analysed as platform/algorithm-side, not a content-quality problem"
