GMB ID,Title,Content type,Language,Post type,Campaign,Status,Approval source,Published date,Original source,Destination folder,CTA,Notes
GMB-PST-001,Meet Dr. Dattesh Gore,GBP post copy,EN,Update,Founder_Led_Trust,DRAFT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Book a consultation,Credentials/title/schedule and consent must be reconfirmed.
GMB-PST-002,When child fever needs medical attention,GBP post copy,EN,Update,Paediatric_Fever_and_Child_Health,DRAFT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Contact the paediatric team,Clinical review required; do not imply 24x7 paediatrician unless confirmed.
GMB-PST-003,Save the hospital emergency contact,GBP post copy,EN,Update,24x7_Emergency_and_Trauma,PENDING_CLIENT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Save the emergency number,Phone and 24x7 operational scope not yet signed off.
GMB-PST-004,Knee pain: when to consult,GBP post copy,EN,Update,Orthopaedic_Joint_Pain,DRAFT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Schedule an orthopaedic consultation,Clinician and schedule approval required.
GMB-PST-005,Cashless admission: documents to keep ready,GBP post copy,EN,Update,Cashless_Insurance_Education,PENDING_CLIENT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Contact the insurance desk,TPA list and insurance-desk facts missing.
GMB-PST-006,Monsoon health checklist for PCMC families,GBP post copy,EN,Update,Monsoon_Dengue_and_Seasonal_Health,DRAFT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Consult a doctor when symptoms persist or worsen,Clinical review required; no outbreak claim without public-health source.
GMB-PST-007,मराठीतून आरोग्य मार्गदर्शन,GBP post copy,MR/EN,Update,Marathi_Local_Health,PENDING_CLIENT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,अपॉइंटमेंटसाठी रुग्णालयाशी संपर्क साधा,Marathi must be reviewed by a native speaker; language availability unverified.
GMB-PST-008,Real facility photo update,GBP post copy,EN,Update,Founder_Led_Trust,PENDING_CLIENT,None found,,"Handover synthesis from strategy, SEO, GMB guideline and competitive analysis",04_GMB/03_GMB_Post_Copy,Get directions,"Requires current real photo, map pin, parking/access facts and privacy check."
GMB-QA-001,Is Gore Multispeciality Hospital open 24 hours?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-002,What is the emergency phone number?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-003,Where is the hospital located?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-004,Does the hospital accept cashless insurance?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-005,How can I book an appointment?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-006,Which doctors consult at Gore Hospital?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-007,Is paediatric care available?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-008,Is maternity or gynaecology care available?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-009,Does the hospital have ICU and ambulance services?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-010,Are CT and MRI scans available in the hospital?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-011,Is dialysis available?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-012,Do doctors speak Marathi or Hindi?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-013,What are the OPD timings?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-014,Is parking available?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-QA-015,How do I get directions from Ravet or Kiwale?,GBP Q&A,EN,Q&A,GBP_Operations,PENDING_CLIENT,None found,,Handover fact-gap synthesis,04_GMB/07_QA_Content,Contact/verify as applicable,Fact-gated answer; replace with verified response.
GMB-GDL-001,Gore Hospital GBP Posting Guide,Guideline,EN,Guideline,GBP_Operations,DRAFT,None found,,GMB Post and Image Guidelines + Gore brand/compliance sources,04_GMB/01_Posting_Guidelines,,Operational guide.
GMB-RSP-001,Review response templates,Review response templates,EN,Review,GBP_Operations,DRAFT,None found,,Handover synthesis,04_GMB/06_Review_Responses,Private escalation when needed,Must be personalised.
GMB-PERF-001,GBP performance access and baseline,Performance note,EN,Performance,GBP_Operations,RAW,N/A,,Gore_Hospital_02_SEO_Foundation.md,04_GMB/08_GMB_Performance,Re-authorise GBP connector,Historical baseline; most performance metrics blocked.
