Archive ID,Asset ID,Current filename,Status,Archive category,Reason,Original source,Notes
ARC-001,AST-002,gore_hospital_design_instructions.md,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Design document / Legacy generic-blue system. Iteration/decision: Initial visual rules. Audit disposition: Deprecated by 24 May revised file. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-002,AST-003,gore_hospital_prompting_style_guideline.md,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Prompt document / Legacy generic-blue prompts. Iteration/decision: Initial creative prompt system. Audit disposition: Deprecated by 24 May revised guide. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-003,AST-004,Promoting women’s health: new PMOS update.png,ARCHIVED,02_Rejected_Assets,Type/topic: Creative brief/asset / Women’s health. Iteration/decision: Requested “PCOS name changed to PMOS”. Audit disposition: Do not publish without authoritative medical verification. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-004,AST-005,PCOS becomes PMOS: Women’s Health Update.png,ARCHIVED,06_Unverified_Material,Type/topic: Revision / Women’s health. Iteration/decision: Made “Women’s Health Update” larger; removed consultation CTA. Audit disposition: High-risk claim; archive pending verification. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-005,AST-006,Posture and joint care for desk jobs.png,DRAFT,02_Rejected_Assets,Type/topic: Creative brief/asset / Orthopaedics / desk workers. Iteration/decision: Four posture and movement tips. Audit disposition: Rebuild under current brand if retained. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-006,AST-007,PCOS to PMOS: Women’s Health Update.png,ARCHIVED,06_Unverified_Material,Type/topic: Revision / Women’s health. Iteration/decision: Requested a girl resembling reference image. Audit disposition: High-risk claim and likeness/reference governance review. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-007,AST-008,Thyroid health awareness campaign.png,DRAFT,06_Unverified_Material,"Type/topic: Creative brief / Endocrinology. Iteration/decision: Symptoms, “1 in 10 Indians”, blood-test CTA. Audit disposition: Statistic source required. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-008,AST-009,Thyroid awareness for a healthy life.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Endocrinology. Iteration/decision: Gold/white layout with symptoms and test CTA. Audit disposition: Wrong/uncertain address text detected; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-009,AST-010,Thyroid health awareness and care guide.png,DRAFT,02_Rejected_Assets,Type/topic: Revision instruction / Endocrinology. Iteration/decision: Remove Gudi and butterfly; simplify single address box. Audit disposition: Revision decision retained. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-010,AST-011,Is your thyroid silently affecting health?.png,DRAFT,06_Unverified_Material,Type/topic: Creative brief/asset / Endocrinology. Iteration/decision: Simplified static post request. Audit disposition: Rebuild under current brand + source claim. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-011,AST-012,Thyroid health awareness campaign.png,DRAFT,02_Rejected_Assets,Type/topic: Revision instruction / Endocrinology. Iteration/decision: Add canonical-looking address in gold box. Audit disposition: Contact/address must be checked against signed fact sheet. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-012,AST-013,Your trusted family doctor awaits.png,DRAFT,02_Rejected_Assets,Type/topic: Creative brief/asset / Family physician. Iteration/decision: Dr. Dattesh Gore and continuity-of-care benefits. Audit disposition: Strong strategic fit; use official logo/contact. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-013,AST-014,Trusted care for your family.png,DRAFT,02_Rejected_Assets,Type/topic: Revision instruction / Family physician. Iteration/decision: Remove doctor photo and use a different visual. Audit disposition: Historical iteration. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-014,AST-015,गोरे मल्टीस्पेशालिटी हॉस्पिटल प्रचार पोस्टर.png,ARCHIVED,04_Duplicate_Files,Type/topic: Four-variant poster sheet / Marathi Mega Surgery Camp 2026. Iteration/decision: 15–31 May; 30% surgery and 90% radiology/lab discount claims. Audit disposition: Critical proof/compliance review; old phones/logo. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-015,AST-016,Act FAST - Recognise stroke signs.png,DRAFT,02_Rejected_Assets,"Type/topic: Generated creative / Stroke awareness. Iteration/decision: FAST test, emergency CTA, Gudi/legacy footer elements. Audit disposition: Rebuild current brand; source stats; correct footer. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-016,AST-017,Act FAST: Know stroke signs.png,DRAFT,02_Rejected_Assets,Type/topic: Revision / Stroke awareness. Iteration/decision: Cleaner FAST layout and emergency number emphasis. Audit disposition: Rebuild current brand. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-017,AST-018,Stroke awareness: FAST and act now.png,DRAFT,06_Unverified_Material,Type/topic: Revision / Stroke awareness. Iteration/decision: Expanded symptoms and “every minute matters” line. Audit disposition: Clinical/source review. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-018,AST-019,"A healthy smile, healthy you.png",SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Dental / family. Iteration/decision: Family photo and five tips. Audit disposition: Legacy logo/phones; current-template rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-019,AST-020,"Healthy smile, healthy life tips.png",DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Dental. Iteration/decision: 3D tooth/shield/gold visual. Audit disposition: Off-brand 3D; contact correction required. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-020,AST-021,"A healthy smile, a healthy you.png",SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Dental. Iteration/decision: Dr. Sanika Gawade named; five tips. Audit disposition: Doctor name useful; legacy footer/phones. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-021,AST-022,"Healthy smile, healthy you!.png",ARCHIVED,02_Rejected_Assets,Type/topic: Revision / Dental. Iteration/decision: Cartoon dental mascots and lifestyle CTA. Audit disposition: Cartoon-heavy; archive or rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-022,AST-023,Know your emergency signs and care.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Emergency. Iteration/decision: Seven emergency signs; ambulance/hospital scene. Audit disposition: Fear/urgency and contact/footer QA required. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-023,AST-024,Child vaccination at Gore Hospital.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Photo-led teal/gold schedule reminder. Audit disposition: Wrong website .in and noncanonical logo; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-024,AST-025,Stay on track with vaccinations.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Photo-led vaccine schedule reminder. Audit disposition: Teal/gold legacy palette; contact/website QA. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-025,AST-026,Stay on track with your child’s vaccines.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Cartoon/anime child and clinician. Audit disposition: Conflicts with photorealistic direction. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-026,AST-027,Stay on track with vaccines.png,DRAFT,04_Duplicate_Files,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Anime/cartoon variant. Audit disposition: Do not use as primary brand creative. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-027,AST-028,Stay on track with vaccinations.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Gold cartoon variant. Audit disposition: Legacy/off-brand; archive. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-028,AST-030,5 heart-healthy habits to adopt.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Creative sheet / Cardiology. Iteration/decision: Multi-panel brochure/carousel concept. Audit disposition: Legacy emblem/phones; likely too dense. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-029,AST-031,gore_heart_habits_cover.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated cover / Cardiology. Iteration/decision: Heart/stethoscope cover. Audit disposition: Legacy contact details; source claim. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-030,AST-032,gore_heart_habits_cover.png (second file),DRAFT,02_Rejected_Assets,Type/topic: Generated cover revision / Cardiology. Iteration/decision: Alternate cover/slide composite. Audit disposition: Treat as iteration; approval unclear. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-031,AST-033,5 daily habits to protect your heart.png variants,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative series / Cardiology. Iteration/decision: Cover and habit-panel iterations. Audit disposition: Archive duplicates; rebuild one approved series. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-032,AST-034,Heart-healthy habits for a stronger you.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Cardiology. Iteration/decision: Alternate carousel treatment. Audit disposition: Approval/status unknown. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-033,AST-035,gore_carousel_slide_1.png,DRAFT,02_Rejected_Assets,Type/topic: Carousel slide / Cardiology. Iteration/decision: Cover: five daily habits. Audit disposition: Retain concept; rebrand and source. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-034,AST-036,gore_carousel_slide_2.png,DRAFT,06_Unverified_Material,Type/topic: Carousel slide / Cardiology. Iteration/decision: Walk 30 minutes daily. Audit disposition: Risk reduction claim needs source. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-035,AST-037,gore_carousel_slide_4.png,DRAFT,06_Unverified_Material,Type/topic: Carousel slide / Cardiology. Iteration/decision: Sleep 7–8 hours. Audit disposition: Risk claim needs source. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-036,AST-038,gore_carousel_slide_5.png,DRAFT,02_Rejected_Assets,Type/topic: Carousel slide / Cardiology. Iteration/decision: Stress management. Audit disposition: Contact text needs rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-037,AST-039,gore_carousel_slide_6.png,DRAFT,02_Rejected_Assets,Type/topic: Carousel slide (limited metadata) / Cardiology. Iteration/decision: Annual heart check-up stage. Audit disposition: Archive evidence; confirm file before reuse. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-038,AST-040,Annual heart check-ups flyer design.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,"Type/topic: Generated creative / Cardiology. Iteration/decision: Doctor/patient, checklist and early detection. Audit disposition: Legacy logo/phones; source/claim QA. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
