Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-01,Client State Tracker (latest),Markdown tracker,client_state__1_.md,/mnt/project/,2026-06-25,Master tracker: onboarding + June cycle status; all client facts; open actions,CONFIRMED,CURRENT,00_SOURCES/Original_Uploads,"Most recent of two client_state versions; supersedes SRC-02"
SRC-02,Client State Tracker (earlier),Markdown tracker,client_state.md,/mnt/project/,2026-06 (early),Same tracker at an earlier point (pre-Step-07 / pre-M6),CONFIRMED,SUPERSEDED,99_ARCHIVE/03_Superseded_Content,"Kept for chronology only; use SRC-01 for current facts"
SRC-03,Research (Onboarding Step 01),Markdown research doc,01_research.md,/mnt/project/,2026-06,"Market/competitor/ICP/keyword/buyer-psychology research, 16 sections",CONFIRMED,CURRENT,00_SOURCES/Research,Live SERP + Windsor.ai + Brand Brain inputs
SRC-04,Design Instructions (current),Markdown design doc,02_design_instructions.md,/mnt/project/,2026-06,"Full current design system: colours, type, layout, photography, compliance",CONFIRMED,CURRENT,00_SOURCES/Design_References,Blue/Green palette matching actual logo
SRC-05,Prompting Style Guideline (current),Markdown AI-prompt doc,02b_prompting_style_guideline.md,/mnt/project/,2026-06,"AI image prompt templates, negative prompts, 5 full worked examples",CONFIRMED,CURRENT,00_SOURCES/Prompting_Guides,Companion to SRC-04
SRC-06,Site Extraction (manual/partial),Markdown audit doc,03_site_extraction.md,/mnt/project/,2026-06,"Early manual site audit, most fields unknown/placeholder",CONFIRMED,SUPERSEDED,99_ARCHIVE/03_Superseded_Content,Superseded by SRC-07 (full Firecrawl crawl)
SRC-07,Site Extraction (complete),Markdown audit doc,03_site_extraction_complete.md,/mnt/project/,2026-06-25,"Full Firecrawl crawl of 13 live pages incl. full body text, all issues found",CONFIRMED,CURRENT,00_SOURCES/Research,Most detailed and current site audit
SRC-08,SEO Foundation v2.0,Markdown SEO doc,04_seo_foundation.md,/mnt/project/,2026-05,"Full keyword map, schema templates, 30 blog topics, 90-day SEO plan",CONFIRMED,CURRENT,00_SOURCES/Research,Live SERP-verified May 2026
SRC-09,SEO Foundation v2.0 (duplicate copy),Markdown SEO doc,prime_seo_foundation_v2.md,/mnt/project/,2026-05,Byte-identical body content to SRC-08 minus 6-line header wrapper,CONFIRMED,DUPLICATE,99_ARCHIVE/04_Duplicate_Files,Confirmed via diff — same document as SRC-08
SRC-10,GMB Foundation v1.0,Markdown GMB doc,05_gmb_foundation.md,/mnt/project/,2026-05-20,"Live Windsor.ai GMB pull, 12 post templates, 15 Q&A pairs, review templates",CONFIRMED,CURRENT,00_SOURCES/GMB_References,Live data pull May 20 2026
