Asset ID,Asset name,File type,Campaign,Platform,Dimensions,Language,Status,Approval evidence,Original source,Rights or consent,Destination folder,Notes
AST-01,Primary GMH monogram logo,JPEG,N/A - brand asset,All,Not specified (raster),N/A,APPROVED,Official client-provided asset,Project knowledge upload,Owned by client,02_ASSETS/01_Logos,"Source-of-truth for entire colour system; no vector/SVG master found"
AST-02,Instagram gold-emblem logo variant,JPG,N/A - brand asset,Instagram primarily,Not specified (raster),English,APPROVED,Official client-provided asset,Project knowledge upload,Owned by client,02_ASSETS/01_Logos,"Includes full business name + Sainagar/Mamurdi/Pune text ring"
AST-03,Transparent-background logo (derived),PNG,N/A - working asset,All,Matches source,N/A,DRAFT,Internally derived from AST-02 via white-background removal,Session output (10 Jul 2026),Derived from owned asset,NOT RETRIEVABLE in this session,"Produced in a prior session for creative compositing; file not recoverable here — regenerate from AST-02 if needed (simple white-background-to-alpha conversion)"
AST-04,Joint-pain awareness static post,PNG,None named,Instagram (intended),1080x1080,English,DRAFT / possibly APPROVED,Internal QA pass completed (one footer-alignment correction made); no client approval record found,Session output (10 Jul 2026),Original illustration + real brand assets composited,NOT RETRIEVABLE in this session,"First output of the new AI-creative pipeline (Higgsfield-generated background + real logo/footer composited via HTML/Playwright); described in conversation transcript only"
AST-05,June 2026 content calendar workbook,XLSX,June 2026 monthly content,Instagram + Facebook,N/A,English,DRAFT (per-post status),Not confirmed approved by client as a whole document,Session output (3 Jun 2026),Internal deliverable,NOT RETRIEVABLE in this session,"15 rows: 10 static + 3 reels + 2 carousels; full content reconstructed as text in 03_CONTENT/09_Content_Calendar/"
AST-06,17-point GBP audit (interactive React artifact),JSX,GMB optimisation,N/A (internal tool),N/A,English,DELIVERED,Delivered to PM,Session output (29 Jun 2026),Internal deliverable,NOT RETRIEVABLE in this session,"Companion 'Notion Publisher' JSX tool also produced same date, same retrieval status"
AST-07,June 2026 SMO performance report,DOCX,June 2026 social reporting,Facebook + Instagram,N/A,English,DELIVERED,Delivered to PM,Session output (1 Jul 2026),Internal deliverable,NOT RETRIEVABLE in this session,"Full content reconstructed in 07_REPORTS/01_Social_Media/ and 08_Monthly_Reports/"
AST-08,Gore Hospital progress report (25 May 2026),MD,Internal audit,N/A,N/A,English,DELIVERED,Delivered to PM,Session output (25 May 2026),Internal deliverable,NOT RETRIEVABLE in this session,"Full content reconstructed throughout this handover, especially 00_SOURCES and 07_REPORTS/08_Monthly_Reports/"
AST-09,Doctor / founder / team photos,N/A,N/A,N/A,N/A,N/A,MISSING,N/A,N/A,N/A,02_ASSETS/04_Doctor_Founder_Team_Photos (empty),"No individual doctor or founder photo files found in any source reviewed — only text credential references. This is a confirmed gap for founder-led and doctor-branding content."
AST-10,Clinic / hospital interior or exterior photos,N/A,N/A,N/A,N/A,N/A,MISSING,N/A,N/A,N/A,02_ASSETS/05_Clinic_Office_Product_Photos (empty),"No real facility photos found — Design Instructions call for these but none are on file."
AST-11,Raw video footage,N/A,N/A,N/A,N/A,N/A,MISSING,N/A,N/A,N/A,02_ASSETS/06_Raw_Videos (empty),"No raw video assets found in any source reviewed."
