Conflict ID,Fact / issue,Version A,Source A,Version B,Source B,Risk,Recommended action,Person who must confirm,Status
C-001,Canonical public phone / WhatsApp number,GBP primary phone: 074474 41426,"GMB Foundation live pull, May 2026",+91 94226 68921 used as website/WhatsApp number,"SEO Foundation, GMB Foundation, website references","High — NAP inconsistency, lost enquiries, tracking errors, inconsistent print/social assets.",Leadership must select the canonical appointment/call/WhatsApp configuration; update every owned and third-party surface.,Dr. Bhalerao / Operations / Marketing,OPEN
C-002,Business category and advertised scope,Focused minimally invasive surgical centre; explicitly not multispecialty,Master Brand Brain,"Multi-speciality hospital / emergency, OPD, ICU, broad hospital messaging",Logo-palette design instructions and some public/creative copy,"High — category confusion, inaccurate advertising, diluted positioning.","Confirm legal name, operational licence/category and exact service list that may be advertised.",Hospital leadership / Legal / Clinical lead,OPEN
C-003,Active brand palette,Actual-logo Prime Blue/Green/White system,Logo-palette-updated design and prompting guides,Deep blue/teal legacy and deep-teal/off-white/sage editorial system,Legacy design guide and Master Brand Brain visual section,High — inconsistent public identity and accidental reuse of deprecated palettes.,Approve Brand System v2.0: logo palette governs; retain editorial restraint principles where compatible.,Client approver / Brand lead,OPEN
C-004,Typography direction,Poppins/Montserrat/Inter sans-serif system,Logo-palette-updated design guide,Modern serif headlines plus geometric sans body,Master Brand Brain visual psychology,Medium — inconsistent templates and website/social mismatch.,Choose one cross-channel typography system and list permitted substitutions.,Brand lead / Client approver,OPEN
C-005,Visual composition direction,"Rounded cards, blue footer wave, icons, brighter social/GMB templates",Logo-palette-updated design guide,"High-restraint editorial grid, minimal cards, magazine-like composition",Master Brand Brain,"Medium — both can work, but ungoverned combination produces stylistic drift.",Define channel split: editorial website/authority content versus structured utility templates for GMB/social.,Creative director / Client approver,OPEN
C-006,Tone vocabulary and generic slogans,"Bans 'compassionate', 'Your health is our priority', 'world-class', 'best', etc.",Master Brand Brain,Updated design guide/examples use 'compassionate' and 'Your Health. Our Priority.',Logo-palette design/prompting guides,High — brand voice inconsistency and compliance risk from superlatives.,Approve a single words-to-use/ban list; remove banned clichés from active templates.,Brand lead / Clinical reviewer,OPEN
C-007,Dr. Bhalerao years of experience,"'10+ years' appears in website, SEO/prompt examples and June flyer","SEO Foundation, prompting examples, flyer references",A May 25 revision explicitly removed the '10 years experience' line,Comprehensive project audit conversation reconstruction,High — inconsistent credential claim and possible professional-advertising issue.,Verify exact start date and approved wording; update claim register before reuse.,Dr. Bhalerao / Compliance,OPEN
C-008,Doctor qualifications and biography,"MBBS, MS General Surgery, FMAS; references to MUHS",GMB/SEO/brand documents,Public doctor page reportedly references both MUHS and B.J. Medical College and another hospital affiliation,Comprehensive project audit public-site check,High — confusing or inaccurate biography.,"Obtain signed, canonical doctor bio with degrees, institutions, registrations, experience and current affiliations.",Dr. Bhalerao / Hospital administration,OPEN
C-009,Operating hours,Mon–Sat 9:00 AM–9:00 PM; Sunday closed,GMB Foundation live pull,Public contact page 5:00–9:00 PM Mon–Sat; Practo reportedly 11:00 AM–5:00 PM Mon–Sun,Comprehensive project audit,High — patient inconvenience and local-search trust damage.,"Lock official hospital, OPD and doctor consultation hours separately; update all listings.",Operations / Front desk,OPEN
C-010,Emergency/ICU capability and availability,Some updated design/GMB material presents emergency/ICU/hospital facilities,Logo-palette design guide and Q&A drafts,Focused surgical-centre positioning and Sunday closure do not define 24/7 emergency operations,Master Brand Brain and GMB hours,High — potentially unsafe patient expectation.,"Confirm exact emergency hours, ICU level, staffing and services; never imply 24/7 until verified.",Clinical operations / Compliance,OPEN
