Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
CNT001,3 Signs Your Child Is Ready for Preschool,Preschool readiness,Reel script,English,Instagram/Facebook,CAMP006 — Preschool Readiness,DRAFT,None,,"Prior interaction, 2026-05-13; 13 July project audit",03_CONTENT/01_Scripts/2026-05-13_Millennium-Woods_Preschool-Readiness_Reel-Script_English_Instagram_DRAFT_v01.md,Six-scene structure recovered; exact missing voiceover not reconstructed.
CNT002,5 Reasons Why You Should Enroll Your Child at Millennium Woods Preschool,Admissions,Reel script,English,Instagram/Facebook,CAMP001 — Admissions and School Tours,INCOMPLETE,None,,"Prior interaction, 2026-05-13; 13 July project audit",03_CONTENT/01_Scripts/2026-05-13_Millennium-Woods_Five-Reasons-to-Enroll_Reel-Script_English_Instagram_INCOMPLETE_v01.md,Original output confirmed; complete script unavailable.
CNT003,"Watch Your Child Speak, Perform & Shine",Confidence development,Static/banner copy,English,Social / website adaptation,CAMP004 — Confidence Development,DRAFT,None,,"Prior interaction, 2026-05-13; 13 July project audit",03_CONTENT/06_Static_Post_Content/2026-05-13_Millennium-Woods_Confidence-Development_Banner-Copy_English_Social_DRAFT_v01.md,Exact copy preserved; transformation and scarcity wording require review.
CNT004,A Day at Millennium Woods Preschool,School-day experience,Carousel,English,Instagram,CAMP005 — A Day at Millennium Woods,DRAFT — PUBLICATION HOLD,None,,"File Library: Millennium_Woods_Carousel_Content.docx, 2026-06-01",03_CONTENT/05_Carousel_Content/2026-06-01_Millennium-Woods_A-Day-at-School_Carousel-Copy_English_Instagram_DRAFT_v01.md,Complete seven-slide copy/captions/photo direction preserved; operational claims conflict.
CNT005,Tiny Steps Today. Big Dreams Tomorrow.,Admissions,Social caption,English,Instagram/Facebook,CAMP001 — Admissions and School Tours,DRAFT,None,,"Retrieved prior interaction, 2026-05-25",03_CONTENT/02_Captions/RECOVERED_SOCIAL_CAPTIONS.md,"Includes 10-hashtag block; program, session and safety facts unverified."
CNT006,"Safe, Happy, Confident and Free to Grow",Parent trust,Social caption,English,Instagram/Facebook,CAMP003 — Parent Trust and Safety,DRAFT,None,,"Retrieved prior interaction, 2026-07-01",03_CONTENT/02_Captions/RECOVERED_SOCIAL_CAPTIONS.md,Strong promise and safety wording require approval.
CNT007,The First Years Build the Person Your Child Becomes,Early development,Social caption,English,Instagram/Facebook,CAMP004 — Confidence Development,DRAFT,None,,"Retrieved prior interaction, 2026-07-01",03_CONTENT/02_Captions/RECOVERED_SOCIAL_CAPTIONS.md,Developmental outcome wording and session require approval.
CNT008,30-Day Social Media Calendar,Monthly planning,Content calendar,English,Instagram/Facebook/WhatsApp Status,Multi-campaign,INCOMPLETE RECORD,None,,"Prior interaction, 2026-05-13; exact entries unavailable",03_CONTENT/09_Content_Calendar/CONTENT_CALENDAR_RECOVERY_AND_REBUILD.md,Strategy and pillars recovered; 30 day-by-day entries not accessible.
IDEA001,3 Signs Your Child Is Ready for Preschool,School readiness,Content idea — Reels,English,Instagram/Facebook,CAMP006 — Preschool Readiness,USED,None,,"Prior interaction, 2026-05-13",03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Exact six-scene reel recovered; not approved or published.
IDEA002,5 Reasons Why You Should Enroll Your Child at Millennium Woods Preschool,Admissions,Content idea — Reels,English,Instagram/Facebook,CAMP001 — Admissions and School Tours,USED,None,,"Prior interaction, 2026-05-13",03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Title/delivery confirmed; complete script unavailable.
IDEA003,Your Child's First School Should Feel Like Home,Parent trust,Content idea — Reels,English,Instagram/Facebook,CAMP003 — Parent Trust and Safety,UNUSED,None,,Recovered social strategy,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Explicit reel direction.
IDEA004,What Looks Like Play Is Actually Learning,Play-based learning,Content idea — Reels,English,Instagram/Facebook,CAMP007 — Activity-Based Learning,UNUSED,None,,Recovered social strategy,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Explicit reel direction.
IDEA005,Day Care That Feels Like Home,Day care,Content idea — Reels,English,Instagram/Facebook,CAMP002 — Day Care for Working Parents,DRAFT,None,,Strategic Research ad angle,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Location/travel wording needs canonical location approval.
IDEA006,"Watch Your Child Speak, Perform & Shine",Confidence,Content idea — Reels,English,Instagram/Facebook,CAMP004 — Confidence Development,USED,None,,Confidence banner and legacy prompt example,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Avoid guaranteed transformation language.
IDEA007,Future-Ready Enrichment in Action,Enrichment,Content idea — Reels,English,Instagram/Facebook,CAMP008 — Future-Ready Enrichment,UNUSED,None,,Strategic Research / website programs,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Program delivery must be confirmed.
IDEA008,"A Warm Welcome, Every Morning",Belonging,Content idea — Reels,English,Instagram/Facebook,CAMP005 — A Day at Millennium Woods,DRAFT,None,,June carousel slide 2,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,“Every child greeted by name” requires confirmation.
