Conflict,Version A,Source A,Version B,Source B,Risk,Recommended action,Person who must confirm
Primary phone number,+91 73079 61962,SRC-006 website/meta,+91 73098 61962; +91 70303 61962; +91 73030 61962; +91 73039 61962,SRC-012/013/015/016,"HIGH — failed calls, NAP dilution and trust","Create client-signed phone map for primary, emergency, appointment and WhatsApp; live-test.",Client owner / administration
Address and floor/wing,"1st Floor, Solitaire Business Hub, opposite Hotel Ambiance/Ambience, Kalewadi Phata, Wakad, Pune 411057",SRC-002/SRC-006,"1st & 4th Floor, 50 ft. A Wing; one footer says Hinjewadi",SRC-013/SRC-015,HIGH — directions/local SEO,"Verify against registration, signage, lease and GBP; lock canonical NAP.",Administration
Landmark spelling,Hotel Ambiance,Strategic/public map interpretation,Hotel Ambience,Website/contact/creatives,MEDIUM,Confirm official spelling and standardise.,Administration / listing owner
Business name,NRS Hospital,Logo/project,NRS Multi Speciality Hospital / NRS Multispeciality Hospital,Website/About,MEDIUM,"Define legal, trade and display names.",Owner/legal administrator
Bed count,25 inpatient beds,Older site/public listings/research,30 beds,Newer homepage,HIGH — factual advertising,Confirm from registration/operations and standardise.,Medical superintendent
ICU beds,8 ICU beds,Research/public listings,Not consistently stated,Newer site,MEDIUM,Confirm operational count and scope.,Medical superintendent
Doctor count,Approximately 22,HexaHealth reference,No current roster,Site/project,MEDIUM,Obtain dated full-time/visiting roster.,HR/medical administration
Dr. Survase experience,17 years,Website/research/design,29 years overall / 22 specialist,SRC-011,HIGH — credential claim,Confirm with CV/registration and approve exact wording/as-of date.,Dr. Survase / administration
Dr. Survase scope/designation,"MD Medicine, Consultant Physician & Intensivist; diabetes, hypertension, heart, thyroid, COPD focus",Website/research,Diabetes & Obesity Specialist,Legacy creatives,HIGH,"Approve exact degree, designation and permitted specialty wording.",Dr. Survase / clinical reviewer
Nearly 1 lakh patients,Website claim,Founder block,No method/period/subject/evidence,None recovered,HIGH,"Substantiate and define doctor-vs-hospital total, or remove.",Dr. Survase / administration
Established year,2018,Public-listing research,Not confirmed officially,Site extraction,MEDIUM,Confirm with registration/incorporation record.,Owner/administration
Accreditation,No NABH/NABL/ISO publicly confirmed,Research/site extraction,Status unknown,No certificates,HIGH if implied,"Collect certificate, scope and validity; otherwise make no claim.",Quality officer
Cashless/TPA/public schemes,Site says expenses may be claimed/admin can advise,Contact FAQ,No current panel or Ayushman/CGHS evidence,None supplied,HIGH,Obtain signed current list and insurer-approval disclaimer.,Billing/insurance desk
Facilities/diagnostics,"Pharmacy, lab, modular OT, oxygen, thrombolysis; listings mention cath lab/NICU/dialysis/imaging",Research/site,Exact CT/MRI/USG/X-ray/cath lab/NICU/dialysis scope unknown,No department proof,HIGH,Complete capability checklist with staffing/hours.,Medical superintendent
24×7 scope,"Emergency, ICU and pharmacy",Older site/research,Newer copy suggests all services,Newer homepage,HIGH — safety/expectation,Map hours by service; reserve 24×7 for verified services.,Operations head
NRS Wellness / Dr. Pranav,Psychologist | NRS Wellness Team,Legacy carousel,"No relationship, qualification, consent or active-service proof",Accessible record,HIGH,Confirm or archive campaign.,Owner / Dr. Pranav / clinical reviewer
25% obesity statistic,25% of modern obesity cases are not about food,Legacy carousel,No source,Accessible record,HIGH — misinformation,Provide peer-reviewed source + clinician approval or remove.,Clinical approver
Testimonials/patient stories,Site and concepts contain testimonials,Research/site,No consent/release/verification register,Accessible record,HIGH — ASCI/DPDP/privacy,Build consent register; anonymise/remove until verified.,Administration/legal
Tagline wording,"Nurture, Recover & Secure Life",Mounted logo,Nurture Wellness & Secure Life,July ad,MEDIUM,Use logo wording unless formally changed.,Owner/brand approver
Email address,info@nrshospital.com,July ad,No email surfaced in extraction,Site extraction,MEDIUM,Send/receive test; confirm owner.,Administration/IT
Design-system status,Provisional editorial-medical/warm-human,Stage 1 guides,Legacy dense teal/cream/gold; no five-reference training,Legacy creatives/prompt,MEDIUM,"Run Stage 2, regenerate Stage 3, record approval.",Brand approver/PM
Publication/approval status,Many creatives and FIXED exports exist,File Library,No approval messages/live URLs/dates/performance,Prior audit,HIGH,Treat as DRAFT/SUPERSEDED until approval/publication evidence.,PM/client approver
