Asset ID,Asset name,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval evidence,Original source,Rights or consent,Consent status,Destination folder,Notes
AST-001,Prime website logo,prime-logo-for-website.png,DATE-UNKNOWN_Prime-Official-Logo-Horizontal_Multi_Platform_580x94_RAW_v01.png,PNG,,Website / social / GMB,580×94,English,RAW,No explicit approval record,Mounted project asset,Ownership/licence not documented,N/A,02_ASSETS/01_Logos,Likely primary logo source; obtain SVG/AI/PDF master and approval.
AST-002,Prime logo and footer artwork,Logo and Footer.png,DATE-UNKNOWN_Prime-Logo-And-Footer-Artwork_Multi_Platform_3375x4375_RAW_v01.png,PNG,,Design reference / production extraction,3375×4375,English,RAW,No explicit approval record,Mounted project asset,Ownership/licence not documented,N/A,02_ASSETS/01_Logos,Combined artwork; not a clean standalone master. Inspect before production.
AST-003,Prime promotional flyer final export,prime_hospital_flyer_1080x1920.png,2026-06-08_Prime-Advanced-Surgical-Care_Flyer_English_Print-Social_1080x1920_DRAFT_v01.png,PNG,Advanced Surgical Care / June Flyer,Story / WhatsApp / print reference,1080×1920,English,DRAFT,Final export exists; no client approval evidence,File Library reference,Embedded doctor/model image rights not documented,UNKNOWN,02_ASSETS/08_Final_Exports,Not mounted. Contains/reported to contain 10+ years claim; verify all facts.
AST-004,June flyer editable HTML variant,prime_hospital_flyer.html,2026-06-08_Prime-Advanced-Surgical-Care_Flyer-HTML_English_1080x1920_ARCHIVED_v01.html,HTML,Advanced Surgical Care / June Flyer,Editable web-rendered flyer,1080×1920 target,English,SUPERSEDED,No approval evidence,File Library reference,Embedded assets/licences not documented,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Duplicate/near-duplicate chain; not mounted.
AST-005,June flyer editable HTML variant,prime_hospital_flyer_exact_design.html,2026-06-08_Prime-Advanced-Surgical-Care_Flyer-HTML_English_1080x1920_ARCHIVED_v02.html,HTML,Advanced Surgical Care / June Flyer,Editable web-rendered flyer,1080×1920 target,English,SUPERSEDED,No approval evidence,File Library reference,Embedded assets/licences not documented,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Duplicate/near-duplicate chain; not mounted.
AST-006,June flyer editable HTML variant,prime_hospital_flyer_logo_visible.html (multiple copies),2026-06-08_Prime-Advanced-Surgical-Care_Flyer-HTML_English_1080x1920_ARCHIVED_v03.html,HTML,Advanced Surgical Care / June Flyer,Editable web-rendered flyer,1080×1920 target,English,SUPERSEDED,No approval evidence,File Library reference,Embedded assets/licences not documented,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Duplicate/near-duplicate chain; not mounted.
AST-007,June flyer editable HTML variant,prime_hospital_flyer_logo_visible_fixed.html,2026-06-08_Prime-Advanced-Surgical-Care_Flyer-HTML_English_1080x1920_ARCHIVED_v04.html,HTML,Advanced Surgical Care / June Flyer,Editable web-rendered flyer,1080×1920 target,English,SUPERSEDED,No approval evidence,File Library reference,Embedded assets/licences not documented,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Duplicate/near-duplicate chain; not mounted.
AST-008,June flyer editable HTML variant,prime_hospital_flyer_exact_reference_layout.html (multiple copies),2026-06-08_Prime-Advanced-Surgical-Care_Flyer-HTML_English_1080x1920_ARCHIVED_v05.html,HTML,Advanced Surgical Care / June Flyer,Editable web-rendered flyer,1080×1920 target,English,SUPERSEDED,No approval evidence,File Library reference,Embedded assets/licences not documented,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Duplicate/near-duplicate chain; not mounted.
AST-009,Endoscopy FAQ Q5 image,6.png,2026-07-14_Prime-Endoscopy-Safety_FAQ-Image_English_Instagram-GMB_SIZE-UNKNOWN_DRAFT_v01.png,PNG,Endoscopy Education,Instagram / GMB,UNKNOWN,English,DRAFT,No approval evidence,File Library reference,Illustration/licence unknown,N/A,02_ASSETS/03_Approved_Images,"Indexed only, not copied. Shows both 7447441426 and 9422668921; correct NAP before reuse."
AST-010,Advanced surgical care promo reel,Unavailable,2026-06-23_Prime-Advanced-Surgical-Care_Promo-Reel_English_Instagram_SIZE-UNKNOWN_LIVE_v01.mp4,MP4 / public reel reference,Advanced Surgical Care,Instagram,Likely vertical; not verified,English,LIVE,Publicly discoverable matching reel,Public-surface match in project audit,Media rights and any model consent not supplied,UNKNOWN,03_CONTENT/10_Published_Content,Exact URL and source file unavailable.
AST-011,What Are Piles static post,Unavailable,2026-05-21_Prime-What-Are-Piles_Static-Post_English_Instagram_1080x1080_DRAFT_v01.png,Creative concept,Laser Piles / Awareness,Instagram,1080×1080,English,DRAFT,No approval/publication evidence,Conversation reconstruction,Proposed photo rights not documented,UNKNOWN,03_CONTENT/06_Static_Post_Content,Creative brief recovered; final image not identified.
