Content ID,Title,Topic,Content type,Language,Platform,Campaign,Status,Approval source,Published date,Original source,Destination folder,Notes
CNT-001,Chest pain after 40: when it is serious,Chest pain after 40: when it is serious,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-002,Recognising stroke in 60 seconds — FAST,Recognising stroke in 60 seconds — FAST,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-003,Fever in children: a Wakad parent's guide,Fever in children: a Wakad parent's guide,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-004,Dengue or viral fever during Pune monsoon,Dengue or viral fever during Pune monsoon,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-005,Headache types: when to wait and call,Headache types: when to wait and call,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-006,Early warning signs of diabetes,Early warning signs of diabetes,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-007,High blood pressure at 30 for IT professionals,High blood pressure at 30 for IT professionals,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-008,When to take a child to emergency,When to take a child to emergency,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-009,Stomach pain decoded: family physician's guide,Stomach pain decoded: family physician's guide,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-010,Back pain in young adults: posture or stress,Back pain in young adults: posture or stress,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-011,Pune monsoon health calendar,Pune monsoon health calendar,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-012,Five health risks of long IT shifts,Five health risks of long IT shifts,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-013,How to choose a nearby 24×7 hospital,How to choose a nearby 24×7 hospital,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-014,Festive-season accident prevention,Festive-season accident prevention,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
CNT-015,Senior citizen monsoon survival guide,Senior citizen monsoon survival guide,Blog,English; Marathi adaptation,Website,SEO and Education,UNUSED,None recovered,,SRC-002 Strategic Research,03_CONTENT/03_Content_Ideas,Clinician approval required.
