Fact,Claim / Value,Source,Label,Notes
Business name,Prime Speciality Hospital,client_state__1_.md; all documents,CONFIRMED,Consistent everywhere
GMB listed name,"Prime Speciality Hospital - Dr. Pankaj Bhalerao",05_gmb_foundation.md §1,LIVE_ON_WEBSITE,Minor hyphen-format flag only; not a real conflict
Doctor name,Dr. Pankaj Bhalerao,all documents,CONFIRMED,Consistent everywhere
Doctor MBBS institution,"Maharashtra University of Health Sciences, Nashik (2008)",03_site_extraction_complete.md (bio page body text),CONFLICTING,"Contradicted by same page's achievements list — needs doctor confirmation, see OPEN_QUESTIONS_AND_CONFLICTS.md Conflict 1"
Doctor MBBS institution (alt),B.J. Medical College Pune,03_site_extraction_complete.md (bio page achievements list),CONFLICTING,Same as above — two claims on one live page
Doctor FMAS credential,"Fellow of Minimal Access Surgeons of India",all documents,CONFIRMED,Consistent everywhere
Doctor years of experience,10+ years,client_state.md; 01_research.md; site extraction,CONFIRMED,Consistent everywhere
Doctor procedure count,"1,000+ laparoscopic and laser procedures",m3_website_rewrite_plan.md §7 (draft copy),DRAFT,"Appears only in drafted (not yet published) bio copy — flag for medical-claim review before publishing, per validation rule on procedure counts"
Practicing hospital (as stated on live bio page),Vedant Multispeciality Hospital,03_site_extraction_complete.md,CONFLICTING,"Contradicts every other source in the project (Prime Speciality Hospital) — treat as a website error to fix, not a fact to preserve"
Address (full),"1st Floor, Phase 2, Nisarg Vatika, Dehu-Moshi Rd, near Ramdev Dhaba, Borhadewadi, Moshi, Pimpri-Chinchwad, Maharashtra 412105",05_gmb_foundation.md §4; site extraction contact page,LIVE_ON_WEBSITE,Consistent between GMB and website
GBP primary phone,074474 41426,05_gmb_foundation.md §1,CONFIRMED (as of June 24 2026 per conversation history),"Client/PM deliberately decided June 24 2026 to keep both numbers rather than consolidate - see ADDITIONAL_CONTEXT_FROM_CONVERSATIONS.md"
WhatsApp / website phone,+91 94226 68921,client_state.md; site extraction; all content,CONFIRMED,"Used as primary CTA everywhere; coexists intentionally with GBP phone above, not a conflict"
Email,idrpankajnbhalerao@gmail.com,03_site_extraction_complete.md (contact page),LIVE_ON_WEBSITE,Personal Gmail address; recommendation on file to move to a hospital domain (not actioned)
Business hours (website),Mon-Sat 5pm-9pm,03_site_extraction_complete.md (contact page),LIVE_ON_WEBSITE,"Conflicts with GBP hours and with the proposed new homepage hours — see OPEN_QUESTIONS_AND_CONFLICTS.md Conflict 4"
Business hours (GBP),"Mon-Sat 9am-9pm, Sunday closed",05_gmb_foundation.md §1,LIVE_ON_WEBSITE,Conflicts with website hours above
Business hours (proposed new homepage — not live),Mon-Sat 9am-7pm + 24/7 emergency,m3_website_rewrite_plan.md §5,DRAFT,Not yet published; still needs reconciling with the two live sources above
Google review count,108,client_state.md; 01_research.md; 05_gmb_foundation.md,CONFIRMED (as of May 2026),"Baseline only — June/July actual count was never pulled into the report (m6_client_report_june2026.md leaves this as [CHECK GBP])"
Google review count (later reference),108+,client_state__1_.md,CONFIRMED (as of June 25 2026),Same figure, described as a floor rather than exact — actual current count still unconfirmed
Google rating,4.9 stars,all documents,CONFIRMED,Consistent everywhere; described repeatedly as "exceptional," verified as accurate per Windsor.ai live pull
Review reply rate before June work,~10% (3 of 31 recent reviews),05_gmb_foundation.md §8,CONFIRMED (live Windsor.ai pull),Baseline metric
