Campaign ID,Campaign name,Objective,Offer,Audience,Location,Start date,End date,Platforms,Status,Primary CTA,Brief source,Results available,Destination folder,Notes
CMP-001,Founder-Led Trust,"Build local trust and brand recall around Dr. Dattesh Gore and a named, accountable hospital team.",No commercial offer locked; consultation access is the working action.,"PCMC families, especially household healthcare decision-makers and senior-care caregivers.","Mamurdi, Ravet and western PCMC.",,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Book a consultation / Speak to the hospital team.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/01_Founder_Led_Trust,"Formal founder role, bio, current credentials, schedule, doctor registration number, image consent and origin story are not signed off."
CMP-002,Honest Care and Transparent Billing,Differentiate around clear explanations and predictable estimates without attacking competitors.,Proposed written pre-procedure estimate and second-opinion welcome policy; not yet approved.,Middle-class family decision-makers and insured patients.,Western PCMC.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",PENDING_CLIENT,Request a case-specific estimate / Ask the billing desk.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/02_Honest_Care_Transparent_Billing,"“No padded admissions” and “no surprise bills” are operational promises. They cannot be published until hospital policy, exceptions and escalation process are approved."
CMP-003,Family Health Membership,"Create a recurring family-care relationship across physician, paediatric, dental and basic preventive services.","Draft annual membership/package; contents, price, limits and validity not defined.","Young families, IT households and multi-generational families.",Mamurdi–Ravet catchment.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Ask about the family-care plan.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/03_Family_Health_Membership,"No approved package, price, terms, doctor availability or billing model."
CMP-004,24x7 Emergency and Trauma,"Improve urgent local discovery, call actions and directions for genuine emergency capability.",Emergency assessment/stabilisation; exact scope unverified.,"All local families, motorists and caregivers.","Mamurdi, Ravet, Kiwale, Dehu Road and nearby PCMC.",,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",PENDING_CLIENT,Call the confirmed emergency line / Get directions.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/04_24x7_Emergency_and_Trauma,"24x7 staffing, ER scope, ICU capacity, ambulance availability, escalation/referral protocol and emergency phone are unconfirmed."
CMP-005,Paediatric Fever and Child Health,"Provide calm, useful parent education and convert local paediatric intent.",Paediatric consultation; schedule and emergency coverage unverified.,"Parents of infants, children and adolescents.","Ravet, Mamurdi, Kiwale, Punawale.",,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Contact the paediatric team / Book a consultation.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/05_Paediatric_Fever_and_Child_Health,Clinical thresholds require paediatric approval; 24x7 availability and WhatsApp advice must not be implied without an approved protocol.
CMP-006,Heart Health and Cardiology,Build cardiology authority and improve consultation demand using clinically reviewed education.,Cardiology consultation/check-up; package not approved.,"Adults 30+, people with diabetes/hypertension/family history and caregivers.",Ravet/Mamurdi/PCMC.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Book a cardiology consultation.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/06_Heart_Health_and_Cardiology,"The preserved carousel contains unsourced numerical claims (35%, 3×, 80%, 100,000 beats). Doctor, tests and availability require verification."
CMP-007,Orthopaedic Joint Pain,Capture high-intent orthopaedic searches and educate on red flags and appropriate evaluation.,Orthopaedic consultation; no approved discount or package.,"Adults with knee/back/joint pain, injured patients and senior caregivers.","Ravet, Mamurdi and nearby PCMC.",,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Schedule an orthopaedic consultation.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/07_Orthopaedic_Joint_Pain,Historical assets use legacy logos and conflicting phones; no approval evidence; current doctor schedule and claims need review.
CMP-008,Senior Wellness,"Support recurring, coordinated chronic-care and preventive visits for older adults.",Draft quarterly senior wellness package; contents and price not approved.,Senior couples and adult children caring for parents.,Western PCMC.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Ask about a senior-care consultation.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/08_Senior_Wellness,"No package definition, price, geriatric lead, patient pathway or language guarantee."
CMP-009,Cashless Insurance Education,Reduce admission friction and answer high-intent insurance questions.,Cashless process education; no confirmed partner list.,Insured IT/service-sector households and caregivers.,PCMC catchment.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",PENDING_CLIENT,Contact the confirmed insurance desk.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/09_Cashless_Insurance_Education,"No TPA/insurer list, desk contact, turnaround time or exclusions. Do not use insurer logos or “all insurance accepted”."
CMP-010,"Monsoon, Dengue and Seasonal Health",Publish locally relevant seasonal education and route serious symptoms to appropriate care.,Seasonal consultation/emergency evaluation; no approved package.,"PCMC families, parents and seniors.",Western PCMC.,,,"Website, GBP, Instagram/Facebook, WhatsApp as applicable",DRAFT,Consult a doctor when symptoms persist or worsen.,Strategic research + audit + SEO/competitive synthesis; historical audit for CMP-013,No,05_CAMPAIGNS/10_Monsoon_Dengue_and_Seasonal_Health,All thresholds and public-health statistics require clinical/public-source review; avoid self-diagnosis and outbreak claims.
