idea_id,category,title_or_angle,status,source,notes
IDEA-001,Static Post,Introducing Thinking Healer,DRAFT,Archived poster brief,"Explain platform positioning"
IDEA-002,Static Post,Where Medicine Meets Philosophy,DRAFT,Generated poster,"Core brand line"
IDEA-003,Static Post,Medicine begins with science but healing begins with thought,DRAFT,Generated poster,"Quote-led concept; wording requires client approval"
IDEA-004,Static Post,Where certainty ends wisdom must begin,DRAFT,Generated poster,"Quote-led concept; wording requires client approval"
IDEA-005,Static Post,Diagnostic Reasoning,DRAFT,Profile interests,"Educational authority series"
IDEA-006,Static Post,Clinical Uncertainty,DRAFT,Profile interests,"Medical humanities series"
IDEA-007,Static Post,Medisophy Explained,DRAFT,Platform description,"Define coined discipline"
IDEA-008,Carousel,Why Thinking Healer Was Created,DRAFT,Original brief,"Convert manifesto into short slides"
IDEA-009,Carousel,The Limits of Protocol,DRAFT,Original brief,"Reflective clinical theme; medical review required"
IDEA-010,Reel,Every physician thinks—few examine the thinking,DRAFT,Original brief,"Doctor-speaking or voiceover introduction"
IDEA-011,Reel,What clinical uncertainty teaches us,DRAFT,Profile interests,"Educational reflective reel"
IDEA-012,Reel,Medicine AI and ethics,DRAFT,Academic interests,"Medical AI ethics series"
IDEA-013,Blog,Epistemic frameworks in clinical diagnosis,DRAFT,Academic interests,"Scholarly long-form article"
IDEA-014,Blog,Humanities in healthcare education,DRAFT,Academic interests,"Education thought-leadership article"
IDEA-015,Video Concept,Open book heart brain and stethoscope metaphor,DRAFT,Generated visuals,"Symbolic brand film or motion poster"

