Source ID,Source name,Source type,Original filename,Original location,Date,Summary,Reliability,Status,Destination folder,Notes
SRC-01,Strategic Research (Prompt 01),Research doc,Millennium_Woods_01_Strategic_Research.md,Project files,2026-05-28,"Market/competitor/ICP/positioning research; NAP + Little Millennium blockers raised",High (agency SOP output),Active,00_SOURCES/Research,Foundation doc for all downstream work
SRC-02,Design Instructions (Prompt 02),Design guideline,Millennium_Woods_02_Design_Instructions.md,Project files,2026-05-28,"Audited brand design system: logo colours, palette, type, layout, claims guardrails",High,Active,01_DESIGN,Reconciled logo-true + editorial palette
SRC-03,AI Image Prompting Guide (Prompt 02),Prompting guide,Millennium_Woods_02_AI_Prompting_Guide.md,Project files,2026-05-28,"AI image-gen templates + rules for social/ads/GMB creatives",High,Active,01_DESIGN,Pairs with SRC-02
SRC-04,Site Extraction (Prompt 03),Website extraction,Millennium_Woods_03_Site_Extraction.md,Project files,2026-05-28,"Live-site copy/structure, technical + SEO hygiene issues, 4 on-site NAP signals",High,Active,00_SOURCES/Research,WordPress/Elementor; issue log P0-P2
SRC-05,Official Logo,Brand asset,croppedUntitleddesign71536x979.png (JPEG 1372x896),Project files,Unknown,"Circular black-ground badge, child+lightbulb mascot, multi-colour wordmark, Marunji-Wakad pill",High (official mark),Active,02_ASSETS/01_Logos,File is JPEG despite .png name; hex values still visually estimated
SRC-06,Director Intro Reel Script,Content (chat),chat 62e56ed3,Past project chat 2026-06-21,2026-06-21,"60-sec Director (Saish Dalvi) intro script + captions; pamphlet NAP data surfaced",Medium (chat draft),Active,03_CONTENT/01_Scripts,Full text reconstructed from chat; original in linked chat
SRC-07,Monthly Instagram SMO Report,Report (chat),chat 43c5b83d,Past project chat 2026-07-01,2026-07-01,"Instagram Insights report Jun 1-Jul 1 2026; DOCX produced",Medium (client-confirmed IG data),Active,07_REPORTS,DOCX lives in that chat outputs; summary captured here
SRC-08,New-Executive Onboarding Summary,Note (chat),chat 86dec26e,Past project chat 2026-07-10,2026-07-10,"Plain-language re-summary of the 4 SOP docs for a new team member",Medium,Reference,00_SOURCES,No new facts beyond SRC-01..04
SRC-09,Master Brand Brain (exploratory),Brand doc (chat),chat c86d26ae / e40c3ba1,Past project chats 2026-05-13,2026-05-13,"Alternative 'brand brain' with rules that CONFLICT with approved design system; also questioned preschool-vs-furniture identity",Low (unverified/exploratory),ARCHIVED,99_ARCHIVE/06_Unverified_Material,Do NOT merge into active design system - see conflicts register
SRC-10,School Pamphlet,Client asset (chat ref),1000222568.jpg,Referenced in chat 62e56ed3,2026-06-21,"Printed pamphlet; address 'Rivaz Building 108/3/18 ... 411057' + 2nd phone 9665336826",Medium (client-printed),Missing file,00_SOURCES,Image not in project files - request original from client/PM
