Idea_ID,Topic,Pillar,Audience,Hook,Message,CTA,Status
IDEA-001,Chhatrapati Sambhaji Maharaj Jayanti tribute,Festival / Heritage,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-002,India Book of Records achievement announcement,Achievement & Recognition,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-003,Mother’s Day greeting,Festival / Community,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-004,10th board result celebration,Achievement (trust-level),Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-005,Skill development guidance article,Career Guidance,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-006,Staff recruitment notice 2026–27,Institution Update,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-007,Admission promotion with ITI building video,Admission Cycle,Local community,Existing public content signal,Existing institutional activity,Visit / contact,USED
IDEA-028,4.9-star Google review milestone,Social Proof,Parents,100+ public reviews,Show dated snapshot; do not imply placement quality.,Read reviews,UNUSED
IDEA-029,Seven-institute network map,Heritage & Trust,Parents/Counselors,Seven institutes. One mission.,Explain the network accurately.,Learn about KUMSS,UNUSED
IDEA-030,Trust heritage since 1951,Heritage & Trust,Parents,शिक्षणसेवेची परंपरा.,Timeline without political promotion.,Read story,UNUSED
IDEA-031,Principal profile — Dr. Vikas S. Nirmal,Faculty Credibility,Parents,Leadership grounded in engineering and education.,Use confirmed name/credentials.,Meet leadership,UNUSED
IDEA-032,Superintendent profile — Mahesh Chandgude,Faculty Credibility,Parents/Students,Meet the people behind the workshop.,Confirm role/credentials.,Meet faculty,UNUSED
IDEA-033,Engineering Drawing instructor — Vishal Madane,Faculty Credibility,Students,Drawing before cutting.,Real teaching context.,Meet faculty,UNUSED
IDEA-034,Fitter instructor — Rahul Jadhav,Faculty Credibility,Students,Hands-on guidance.,Confirm role/credentials.,Meet faculty,UNUSED
IDEA-035,Fitter instructor — Akshay Taware,Faculty Credibility,Students,Practice builds precision.,Confirm role/credentials.,Meet faculty,UNUSED
IDEA-036,Electrician trade card,Trade Spotlight,Students,Electrician / इलेक्ट्रिशियन,"Verified duration, eligibility, certification.",Enquire,UNUSED
IDEA-037,Fitter trade card,Trade Spotlight,Students,Fitter / फिटर,Hands-on precision work.,Enquire,UNUSED
IDEA-038,Electronics Mechanic trade card,Trade Spotlight,Students,Electronics Mechanic,Real lab/tasks.,Enquire,UNUSED
IDEA-039,Interior Design trade card,Trade Spotlight,Students,Interior Design,Confirm official title.,Enquire,UNUSED
IDEA-040,Welder trade card,Trade Spotlight,Students,Welder,Only if active/affiliated.,Enquire,UNUSED
IDEA-041,Surveyor trade card,Trade Spotlight,Students,Surveyor,Only if active/affiliated.,Enquire,UNUSED
IDEA-042,Draughtsman Mechanical trade card,Trade Spotlight,Students,Draughtsman Mechanical,Only if active/affiliated.,Enquire,UNUSED
IDEA-043,Admissions open 2026–27,Admission Cycle,Parents/Students,प्रवेश सुरू,"Confirmed trades, dates, eligibility and NAP.",Contact,UNUSED
IDEA-044,Workshop facility highlight,Infrastructure,Parents,Real workshop. Real tools.,Real KUMSS photo.,Visit campus,UNUSED
IDEA-045,Affiliation certificate highlight,Government Affiliations,Parents,Recognition you can verify.,Certificate/registration only after verification.,View certificate,UNUSED
